Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Bombus impatiens BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC100743692), mRNA",Bombus impatiens,1833,1833,100%,0.0,100.00,1096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003484699.4?report=genbank&log$=nucltop&blast_rank=1&RID=KPUYC5RG013"",""XM_003484699.4"")"
"PREDICTED: Bombus bifarius BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC117210550), mRNA",Bombus bifarius,1818,1818,99%,0.0,99.70,2386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033453684.1?report=genbank&log$=nucltop&blast_rank=2&RID=KPUYC5RG013"",""XM_033453684.1"")"
"PREDICTED: Bombus vancouverensis nearcticus BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC117164510), mRNA",Bombus vancouverensis nearcticus,1815,1815,100%,0.0,99.61,2388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033347640.1?report=genbank&log$=nucltop&blast_rank=3&RID=KPUYC5RG013"",""XM_033347640.1"")"
"PREDICTED: Bombus huntii BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC126870659), mRNA",Bombus huntii,1810,1810,100%,0.0,99.51,2396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050628571.1?report=genbank&log$=nucltop&blast_rank=4&RID=KPUYC5RG013"",""XM_050628571.1"")"
"PREDICTED: Bombus vosnesenskii BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC117240204), mRNA",Bombus vosnesenskii,1797,1797,100%,0.0,99.21,2400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033506162.1?report=genbank&log$=nucltop&blast_rank=5&RID=KPUYC5RG013"",""XM_033506162.1"")"
"PREDICTED: Bombus affinis BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC126924190), mRNA",Bombus affinis,1716,1716,100%,0.0,97.54,2399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050738433.1?report=genbank&log$=nucltop&blast_rank=6&RID=KPUYC5RG013"",""XM_050738433.1"")"
"PREDICTED: Bombus terrestris BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC100649035), mRNA",Bombus terrestris,1702,1702,100%,0.0,97.25,2389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003401234.4?report=genbank&log$=nucltop&blast_rank=7&RID=KPUYC5RG013"",""XM_003401234.4"")"
"PREDICTED: Bombus pyrosoma BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC122575532), mRNA",Bombus pyrosoma,1692,1692,99%,0.0,97.13,2331,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043744584.1?report=genbank&log$=nucltop&blast_rank=8&RID=KPUYC5RG013"",""XM_043744584.1"")"
"PREDICTED: Apis dorsata BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC102679867), mRNA",Apis dorsata,1021,1021,99%,0.0,82.80,1771,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006617062.2?report=genbank&log$=nucltop&blast_rank=9&RID=KPUYC5RG013"",""XM_006617062.2"")"
"PREDICTED: Apis cerana BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC107996284), mRNA",Apis cerana,1021,1021,99%,0.0,82.75,1022,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017054249.2?report=genbank&log$=nucltop&blast_rank=10&RID=KPUYC5RG013"",""XM_017054249.2"")"
