Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein E2986_08461 [Frieseomelitta varia],Frieseomelitta varia,562,562,87%,0.0,98.82,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF3429405.1?report=genbank&log$=prottop&blast_rank=1&RID=M8M3WM9P013"",""KAF3429405.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Frieseomelitta varia],Frieseomelitta varia,562,562,87%,0.0,98.82,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043528325.1?report=genbank&log$=prottop&blast_rank=2&RID=M8M3WM9P013"",""XP_043528325.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 homolog [Eufriesea mexicana],Eufriesea mexicana,558,558,87%,0.0,97.94,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017759087.1?report=genbank&log$=prottop&blast_rank=3&RID=M8M3WM9P013"",""XP_017759087.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Bombus vancouverensis nearcticus],Bombus vancouverensis nearcticus,556,556,87%,0.0,97.64,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033197276.1?report=genbank&log$=prottop&blast_rank=4&RID=M8M3WM9P013"",""XP_033197276.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Bombus impatiens],Bombus impatiens,556,556,87%,0.0,97.64,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003487671.1?report=genbank&log$=prottop&blast_rank=5&RID=M8M3WM9P013"",""XP_003487671.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Bombus pyrosoma],Bombus pyrosoma,556,556,87%,0.0,97.35,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043585064.1?report=genbank&log$=prottop&blast_rank=6&RID=M8M3WM9P013"",""XP_043585064.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Bombus terrestris],Bombus terrestris,556,556,87%,0.0,97.35,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003396484.1?report=genbank&log$=prottop&blast_rank=7&RID=M8M3WM9P013"",""XP_003396484.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog isoform X2 [Apis laboriosa],Apis laboriosa,555,555,87%,0.0,96.76,607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043784667.1?report=genbank&log$=prottop&blast_rank=8&RID=M8M3WM9P013"",""XP_043784667.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Apis florea],Apis florea,555,555,87%,0.0,96.46,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003691078.1?report=genbank&log$=prottop&blast_rank=9&RID=M8M3WM9P013"",""XP_003691078.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Apis cerana],Apis cerana,555,555,87%,0.0,96.46,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016913404.1?report=genbank&log$=prottop&blast_rank=10&RID=M8M3WM9P013"",""XP_016913404.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Apis dorsata],Apis dorsata,555,555,87%,0.0,96.76,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006613614.1?report=genbank&log$=prottop&blast_rank=11&RID=M8M3WM9P013"",""XP_006613614.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog isoform X1 [Apis laboriosa],Apis laboriosa,555,555,87%,0.0,96.76,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043784666.1?report=genbank&log$=prottop&blast_rank=12&RID=M8M3WM9P013"",""XP_043784666.1"")"
hypothetical protein KM043_018697 [Ampulex compressa],Ampulex compressa,553,553,86%,0.0,97.91,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG7202378.1?report=genbank&log$=prottop&blast_rank=13&RID=M8M3WM9P013"",""KAG7202378.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 homolog [Dufourea novaeangliae],Dufourea novaeangliae,552,552,86%,0.0,97.01,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015437089.1?report=genbank&log$=prottop&blast_rank=14&RID=M8M3WM9P013"",""XP_015437089.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 homolog [Megachile rotundata],Megachile rotundata,549,549,87%,0.0,95.58,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003705565.1?report=genbank&log$=prottop&blast_rank=15&RID=M8M3WM9P013"",""XP_003705565.1"")"
xenotropic and polytropic retrovirus receptor 1 [Nomia melanderi],Nomia melanderi,546,546,86%,0.0,97.61,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031831836.1?report=genbank&log$=prottop&blast_rank=16&RID=M8M3WM9P013"",""XP_031831836.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Ceratina calcarata],Ceratina calcarata,544,544,87%,0.0,95.28,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017887624.1?report=genbank&log$=prottop&blast_rank=17&RID=M8M3WM9P013"",""XP_017887624.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Colletes gigas],Colletes gigas,543,543,86%,0.0,96.72,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043261464.1?report=genbank&log$=prottop&blast_rank=18&RID=M8M3WM9P013"",""XP_043261464.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Osmia bicornis bicornis],Osmia bicornis bicornis,543,543,87%,0.0,93.81,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029032635.1?report=genbank&log$=prottop&blast_rank=19&RID=M8M3WM9P013"",""XP_029032635.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Osmia lignaria],Osmia lignaria,540,540,87%,0.0,93.51,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034193167.1?report=genbank&log$=prottop&blast_rank=20&RID=M8M3WM9P013"",""XP_034193167.1"")"
xenotropic and polytropic retrovirus receptor 1 [Vespula vulgaris],Vespula vulgaris,540,540,86%,0.0,94.33,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050870115.1?report=genbank&log$=prottop&blast_rank=21&RID=M8M3WM9P013"",""XP_050870115.1"")"
xenotropic and polytropic retrovirus receptor 1 [Vespula pensylvanica],Vespula pensylvanica,540,540,86%,0.0,94.33,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043664058.1?report=genbank&log$=prottop&blast_rank=22&RID=M8M3WM9P013"",""XP_043664058.1"")"
hypothetical protein [Vespula vulgaris],Vespula vulgaris,540,540,86%,0.0,94.33,708,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7408058.1?report=genbank&log$=prottop&blast_rank=23&RID=M8M3WM9P013"",""KAF7408058.1"")"
hypothetical protein [Vespula germanica],Vespula germanica,540,540,86%,0.0,94.33,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7414200.1?report=genbank&log$=prottop&blast_rank=24&RID=M8M3WM9P013"",""KAF7414200.1"")"
xenotropic and polytropic retrovirus receptor 1-like [Vespa mandarinia],Vespa mandarinia,539,539,86%,0.0,94.33,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035727377.1?report=genbank&log$=prottop&blast_rank=25&RID=M8M3WM9P013"",""XP_035727377.1"")"
xenotropic and polytropic retrovirus receptor 1 [Vespa crabro],Vespa crabro,539,539,86%,0.0,94.03,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046828572.1?report=genbank&log$=prottop&blast_rank=26&RID=M8M3WM9P013"",""XP_046828572.1"")"
xenotropic and polytropic retrovirus receptor 1 [Harpegnathos saltator],Harpegnathos saltator,538,538,87%,0.0,94.69,671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011137539.1?report=genbank&log$=prottop&blast_rank=27&RID=M8M3WM9P013"",""XP_011137539.1"")"
Xenotropic and polytropic retrovirus receptor 1-like protein [Harpegnathos saltator],Harpegnathos saltator,538,538,87%,0.0,94.69,611,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFN85692.1?report=genbank&log$=prottop&blast_rank=28&RID=M8M3WM9P013"",""EFN85692.1"")"
xenotropic and polytropic retrovirus receptor 1 isoform X1 [Vespa velutina],Vespa velutina,537,537,86%,0.0,94.03,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047343104.1?report=genbank&log$=prottop&blast_rank=29&RID=M8M3WM9P013"",""XP_047343104.1"")"
xenotropic and polytropic retrovirus receptor 1 isoform X2 [Vespa velutina],Vespa velutina,537,537,86%,0.0,94.03,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047343114.1?report=genbank&log$=prottop&blast_rank=30&RID=M8M3WM9P013"",""XP_047343114.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Odontomachus brunneus],Odontomachus brunneus,536,536,87%,0.0,90.27,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032679557.1?report=genbank&log$=prottop&blast_rank=31&RID=M8M3WM9P013"",""XP_032679557.1"")"
xenotropic and polytropic retrovirus receptor 1-like [Belonocnema kinseyi],Belonocnema kinseyi,536,536,86%,0.0,93.43,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033223476.1?report=genbank&log$=prottop&blast_rank=32&RID=M8M3WM9P013"",""XP_033223476.1"")"
LOW QUALITY PROTEIN: xenotropic and polytropic retrovirus receptor 1-like [Nylanderia fulva],Nylanderia fulva,535,535,86%,0.0,93.73,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029172513.1?report=genbank&log$=prottop&blast_rank=33&RID=M8M3WM9P013"",""XP_029172513.1"")"
xenotropic and polytropic retrovirus receptor 1 isoform X2 [Solenopsis invicta],Solenopsis invicta,534,534,86%,0.0,92.84,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011168470.1?report=genbank&log$=prottop&blast_rank=34&RID=M8M3WM9P013"",""XP_011168470.1"")"
xenotropic and polytropic retrovirus receptor 1 isoform X1 [Solenopsis invicta],Solenopsis invicta,534,534,86%,0.0,92.84,674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_039309883.1?report=genbank&log$=prottop&blast_rank=35&RID=M8M3WM9P013"",""XP_039309883.1"")"
xenotropic and polytropic retrovirus receptor 1 [Cataglyphis hispanica],Cataglyphis hispanica,534,534,87%,0.0,92.33,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050447693.1?report=genbank&log$=prottop&blast_rank=36&RID=M8M3WM9P013"",""XP_050447693.1"")"
xenotropic and polytropic retrovirus receptor 1 [Pogonomyrmex barbatus],Pogonomyrmex barbatus,533,533,86%,0.0,92.24,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011631813.1?report=genbank&log$=prottop&blast_rank=37&RID=M8M3WM9P013"",""XP_011631813.1"")"
xenotropic and polytropic retrovirus receptor 1 [Formica exsecta],Formica exsecta,533,533,87%,0.0,92.63,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029658750.1?report=genbank&log$=prottop&blast_rank=38&RID=M8M3WM9P013"",""XP_029658750.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 [Cyphomyrmex costatus],Cyphomyrmex costatus,532,532,87%,0.0,91.15,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018393874.1?report=genbank&log$=prottop&blast_rank=39&RID=M8M3WM9P013"",""XP_018393874.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 homolog [Trachymyrmex zeteki],Trachymyrmex zeteki,532,532,87%,0.0,91.45,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018316968.1?report=genbank&log$=prottop&blast_rank=40&RID=M8M3WM9P013"",""XP_018316968.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 isoform X1 [Dinoponera quadriceps],Dinoponera quadriceps,532,532,87%,0.0,92.04,673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014487111.1?report=genbank&log$=prottop&blast_rank=41&RID=M8M3WM9P013"",""XP_014487111.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Temnothorax curvispinosus],Temnothorax curvispinosus,532,532,86%,0.0,92.84,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024884015.1?report=genbank&log$=prottop&blast_rank=42&RID=M8M3WM9P013"",""XP_024884015.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 homolog [Acromyrmex echinatior],Acromyrmex echinatior,532,532,87%,0.0,91.74,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011060028.1?report=genbank&log$=prottop&blast_rank=43&RID=M8M3WM9P013"",""XP_011060028.1"")"
