Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bombus terrestris genome assembly, chromosome: 4",Bombus terrestris,635,11848,99%,4e-177,97.11,18668021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342924.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8ATS90R013"",""OU342924.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC125384903 (LOC125384903), ncRNA",Bombus terrestris,630,630,99%,4e-176,96.85,1425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007223753.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8ATS90R013"",""XR_007223753.1"")"
"Bombus terrestris genome assembly, chromosome: 2",Bombus terrestris,549,1458,87%,1e-151,96.43,19735706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342922.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8ATS90R013"",""OU342922.1"")"
"Bombus terrestris genome assembly, chromosome: 11",Bombus terrestris,534,534,87%,9e-147,95.50,20781255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342931.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8ATS90R013"",""OU342931.1"")"
"Bombus terrestris genome assembly, chromosome: 7",Bombus terrestris,524,2295,87%,5e-144,94.63,25524254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342927.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8ATS90R013"",""OU342927.1"")"
"Bombus terrestris genome assembly, chromosome: 6",Bombus terrestris,524,6892,87%,5e-144,94.63,23129593,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342926.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8ATS90R013"",""OU342926.1"")"
"Bombus terrestris genome assembly, chromosome: 5",Bombus terrestris,524,1048,87%,5e-144,94.63,14194883,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342925.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8ATS90R013"",""OU342925.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC125384895 (LOC125384895), transcript variant X2, ncRNA",Bombus terrestris,515,515,79%,2e-141,97.38,692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007223745.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8ATS90R013"",""XR_007223745.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC125384895 (LOC125384895), transcript variant X1, ncRNA",Bombus terrestris,515,515,79%,2e-141,97.38,1065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007223744.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8ATS90R013"",""XR_007223744.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC125386612 (LOC125386612), ncRNA",Bombus terrestris,488,488,87%,3e-133,92.24,6753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007226949.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8ATS90R013"",""XR_007226949.1"")"
