Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
xenotropic and polytropic retrovirus receptor 1 homolog [Apis dorsata],Apis dorsata,1266,1266,49%,0.0,100.00,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006613614.1?report=genbank&log$=prottop&blast_rank=1&RID=MB2RR5PN01N"",""XP_006613614.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Apis cerana],Apis cerana,1266,1266,49%,0.0,99.85,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016913404.1?report=genbank&log$=prottop&blast_rank=2&RID=MB2RR5PN01N"",""XP_016913404.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Apis florea],Apis florea,1264,1264,49%,0.0,99.70,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003691078.1?report=genbank&log$=prottop&blast_rank=3&RID=MB2RR5PN01N"",""XP_003691078.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog isoform X1 [Apis laboriosa],Apis laboriosa,1264,1264,49%,0.0,99.85,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043784666.1?report=genbank&log$=prottop&blast_rank=4&RID=MB2RR5PN01N"",""XP_043784666.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 homolog [Eufriesea mexicana],Eufriesea mexicana,1234,1234,49%,0.0,96.96,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017759087.1?report=genbank&log$=prottop&blast_rank=5&RID=MB2RR5PN01N"",""XP_017759087.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Frieseomelitta varia],Frieseomelitta varia,1233,1233,49%,0.0,97.26,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043528325.1?report=genbank&log$=prottop&blast_rank=6&RID=MB2RR5PN01N"",""XP_043528325.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Bombus impatiens],Bombus impatiens,1226,1226,49%,0.0,96.50,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003487671.1?report=genbank&log$=prottop&blast_rank=7&RID=MB2RR5PN01N"",""XP_003487671.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Bombus pyrosoma],Bombus pyrosoma,1224,1224,49%,0.0,96.50,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043585064.1?report=genbank&log$=prottop&blast_rank=8&RID=MB2RR5PN01N"",""XP_043585064.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Bombus terrestris],Bombus terrestris,1224,1224,49%,0.0,96.35,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003396484.1?report=genbank&log$=prottop&blast_rank=9&RID=MB2RR5PN01N"",""XP_003396484.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Bombus vancouverensis nearcticus],Bombus vancouverensis nearcticus,1223,1223,49%,0.0,96.35,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033197276.1?report=genbank&log$=prottop&blast_rank=10&RID=MB2RR5PN01N"",""XP_033197276.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 homolog [Megachile rotundata],Megachile rotundata,1222,1222,49%,0.0,95.29,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003705565.1?report=genbank&log$=prottop&blast_rank=11&RID=MB2RR5PN01N"",""XP_003705565.1"")"
hypothetical protein E2986_08461 [Frieseomelitta varia],Frieseomelitta varia,1211,1211,49%,0.0,94.63,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF3429405.1?report=genbank&log$=prottop&blast_rank=12&RID=MB2RR5PN01N"",""KAF3429405.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Osmia bicornis bicornis],Osmia bicornis bicornis,1207,1207,49%,0.0,93.62,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029032635.1?report=genbank&log$=prottop&blast_rank=13&RID=MB2RR5PN01N"",""XP_029032635.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog [Osmia lignaria],Osmia lignaria,1206,1206,49%,0.0,93.47,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034193167.1?report=genbank&log$=prottop&blast_rank=14&RID=MB2RR5PN01N"",""XP_034193167.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1 homolog [Dufourea novaeangliae],Dufourea novaeangliae,1204,1204,49%,0.0,94.22,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015437089.1?report=genbank&log$=prottop&blast_rank=15&RID=MB2RR5PN01N"",""XP_015437089.1"")"
xenotropic and polytropic retrovirus receptor 1 [Nomia melanderi],Nomia melanderi,1204,1204,49%,0.0,94.98,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031831836.1?report=genbank&log$=prottop&blast_rank=16&RID=MB2RR5PN01N"",""XP_031831836.1"")"
