 ,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Black queen cell virus isolate BQCV-MS-AUG15, complete genome",Black queen cell virus,636,636,99%,1E-177,95.92,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-OCT15, complete genome",Black queen cell virus,636,636,99%,1E-177,95.92,8432,Erro:501
"Black queen cell virus isolate BQCV_MS, complete genome",Black queen cell virus,631,631,99%,4E-176,95.66,8454,Erro:501
"Black queen cell virus isolate BQCV_MR, complete genome",Black queen cell virus,631,631,99%,4E-176,95.66,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-OCT15, complete genome",Black queen cell virus,631,631,99%,4E-176,95.66,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-SEP15, complete genome",Black queen cell virus,631,631,99%,4E-176,95.66,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-JUN15, complete genome",Black queen cell virus,631,631,99%,4E-176,95.66,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-APR15, complete genome",Black queen cell virus,631,631,99%,4E-176,95.66,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-AUG15, complete genome",Black queen cell virus,631,631,99%,4E-176,95.66,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-JUN15, complete genome",Black queen cell virus,631,631,99%,4E-176,95.66,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-APR15, complete genome",Black queen cell virus,631,631,99%,4E-176,95.66,8432,Erro:501
"Black queen cell virus isolate BQCV/PNG-2018, complete genome",Black queen cell virus,627,627,99%,5E-175,95.41,8412,Erro:501
"Black queen cell virus isolate BQCV/PNG-2014, complete genome",Black queen cell virus,627,627,99%,5E-175,95.41,8488,Erro:501
"Black queen cell virus isolate BQCV-MR-SEP15, complete genome",Black queen cell virus,627,627,99%,5E-175,95.41,8432,Erro:501
"Black queen cell virus isolate BQCV_No3_Acc010-HN2019, complete genome",Black queen cell virus,619,619,99%,8E-173,94.91,8457,Erro:501
"Black queen cell virus strain PP, complete genome",Black queen cell virus,613,613,99%,1E-170,94.64,8511,Erro:501
"Black queen cell virus strain BQCV4B non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,541,541,99%,6E-149,90.56,8467,Erro:501
