Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3236,3236,56%,0.0,98.59,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23644.1?report=genbank&log$=prottop&blast_rank=1&RID=MB1E83HR013"",""UGV23644.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3234,3234,56%,0.0,98.53,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65059.1?report=genbank&log$=prottop&blast_rank=2&RID=MB1E83HR013"",""AYP65059.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3234,3234,56%,0.0,98.46,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23652.1?report=genbank&log$=prottop&blast_rank=3&RID=MB1E83HR013"",""UGV23652.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3233,3233,56%,0.0,98.46,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23640.1?report=genbank&log$=prottop&blast_rank=4&RID=MB1E83HR013"",""UGV23640.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3232,3232,56%,0.0,98.59,1631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65061.1?report=genbank&log$=prottop&blast_rank=5&RID=MB1E83HR013"",""AYP65061.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3230,3230,56%,0.0,98.22,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23646.1?report=genbank&log$=prottop&blast_rank=6&RID=MB1E83HR013"",""UGV23646.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3229,3229,56%,0.0,98.28,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23636.1?report=genbank&log$=prottop&blast_rank=7&RID=MB1E83HR013"",""UGV23636.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3229,3229,56%,0.0,98.03,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIN93571.1?report=genbank&log$=prottop&blast_rank=8&RID=MB1E83HR013"",""QIN93571.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3227,3227,56%,0.0,98.34,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23648.1?report=genbank&log$=prottop&blast_rank=9&RID=MB1E83HR013"",""UGV23648.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3227,3227,56%,0.0,98.28,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23638.1?report=genbank&log$=prottop&blast_rank=10&RID=MB1E83HR013"",""UGV23638.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3227,3227,56%,0.0,98.28,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23654.1?report=genbank&log$=prottop&blast_rank=11&RID=MB1E83HR013"",""UGV23654.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3224,3224,56%,0.0,98.16,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23642.1?report=genbank&log$=prottop&blast_rank=12&RID=MB1E83HR013"",""UGV23642.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3221,3221,56%,0.0,97.91,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QZR93827.1?report=genbank&log$=prottop&blast_rank=13&RID=MB1E83HR013"",""QZR93827.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3219,3219,56%,0.0,97.79,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKW94190.1?report=genbank&log$=prottop&blast_rank=14&RID=MB1E83HR013"",""QKW94190.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3219,3219,56%,0.0,98.22,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23650.1?report=genbank&log$=prottop&blast_rank=15&RID=MB1E83HR013"",""UGV23650.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3217,3217,56%,0.0,97.85,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKW94192.1?report=genbank&log$=prottop&blast_rank=16&RID=MB1E83HR013"",""QKW94192.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,3198,3198,56%,0.0,96.99,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABS82427.1?report=genbank&log$=prottop&blast_rank=17&RID=MB1E83HR013"",""ABS82427.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3197,3197,56%,0.0,96.81,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QGL51694.1?report=genbank&log$=prottop&blast_rank=18&RID=MB1E83HR013"",""QGL51694.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,3187,3187,56%,0.0,96.68,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJS39822.1?report=genbank&log$=prottop&blast_rank=19&RID=MB1E83HR013"",""QJS39822.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,3187,3187,56%,0.0,96.99,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92679.1?report=genbank&log$=prottop&blast_rank=20&RID=MB1E83HR013"",""UCR92679.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,3185,3185,56%,0.0,96.62,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULY68643.1?report=genbank&log$=prottop&blast_rank=21&RID=MB1E83HR013"",""ULY68643.1"")"
