Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Black queen cell virus isolate BQCV_MR, complete genome",Black queen cell virus,9583,9583,99%,0.0,97.51,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH267693.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8NBHYBW016"",""MH267693.1"")"
"Black queen cell virus isolate BQCV_MS, complete genome",Black queen cell virus,9579,9579,99%,0.0,97.44,8454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH267694.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8NBHYBW016"",""MH267694.1"")"
"Black queen cell virus isolate BQCV-MR-OCT15, complete genome",Black queen cell virus,9556,9556,99%,0.0,97.41,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636341.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8NBHYBW016"",""MT636341.1"")"
"Black queen cell virus isolate BQCV-MR-AUG15, complete genome",Black queen cell virus,9542,9542,99%,0.0,97.35,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636339.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8NBHYBW016"",""MT636339.1"")"
"Black queen cell virus isolate BQCV-MS-JUN15, complete genome",Black queen cell virus,9524,9524,99%,0.0,97.28,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636343.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8NBHYBW016"",""MT636343.1"")"
"Black queen cell virus isolate BQCV-MS-APR15, complete genome",Black queen cell virus,9524,9524,99%,0.0,97.28,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636342.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8NBHYBW016"",""MT636342.1"")"
"Black queen cell virus isolate BQCV-MS-SEP15, complete genome",Black queen cell virus,9520,9520,99%,0.0,97.26,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636345.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8NBHYBW016"",""MT636345.1"")"
"Black queen cell virus isolate BQCV-MR-APR15, complete genome",Black queen cell virus,9520,9520,99%,0.0,97.26,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636337.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8NBHYBW016"",""MT636337.1"")"
"Black queen cell virus isolate BQCV-MR-JUN15, complete genome",Black queen cell virus,9515,9515,99%,0.0,97.25,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636338.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8NBHYBW016"",""MT636338.1"")"
"Black queen cell virus isolate BQCV-MS-AUG15, complete genome",Black queen cell virus,9511,9511,99%,0.0,97.23,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636344.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8NBHYBW016"",""MT636344.1"")"
"Black queen cell virus isolate BQCV-MR-SEP15, complete genome",Black queen cell virus,9497,9497,99%,0.0,97.18,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636340.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8NBHYBW016"",""MT636340.1"")"
"Black queen cell virus isolate BQCV-MS-OCT15, complete genome",Black queen cell virus,9493,9493,99%,0.0,97.16,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636346.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8NBHYBW016"",""MT636346.1"")"
"Black queen cell virus isolate BQCV/PNG-2014, complete genome",Black queen cell virus,9046,9046,100%,0.0,95.30,8488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT482475.1?report=genbank&log$=nucltop&blast_rank=13&RID=M8NBHYBW016"",""MT482475.1"")"
"Black queen cell virus isolate BQCV/PNG-2018, complete genome",Black queen cell virus,8979,8979,99%,0.0,95.05,8412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT482476.1?report=genbank&log$=nucltop&blast_rank=14&RID=M8NBHYBW016"",""MT482476.1"")"
"Black queen cell virus strain PP, complete genome",Black queen cell virus,8856,8856,100%,0.0,94.56,8511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY243932.1?report=genbank&log$=nucltop&blast_rank=15&RID=M8NBHYBW016"",""KY243932.1"")"
"Black queen cell virus isolate BQCV_No3_Acc010-HN2019, complete genome",Black queen cell virus,8694,8694,100%,0.0,93.93,8457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821802.1?report=genbank&log$=nucltop&blast_rank=16&RID=M8NBHYBW016"",""MZ821802.1"")"
"Black queen cell virus isolate Sydney non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,8270,8270,100%,0.0,92.28,8450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF623171.1?report=genbank&log$=nucltop&blast_rank=17&RID=M8NBHYBW016"",""MF623171.1"")"
"Black queen cell virus isolate BQCV/144I, complete genome",Black queen cell virus,8268,8268,100%,0.0,92.24,8464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN565034.1?report=genbank&log$=nucltop&blast_rank=18&RID=M8NBHYBW016"",""MN565034.1"")"
"Black queen cell virus isolate FTA1-7, complete genome",Black queen cell virus,8219,8219,99%,0.0,92.19,8436,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT096521.1?report=genbank&log$=nucltop&blast_rank=19&RID=M8NBHYBW016"",""MT096521.1"")"
"Black queen cell virus strain BQCV4B non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,8205,8205,100%,0.0,92.03,8467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL803818.1?report=genbank&log$=nucltop&blast_rank=20&RID=M8NBHYBW016"",""OL803818.1"")"
