Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
xenotropic and polytropic retrovirus receptor 1-like [Nomia melanderi],Nomia melanderi,1361,1361,44%,0.0,100.00,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031828108.1?report=genbank&log$=prottop&blast_rank=1&RID=KSKKNXG401R"",""XP_031828108.1"")"
xenotropic and polytropic retrovirus receptor 1-like [Megalopta genalis],Megalopta genalis,1331,1331,44%,0.0,97.30,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033330944.1?report=genbank&log$=prottop&blast_rank=2&RID=KSKKNXG401R"",""XP_033330944.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X1 [Frieseomelitta varia],Frieseomelitta varia,1301,1301,44%,0.0,94.29,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043512878.1?report=genbank&log$=prottop&blast_rank=3&RID=KSKKNXG401R"",""XP_043512878.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X1 [Apis mellifera],Apis mellifera,1299,1299,44%,0.0,93.54,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016773009.2?report=genbank&log$=prottop&blast_rank=4&RID=KSKKNXG401R"",""XP_016773009.2"")"
LOW QUALITY PROTEIN: xenotropic and polytropic retrovirus receptor 1 [Apis florea],Apis florea,1296,1296,44%,0.0,93.39,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003693749.1?report=genbank&log$=prottop&blast_rank=5&RID=KSKKNXG401R"",""XP_003693749.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1-like isoform X2 [Megachile rotundata],Megachile rotundata,1294,1294,44%,0.0,93.98,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003708490.1?report=genbank&log$=prottop&blast_rank=6&RID=KSKKNXG401R"",""XP_003708490.1"")"
xenotropic and polytropic retrovirus receptor 1 isoform X1 [Apis cerana],Apis cerana,1293,1293,44%,0.0,92.94,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016917659.1?report=genbank&log$=prottop&blast_rank=7&RID=KSKKNXG401R"",""XP_016917659.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X1 [Apis laboriosa],Apis laboriosa,1292,1292,44%,0.0,93.09,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043801430.1?report=genbank&log$=prottop&blast_rank=8&RID=KSKKNXG401R"",""XP_043801430.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X1 [Osmia lignaria],Osmia lignaria,1291,1291,44%,0.0,93.84,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034177825.1?report=genbank&log$=prottop&blast_rank=9&RID=KSKKNXG401R"",""XP_034177825.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1-like [Habropoda laboriosa],Habropoda laboriosa,1291,1291,44%,0.0,93.69,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017794223.1?report=genbank&log$=prottop&blast_rank=10&RID=KSKKNXG401R"",""XP_017794223.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X1 [Osmia bicornis bicornis],Osmia bicornis bicornis,1290,1290,44%,0.0,93.69,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029032385.1?report=genbank&log$=prottop&blast_rank=11&RID=KSKKNXG401R"",""XP_029032385.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X1 [Colletes gigas],Colletes gigas,1289,1289,44%,0.0,93.70,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043248156.1?report=genbank&log$=prottop&blast_rank=12&RID=KSKKNXG401R"",""XP_043248156.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X1 [Apis dorsata],Apis dorsata,1289,1289,44%,0.0,92.94,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006624306.1?report=genbank&log$=prottop&blast_rank=13&RID=KSKKNXG401R"",""XP_006624306.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X2 [Colletes gigas],Colletes gigas,1285,1285,44%,0.0,92.87,673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043248157.1?report=genbank&log$=prottop&blast_rank=14&RID=KSKKNXG401R"",""XP_043248157.1"")"
xenotropic and polytropic retrovirus receptor 1 homolog isoform X1 [Ceratina calcarata],Ceratina calcarata,1282,1282,44%,0.0,92.48,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017881515.1?report=genbank&log$=prottop&blast_rank=15&RID=KSKKNXG401R"",""XP_017881515.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X1 [Bombus pyrosoma],Bombus pyrosoma,1281,1281,44%,0.0,92.64,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043586860.1?report=genbank&log$=prottop&blast_rank=16&RID=KSKKNXG401R"",""XP_043586860.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1-like [Eufriesea mexicana],Eufriesea mexicana,1280,1280,44%,0.0,92.94,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017755193.1?report=genbank&log$=prottop&blast_rank=17&RID=KSKKNXG401R"",""XP_017755193.1"")"
xenotropic and polytropic retrovirus receptor 1-like [Bombus affinis],Bombus affinis,1280,1280,44%,0.0,92.64,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050583035.1?report=genbank&log$=prottop&blast_rank=18&RID=KSKKNXG401R"",""XP_050583035.1"")"
xenotropic and polytropic retrovirus receptor 1 [Bombus impatiens],Bombus impatiens,1279,1279,44%,0.0,92.34,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003488456.1?report=genbank&log$=prottop&blast_rank=19&RID=KSKKNXG401R"",""XP_003488456.1"")"
Xenotropic and polytropic retrovirus receptor [Apis cerana cerana],Apis cerana cerana,1279,1279,45%,0.0,91.12,1084,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PBC25345.1?report=genbank&log$=prottop&blast_rank=20&RID=KSKKNXG401R"",""PBC25345.1"")"
xenotropic and polytropic retrovirus receptor 1 [Bombus terrestris],Bombus terrestris,1278,1278,44%,0.0,92.49,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003396567.1?report=genbank&log$=prottop&blast_rank=21&RID=KSKKNXG401R"",""XP_003396567.1"")"
xenotropic and polytropic retrovirus receptor 1-like [Bombus vosnesenskii],Bombus vosnesenskii,1278,1278,44%,0.0,92.19,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033364304.1?report=genbank&log$=prottop&blast_rank=22&RID=KSKKNXG401R"",""XP_033364304.1"")"
hypothetical protein KM043_010570 [Ampulex compressa],Ampulex compressa,1251,1251,44%,0.0,89.24,669,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG7211262.1?report=genbank&log$=prottop&blast_rank=23&RID=KSKKNXG401R"",""KAG7211262.1"")"
hypothetical protein KM043_010570 [Ampulex compressa],Ampulex compressa,1243,1243,44%,0.0,88.56,673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG7211263.1?report=genbank&log$=prottop&blast_rank=24&RID=KSKKNXG401R"",""KAG7211263.1"")"
unnamed protein product [Heterotrigona itama],Heterotrigona itama,1240,1240,43%,0.0,93.17,644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD1480448.1?report=genbank&log$=prottop&blast_rank=25&RID=KSKKNXG401R"",""CAD1480448.1"")"
xenotropic and polytropic retrovirus receptor 1-like [Pseudomyrmex gracilis],Pseudomyrmex gracilis,1234,1234,44%,0.0,88.25,664,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020291001.1?report=genbank&log$=prottop&blast_rank=26&RID=KSKKNXG401R"",""XP_020291001.1"")"
PREDICTED: xenotropic and polytropic retrovirus receptor 1-like [Dufourea novaeangliae],Dufourea novaeangliae,1229,1229,41%,0.0,96.27,988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015436168.1?report=genbank&log$=prottop&blast_rank=27&RID=KSKKNXG401R"",""XP_015436168.1"")"
