Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2092,2092,66%,0.0,98.46,1101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIM56910.1?report=genbank&log$=prottop&blast_rank=1&RID=MB0BVMCR013"",""QIM56910.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2090,2090,66%,0.0,98.46,1101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNT38390.1?report=genbank&log$=prottop&blast_rank=2&RID=MB0BVMCR013"",""QNT38390.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2090,2090,66%,0.0,98.55,1101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIA10371.1?report=genbank&log$=prottop&blast_rank=3&RID=MB0BVMCR013"",""AIA10371.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2090,2090,66%,0.0,98.55,1101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_919039.1?report=genbank&log$=prottop&blast_rank=4&RID=MB0BVMCR013"",""NP_919039.1"")"
polyprotein 2 [Tobacco ringspot virus],Tobacco ringspot virus,2083,2083,66%,0.0,98.09,1101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QWT83717.1?report=genbank&log$=prottop&blast_rank=5&RID=MB0BVMCR013"",""QWT83717.1"")"
polyprotein 2 [Tobacco ringspot virus],Tobacco ringspot virus,2069,2069,66%,0.0,96.46,1099,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QZA75410.1?report=genbank&log$=prottop&blast_rank=6&RID=MB0BVMCR013"",""QZA75410.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2069,2069,66%,0.0,97.64,1101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UHJ79683.1?report=genbank&log$=prottop&blast_rank=7&RID=MB0BVMCR013"",""UHJ79683.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2063,2063,66%,0.0,97.10,1102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNT38388.1?report=genbank&log$=prottop&blast_rank=8&RID=MB0BVMCR013"",""QNT38388.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2060,2060,66%,0.0,97.10,1102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNT38386.1?report=genbank&log$=prottop&blast_rank=9&RID=MB0BVMCR013"",""QNT38386.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,2058,2058,66%,0.0,95.92,1100,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QWY04406.1?report=genbank&log$=prottop&blast_rank=10&RID=MB0BVMCR013"",""QWY04406.1"")"
