Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Turnip ringspot virus isolate DSMZ PV-0355 segment RNA 1, partial sequence",Turnip ringspot virus,349,349,100%,1e-91,97.12,6082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW274715.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8BBD53C016"",""MW274715.1"")"
"Turnip ringspot virus isolate Toledo segment RNA 1, complete sequence",Turnip ringspot virus,331,331,100%,3e-86,95.19,6082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ712026.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8BBD53C016"",""FJ712026.1"")"
"Turnip ringspot virus isolate B segment RNA1, complete sequence",Turnip ringspot virus,259,259,100%,1e-64,87.50,6084,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ222381.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8BBD53C016"",""GQ222381.1"")"
"Turnip ringspot virus isolate M12 segment RNA1, complete sequence",Turnip ringspot virus,250,250,100%,8e-62,86.54,6078,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ516745.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8BBD53C016"",""FJ516745.1"")"
"Turnip ringspot virus isolate CV-3 segment RNA1, complete sequence",Turnip ringspot virus,227,227,100%,9e-55,84.13,6076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU968732.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8BBD53C016"",""GU968732.1"")"
"Turnip ringspot virus isolate TR59 segment RNA1, complete sequence",Turnip ringspot virus,224,224,99%,1e-53,83.98,6027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW720558.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8BBD53C016"",""MW720558.1"")"
"Radish mosaic virus isolate RaMV1 segment RNA1 polyprotein gene, complete cds",Radish mosaic virus,94.2,94.2,81%,1e-14,72.19,6048,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU450837.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8BBD53C016"",""EU450837.1"")"
"Radish mosaic virus isolate Bb segment RNA1, complete sequence",Radish mosaic virus,85.1,85.1,83%,7e-12,71.59,6065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW810303.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8BBD53C016"",""MW810303.1"")"
"Radish mosaic virus isolate Jj-5 segment RNA1, complete sequence",Radish mosaic virus,76.1,76.1,83%,3e-09,70.45,6065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH053441.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8BBD53C016"",""MH053441.1"")"
"Radish mosaic virus isolate Aa segment RNA1, complete sequence",Radish mosaic virus,76.1,76.1,83%,3e-09,70.45,6065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW810307.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8BBD53C016"",""MW810307.1"")"
"Radish mosaic virus isolate DH-1 segment RNA1, complete sequence",Radish mosaic virus,75.2,75.2,77%,3e-09,70.19,6041,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM032712.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8BBD53C016"",""HM032712.1"")"
"Radish mosaic virus genomic RNA, segment RNA1, complete sequence, strain: California",Radish mosaic virus,73.4,73.4,81%,1e-08,70.35,6063,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB456531.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8BBD53C016"",""AB456531.1"")"
"Radish mosaic virus isolate Gg segment RNA1, complete sequence",Radish mosaic virus,71.6,71.6,83%,4e-08,69.89,6065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW810305.1?report=genbank&log$=nucltop&blast_rank=13&RID=M8BBD53C016"",""MW810305.1"")"
"Radish mosaic virus genomic RNA, segment RNA1, complete sequence",Radish mosaic virus,68.9,68.9,81%,5e-07,69.77,6064,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB295643.1?report=genbank&log$=nucltop&blast_rank=14&RID=M8BBD53C016"",""AB295643.1"")"



		


