Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Tobacco ringspot virus isolate DSMZ PV-0236 segment RNA1 polyprotein 1 gene, complete cds",Tobacco ringspot virus,11975,11975,85%,0.0,95.58,7483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW057706.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8NBHYBW016"",""MW057706.1"")"
"Tobacco ringspot virus isolate DSMZ PV-0234 segment RNA1 polyprotein 1 gene, complete cds",Tobacco ringspot virus,11972,11972,85%,0.0,95.57,7482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW961154.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8NBHYBW016"",""MW961154.1"")"
"Tobacco ringspot virus isolate TRSV-OH19 polyprotein gene, complete cds",Tobacco ringspot virus,11814,11814,85%,0.0,94.92,7504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT577351.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8NBHYBW016"",""MT577351.1"")"
"Tobacco ringspot virus isolate SK segment RNA1, complete sequence",Tobacco ringspot virus,11684,11684,85%,0.0,94.52,7513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ556849.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8NBHYBW016"",""KJ556849.1"")"
"Tobacco ringspot virus isolate WA-AM1 segment RNA1, complete sequence",Tobacco ringspot virus,11367,11367,85%,0.0,93.60,7512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW495243.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8NBHYBW016"",""MW495243.1"")"
"Tobacco ringspot virus isolate YW segment RNA1, complete sequence",Tobacco ringspot virus,10790,10790,85%,0.0,91.90,7512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT042825.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8NBHYBW016"",""MT042825.1"")"
"Tobacco ringspot virus isolate Budblight segment RNA1, complete sequence",Tobacco ringspot virus,10527,10527,85%,0.0,91.10,7516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT210150.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8NBHYBW016"",""MT210150.1"")"
"Tobacco ringspot virus isolate CmTX-J segment RNA 1, complete sequence",Tobacco ringspot virus,10424,10424,85%,0.0,90.99,7466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN504768.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8NBHYBW016"",""MN504768.1"")"
"Tobacco ringspot virus isolate CmTX-B segment RNA 1, complete sequence",Tobacco ringspot virus,10410,10410,85%,0.0,90.93,7467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN504760.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8NBHYBW016"",""MN504760.1"")"
"Tobacco ringspot virus isolate CmTX-G segment RNA 1, complete sequence",Tobacco ringspot virus,10375,10375,85%,0.0,90.84,7466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN504765.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8NBHYBW016"",""MN504765.1"")"
"Tobacco ringspot virus isolate CmTX-D segment RNA 1, complete sequence",Tobacco ringspot virus,10366,10366,85%,0.0,90.81,7467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN504762.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8NBHYBW016"",""MN504762.1"")"
"Tobacco ringspot virus isolate CmTX-H segment RNA 1, complete sequence",Tobacco ringspot virus,10358,10358,85%,0.0,90.77,7466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN504766.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8NBHYBW016"",""MN504766.1"")"
