Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Anoplius nigerrimus genome assembly, chromosome: 10",Anoplius nigerrimus,114,114,95%,6e-21,69.23,17689675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU612086.1?report=genbank&log$=nucltop&blast_rank=1&RID=KSUVA36S01R"",""OU612086.1"")"
"Hymenopteran orino-related virus OKIAV85 nucleoprotein, hypothetical protein, glycoprotein, and RdRp genes, complete cds",Hymenopteran orino-related virus OKIAV85,102,102,92%,4e-17,69.17,9813,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW039259.1?report=genbank&log$=nucltop&blast_rank=2&RID=KSUVA36S01R"",""MW039259.1"")"
"Formica exsecta virus 4 ORF5 (gp5), ORF4 (gp4), ORF3 (gp3), ORF2 (gp2), and RNA-dependent RNA polymerase (gp1) genes, complete cds",Formica exsecta virus 4,100,100,71%,1e-16,71.57,9866,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF287670.1?report=genbank&log$=nucltop&blast_rank=3&RID=KSUVA36S01R"",""MF287670.1"")"
"Formica fusca virus 1, complete genome",Formica fusca virus 1,87.8,87.8,95%,8e-13,67.03,9851,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH477287.1?report=genbank&log$=nucltop&blast_rank=4&RID=KSUVA36S01R"",""MH477287.1"")"
"Macropis europaea genome assembly, chromosome: 1",Macropis europaea,80.6,80.6,86%,1e-10,67.74,56347481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU744343.1?report=genbank&log$=nucltop&blast_rank=5&RID=KSUVA36S01R"",""OU744343.1"")"
"Lysandra coridon genome assembly, chromosome: 31",Lysandra coridon,75.2,75.2,55%,5e-09,70.89,6031586,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HG992086.1?report=genbank&log$=nucltop&blast_rank=6&RID=KSUVA36S01R"",""HG992086.1"")"
"Schrankia costaestrigalis genome assembly, chromosome: 17",Schrankia costaestrigalis,66.2,66.2,54%,3e-06,69.23,18905260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FR997842.1?report=genbank&log$=nucltop&blast_rank=7&RID=KSUVA36S01R"",""FR997842.1"")"
"Sphecodes monilicornis genome assembly, chromosome: 14",Sphecodes monilicornis,65.3,121,39%,9e-06,72.57,22336721,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU565297.1?report=genbank&log$=nucltop&blast_rank=8&RID=KSUVA36S01R"",""OU565297.1"")"
"Hymenopteran orino-related virus OKIAV88 cRNA sequence, sequence",Hymenopteran orino-related virus OKIAV88,53.6,53.6,38%,0.016,70.64,7257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT153292.1?report=genbank&log$=nucltop&blast_rank=9&RID=KSUVA36S01R"",""MT153292.1"")"



		


