Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein RP20_CCG012871 [Aedes albopictus],Aedes albopictus,98.6,98.6,86%,2e-21,47.52,417,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KXJ67779.1?report=genbank&log$=prottop&blast_rank=1&RID=M8DGMS10016"",""KXJ67779.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Phytophthora ramorum],Phytophthora ramorum,97.8,97.8,86%,1e-20,45.54,1380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH7460365.1?report=genbank&log$=prottop&blast_rank=2&RID=M8DGMS10016"",""KAH7460365.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Papilio machaon],Papilio machaon,97.8,97.8,86%,1e-20,46.08,1356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KPJ16606.1?report=genbank&log$=prottop&blast_rank=3&RID=M8DGMS10016"",""KPJ16606.1"")"
unnamed protein product [Microthlaspi erraticum],Microthlaspi erraticum,95.5,95.5,91%,2e-20,43.93,356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAA7034524.1?report=genbank&log$=prottop&blast_rank=4&RID=M8DGMS10016"",""CAA7034524.1"")"
hypothetical protein ISN45_Aa08g017360 [Arabidopsis thaliana x Arabidopsis arenosa],Arabidopsis thaliana x Arabidopsis arenosa,96.7,96.7,98%,3e-20,40.62,1160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG7534157.1?report=genbank&log$=prottop&blast_rank=5&RID=M8DGMS10016"",""KAG7534157.1"")"
reverse transcriptase [Cucumis melo],Cucumis melo,90.1,90.1,86%,3e-20,44.66,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAJ76158.1?report=genbank&log$=prottop&blast_rank=6&RID=M8DGMS10016"",""CAJ76158.1"")"
unnamed protein product [Microthlaspi erraticum],Microthlaspi erraticum,93.6,93.6,86%,5e-20,44.12,294,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAA7059126.1?report=genbank&log$=prottop&blast_rank=7&RID=M8DGMS10016"",""CAA7059126.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Artemisia annua],Artemisia annua,95.5,95.5,86%,8e-20,44.66,1426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PWA52766.1?report=genbank&log$=prottop&blast_rank=8&RID=M8DGMS10016"",""PWA52766.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Phytophthora ramorum],Phytophthora ramorum,95.1,95.1,86%,9e-20,44.55,1288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH7460335.1?report=genbank&log$=prottop&blast_rank=9&RID=M8DGMS10016"",""KAH7460335.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Phytophthora ramorum],Phytophthora ramorum,95.1,95.1,86%,9e-20,44.55,1218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH7488929.1?report=genbank&log$=prottop&blast_rank=10&RID=M8DGMS10016"",""KAH7488929.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Phytophthora ramorum],Phytophthora ramorum,95.1,95.1,86%,1e-19,44.55,1245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH7460336.1?report=genbank&log$=prottop&blast_rank=11&RID=M8DGMS10016"",""KAH7460336.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Phytophthora ramorum],Phytophthora ramorum,94.7,94.7,86%,1e-19,44.55,1380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH7460350.1?report=genbank&log$=prottop&blast_rank=12&RID=M8DGMS10016"",""KAH7460350.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Phytophthora ramorum],Phytophthora ramorum,94.7,94.7,86%,1e-19,44.55,1379,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH7460359.1?report=genbank&log$=prottop&blast_rank=13&RID=M8DGMS10016"",""KAH7460359.1"")"
cysteine-rich RLK (RECEPTOR-like protein kinase) 8 [Striga hermonthica],Striga hermonthica,91.3,91.3,86%,1e-19,46.08,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAA0815779.1?report=genbank&log$=prottop&blast_rank=14&RID=M8DGMS10016"",""CAA0815779.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Phytophthora ramorum],Phytophthora ramorum,94.7,94.7,86%,1e-19,44.55,1380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH7460332.1?report=genbank&log$=prottop&blast_rank=15&RID=M8DGMS10016"",""KAH7460332.1"")"
hypothetical protein GEV33_008185 [Tenebrio molitor],Tenebrio molitor,94.7,94.7,86%,1e-19,41.58,1468,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH0814606.1?report=genbank&log$=prottop&blast_rank=16&RID=M8DGMS10016"",""KAH0814606.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Phytophthora ramorum],Phytophthora ramorum,94.7,94.7,86%,1e-19,44.55,1358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH7488936.1?report=genbank&log$=prottop&blast_rank=17&RID=M8DGMS10016"",""KAH7488936.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Phytophthora ramorum],Phytophthora ramorum,94.7,94.7,86%,1e-19,44.55,1380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH7460355.1?report=genbank&log$=prottop&blast_rank=18&RID=M8DGMS10016"",""KAH7460355.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Phytophthora ramorum],Phytophthora ramorum,94.7,94.7,86%,1e-19,44.55,1068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH7460372.1?report=genbank&log$=prottop&blast_rank=19&RID=M8DGMS10016"",""KAH7460372.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Phytophthora ramorum],Phytophthora ramorum,94.7,94.7,86%,1e-19,44.55,1292,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH7488928.1?report=genbank&log$=prottop&blast_rank=20&RID=M8DGMS10016"",""KAH7488928.1"")"
