Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Black queen cell virus strain NOR/T2-2017 helicase gene, partial cds",Black queen cell virus,555,555,100%,2E-153,97.27,539,Erro:501
"Black queen cell virus strain NOR/E3-2017 helicase gene, partial cds",Black queen cell virus,553,553,100%,8E-153,96.97,499,Erro:501
"Black queen cell virus isolate BQCV_MS, complete genome",Black queen cell virus,551,551,100%,3E-152,96.97,8454,Erro:501
"Black queen cell virus isolate BQCV_MR, complete genome",Black queen cell virus,551,551,100%,3E-152,96.97,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-SEP15, complete genome",Black queen cell virus,551,551,100%,3E-152,96.97,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-JUN15, complete genome",Black queen cell virus,551,551,100%,3E-152,96.97,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-APR15, complete genome",Black queen cell virus,551,551,100%,3E-152,96.97,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-OCT15, complete genome",Black queen cell virus,551,551,100%,3E-152,96.97,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-SEP15, complete genome",Black queen cell virus,551,551,100%,3E-152,96.97,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-AUG15, complete genome",Black queen cell virus,551,551,100%,3E-152,96.97,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-JUN15, complete genome",Black queen cell virus,551,551,100%,3E-152,96.97,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-APR15, complete genome",Black queen cell virus,551,551,100%,3E-152,96.97,8432,Erro:501
"Black queen cell virus strain NOR/T7-2017 helicase gene, partial cds",Black queen cell virus,546,546,100%,1E-150,96.67,537,Erro:501
"Black queen cell virus strain NOR/H6-2017 helicase gene, partial cds",Black queen cell virus,546,546,100%,1E-150,96.67,539,Erro:501
"Black queen cell virus strain NOR/H5-2017 helicase gene, partial cds",Black queen cell virus,546,546,100%,1E-150,96.67,535,Erro:501
"Black queen cell virus isolate BQCV-MS-OCT15, complete genome",Black queen cell virus,546,546,100%,1E-150,96.67,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-AUG15, complete genome",Black queen cell virus,546,546,100%,1E-150,96.67,8432,Erro:501
"Black queen cell virus strain NOR/T6-2017 helicase gene, partial cds",Black queen cell virus,543,543,100%,1E-149,96.06,535,Erro:501
"Black queen cell virus isolate FTA1-7, complete genome",Black queen cell virus,542,542,100%,1E-149,96.36,8436,Erro:501
"Black queen cell virus strain NOR/H4-2017 helicase gene, partial cds",Black queen cell virus,542,542,100%,1E-149,96.36,527,Erro:501
"Black queen cell virus strain BQCV_Sydney, complete genome",Black queen cell virus,528,528,100%,3E-145,94.85,8430,Erro:501
"Black queen cell virus isolate BQCV/PNG-2018, complete genome",Black queen cell virus,524,524,100%,4E-144,95.15,8412,Erro:501
"Black queen cell virus isolate BQCV/PNG-2014, complete genome",Black queen cell virus,519,519,100%,2E-142,94.85,8488,Erro:501
"Black queen cell virus strain Am-2 helicase gene, partial cds",Black queen cell virus,519,519,100%,2E-142,94.85,571,Erro:501
"Black queen cell virus strain PP, complete genome",Black queen cell virus,508,508,99%,3E-139,94.22,8511,Erro:501
"Black queen cell virus helicase domain C gene, partial cds",Black queen cell virus,506,506,100%,1E-138,93.94,815,Erro:501
"Black queen cell virus isolate BQCV_No3_Acc010-HN2019, complete genome",Black queen cell virus,501,501,99%,4E-137,93.62,8457,Erro:501
"Black queen cell virus strain Am-1 helicase gene, partial cds",Black queen cell virus,497,497,100%,5E-136,93.33,571,Erro:501
"Black queen cell virus isolate TriniPa-Quinam-04 nonfunctional non-structural protein, complete sequence",Black queen cell virus,486,486,93%,1E-132,94.82,670,Erro:501
"Black queen cell virus strain NOR/E10-2017 helicase gene, partial cds",Black queen cell virus,484,484,89%,3E-132,95.92,417,Erro:501
"Black queen cell virus isolate BQCV_No9_Am007-BJ2019, complete genome",Black queen cell virus,459,459,99%,1E-124,90.88,8450,Erro:501
"Black queen cell virus isolate BQCV_No4_Acc014-JL2016, complete genome",Black queen cell virus,459,459,99%,1E-124,90.88,8449,Erro:501
"Black queen cell virus strain HUNGARY-10 non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,459,459,99%,1E-124,90.88,8335,Erro:501
"Black queen cell virus strain HUNGARY-9 helicase and structural polyprotein genes, partial cds",Black queen cell virus,459,459,99%,1E-124,90.88,4827,Erro:501
"Black queen cell virus strain HUNGARY-6 helicase and structural polyprotein genes, partial cds",Black queen cell virus,459,459,99%,1E-124,90.88,4827,Erro:501
"Black queen cell virus isolate GS1, complete genome",Black queen cell virus,454,454,99%,6E-123,90.58,8440,Erro:501
"Black queen cell virus isolate BQCV_No15_Am049-SD2019, complete genome",Black queen cell virus,454,454,99%,6E-123,90.58,8455,Erro:501
"Black queen cell virus isolate BQCV_No13_Am043-LN2017, complete genome",Black queen cell virus,454,454,99%,6E-123,90.58,8453,Erro:501
