Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Black queen cell virus strain VN3 non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,852,852,100%,0.0,96.88,6884,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY465683.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8PN190D013"",""KY465683.1"")"
"Black queen cell virus isolate JdM_PP structural polyprotein gene, partial cds",Black queen cell virus,852,852,100%,0.0,96.88,2651,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY363519.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8PN190D013"",""KY363519.1"")"
"Black queen cell virus strain PP, complete genome",Black queen cell virus,852,852,100%,0.0,96.88,8511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY243932.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8PN190D013"",""KY243932.1"")"
"Black queen cell virus isolate BQCV_No14_Am046-NMG2019, complete genome",Black queen cell virus,852,852,100%,0.0,96.88,8458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821813.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8PN190D013"",""MZ821813.1"")"
"Black queen cell virus isolate Sydney non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,843,843,100%,0.0,96.48,8450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF623171.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8PN190D013"",""MF623171.1"")"
"Black queen cell virus strain SA non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,843,843,100%,0.0,96.48,6884,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY465685.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8PN190D013"",""KY465685.1"")"
"Black queen cell virus strain VN1 non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,829,829,100%,0.0,95.90,6884,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY465684.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8PN190D013"",""KY465684.1"")"
"Black queen cell virus isolate BQCV/PNG-2018, complete genome",Black queen cell virus,820,820,100%,0.0,95.51,8412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT482476.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8PN190D013"",""MT482476.1"")"
"Black queen cell virus isolate BQCV/PNG-2014, complete genome",Black queen cell virus,820,820,100%,0.0,95.51,8488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT482475.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8PN190D013"",""MT482475.1"")"
"Black queen cell virus strain NT non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,802,802,100%,0.0,94.73,5420,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY465688.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8PN190D013"",""KY465688.1"")"
"Black queen cell virus isolate GS1, complete genome",Black queen cell virus,775,775,100%,0.0,93.55,8440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY741959.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8PN190D013"",""KY741959.1"")"
"Black queen cell virus structural polyprotein gene, partial cds",Black queen cell virus,769,769,91%,0.0,96.57,1231,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY626246.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8PN190D013"",""AY626246.1"")"
"Black queen cell virus isolate BQCV/144I, complete genome",Black queen cell virus,766,766,100%,0.0,93.16,8464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN565034.1?report=genbank&log$=nucltop&blast_rank=13&RID=M8PN190D013"",""MN565034.1"")"
"Black queen cell virus isolate BQCV_No7_AM-GD-2017-3, complete genome",Black queen cell virus,766,766,100%,0.0,93.16,8450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821806.1?report=genbank&log$=nucltop&blast_rank=14&RID=M8PN190D013"",""MZ821806.1"")"
"Black queen cell virus isolate BQCV_No5_Acc019-SD2017, complete genome",Black queen cell virus,764,764,100%,0.0,92.97,8454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821804.1?report=genbank&log$=nucltop&blast_rank=15&RID=M8PN190D013"",""MZ821804.1"")"
"Black queen cell virus isolate BQCV_No6_AM-077-HN2017-3, complete genome",Black queen cell virus,762,762,100%,0.0,92.97,8451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821805.1?report=genbank&log$=nucltop&blast_rank=16&RID=M8PN190D013"",""MZ821805.1"")"
"Black queen cell virus isolate BQCV_No3_Acc010-HN2019, complete genome",Black queen cell virus,762,762,100%,0.0,92.97,8457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821802.1?report=genbank&log$=nucltop&blast_rank=17&RID=M8PN190D013"",""MZ821802.1"")"
"Black queen cell virus isolate BQCV_MS, complete genome",Black queen cell virus,753,753,100%,0.0,92.58,8454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH267694.1?report=genbank&log$=nucltop&blast_rank=18&RID=M8PN190D013"",""MH267694.1"")"
"Black queen cell virus isolate BQCV_MR, complete genome",Black queen cell virus,753,753,100%,0.0,92.58,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH267693.1?report=genbank&log$=nucltop&blast_rank=19&RID=M8PN190D013"",""MH267693.1"")"
"Black queen cell virus isolate BQCV-MS-AUG15, complete genome",Black queen cell virus,753,753,100%,0.0,92.58,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636344.1?report=genbank&log$=nucltop&blast_rank=20&RID=M8PN190D013"",""MT636344.1"")"
"Black queen cell virus isolate BQCV_No17_Am059-TJ2019, complete genome",Black queen cell virus,753,753,100%,0.0,92.58,8457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821816.1?report=genbank&log$=nucltop&blast_rank=21&RID=M8PN190D013"",""MZ821816.1"")"
"Black queen cell virus isolate BQCV_No9_Am007-BJ2019, complete genome",Black queen cell virus,753,753,100%,0.0,92.58,8450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821808.1?report=genbank&log$=nucltop&blast_rank=22&RID=M8PN190D013"",""MZ821808.1"")"
"Black queen cell virus isolate BQCV-MS-SEP15, complete genome",Black queen cell virus,748,748,100%,0.0,92.38,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636345.1?report=genbank&log$=nucltop&blast_rank=23&RID=M8PN190D013"",""MT636345.1"")"
"Black queen cell virus isolate BQCV-MS-JUN15, complete genome",Black queen cell virus,748,748,100%,0.0,92.38,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636343.1?report=genbank&log$=nucltop&blast_rank=24&RID=M8PN190D013"",""MT636343.1"")"
"Black queen cell virus isolate BQCV-MS-APR15, complete genome",Black queen cell virus,748,748,100%,0.0,92.38,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636342.1?report=genbank&log$=nucltop&blast_rank=25&RID=M8PN190D013"",""MT636342.1"")"
"Black queen cell virus isolate BQCV-MR-OCT15, complete genome",Black queen cell virus,748,748,100%,0.0,92.38,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636341.1?report=genbank&log$=nucltop&blast_rank=26&RID=M8PN190D013"",""MT636341.1"")"
"Black queen cell virus isolate BQCV-MR-SEP15, complete genome",Black queen cell virus,748,748,100%,0.0,92.38,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636340.1?report=genbank&log$=nucltop&blast_rank=27&RID=M8PN190D013"",""MT636340.1"")"
"Black queen cell virus isolate BQCV-MR-AUG15, complete genome",Black queen cell virus,748,748,100%,0.0,92.38,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636339.1?report=genbank&log$=nucltop&blast_rank=28&RID=M8PN190D013"",""MT636339.1"")"
"Black queen cell virus isolate BQCV-MR-JUN15, complete genome",Black queen cell virus,748,748,100%,0.0,92.38,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636338.1?report=genbank&log$=nucltop&blast_rank=29&RID=M8PN190D013"",""MT636338.1"")"
"Black queen cell virus isolate BQCV-MR-APR15, complete genome",Black queen cell virus,748,748,100%,0.0,92.38,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636337.1?report=genbank&log$=nucltop&blast_rank=30&RID=M8PN190D013"",""MT636337.1"")"
"Black queen cell virus isolate BQCV-MS-OCT15, complete genome",Black queen cell virus,744,744,100%,0.0,92.19,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636346.1?report=genbank&log$=nucltop&blast_rank=31&RID=M8PN190D013"",""MT636346.1"")"
"Black queen cell virus isolate BQCV_No1_Acc003-BJ2019, complete genome",Black queen cell virus,744,744,100%,0.0,92.19,8456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821800.1?report=genbank&log$=nucltop&blast_rank=32&RID=M8PN190D013"",""MZ821800.1"")"
"Black queen cell virus strain AY non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,744,744,100%,0.0,92.19,8392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX149531.1?report=genbank&log$=nucltop&blast_rank=33&RID=M8PN190D013"",""JX149531.1"")"
"Black queen cell virus strain BQCV4B non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,739,739,100%,0.0,91.99,8467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL803818.1?report=genbank&log$=nucltop&blast_rank=34&RID=M8PN190D013"",""OL803818.1"")"
"Black queen cell virus strain WA1 non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,735,735,100%,0.0,91.80,6881,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY465680.1?report=genbank&log$=nucltop&blast_rank=35&RID=M8PN190D013"",""KY465680.1"")"
"Black queen cell virus isolate BQCV/Israel/2018 ORF1 gene, complete cds; and ORF2 gene, partial cds",Black queen cell virus,730,730,100%,0.0,91.60,8462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW397638.1?report=genbank&log$=nucltop&blast_rank=36&RID=M8PN190D013"",""MW397638.1"")"
"Black queen cell virus isolate BQCV-IT1, complete genome",Black queen cell virus,726,726,100%,0.0,91.41,8458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT416539.1?report=genbank&log$=nucltop&blast_rank=37&RID=M8PN190D013"",""MT416539.1"")"
"Black queen cell virus isolate BQCV_No16_Am056-SH2019, complete genome",Black queen cell virus,726,726,100%,0.0,91.41,8458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821815.1?report=genbank&log$=nucltop&blast_rank=38&RID=M8PN190D013"",""MZ821815.1"")"
"Black queen cell virus isolate BQCV_No2_Acc005-FJ2019, complete genome",Black queen cell virus,726,726,100%,0.0,91.41,8343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821801.1?report=genbank&log$=nucltop&blast_rank=39&RID=M8PN190D013"",""MZ821801.1"")"
"Black queen cell virus nonstructural polyprotein (orf1) and structural polyprotein (orf2) genes, complete cds",Black queen cell virus,726,726,100%,0.0,91.41,8550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF183905.1?report=genbank&log$=nucltop&blast_rank=40&RID=M8PN190D013"",""AF183905.1"")"
"Black queen cell virus isolate JL1, complete genome",Black queen cell virus,721,721,100%,0.0,91.21,8358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP119603.1?report=genbank&log$=nucltop&blast_rank=41&RID=M8PN190D013"",""KP119603.1"")"
"Black queen cell virus isolate BQCV_No11_Am035-JL2017, complete genome",Black queen cell virus,721,721,100%,0.0,91.21,8452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821810.1?report=genbank&log$=nucltop&blast_rank=42&RID=M8PN190D013"",""MZ821810.1"")"
"Black queen cell virus isolate BQCV_No8_AM-JS-2017-3-1, complete genome",Black queen cell virus,721,721,100%,0.0,91.21,8450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821807.1?report=genbank&log$=nucltop&blast_rank=43&RID=M8PN190D013"",""MZ821807.1"")"
"Black queen cell virus isolate BQCV_No4_Acc014-JL2016, complete genome",Black queen cell virus,719,719,100%,0.0,91.02,8449,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821803.1?report=genbank&log$=nucltop&blast_rank=44&RID=M8PN190D013"",""MZ821803.1"")"
"Black queen cell virus isolate BQCV_No15_Am049-SD2019, complete genome",Black queen cell virus,717,717,100%,0.0,91.02,8455,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821814.1?report=genbank&log$=nucltop&blast_rank=45&RID=M8PN190D013"",""MZ821814.1"")"
"Black queen cell virus isolate BQCV_No12_Am040-JS2019, complete genome",Black queen cell virus,717,717,100%,0.0,91.02,8455,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821811.1?report=genbank&log$=nucltop&blast_rank=46&RID=M8PN190D013"",""MZ821811.1"")"
"Black queen cell virus isolate BQCV_No10_Am024-HN2019, complete genome",Black queen cell virus,717,717,100%,0.0,91.02,8456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821809.1?report=genbank&log$=nucltop&blast_rank=47&RID=M8PN190D013"",""MZ821809.1"")"
"Black queen cell virus strain HUNGARY-10 non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,717,717,100%,0.0,91.02,8335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF517515.1?report=genbank&log$=nucltop&blast_rank=48&RID=M8PN190D013"",""EF517515.1"")"
"Black queen cell virus isolate LN1, complete genome",Black queen cell virus,712,712,100%,0.0,90.82,8440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT559307.1?report=genbank&log$=nucltop&blast_rank=49&RID=M8PN190D013"",""MT559307.1"")"
"Black queen cell virus isolate BQCV_No13_Am043-LN2017, complete genome",Black queen cell virus,708,708,100%,0.0,90.62,8453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821812.1?report=genbank&log$=nucltop&blast_rank=50&RID=M8PN190D013"",""MZ821812.1"")"
"Black queen cell virus strain VN2 non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,703,703,100%,0.0,90.43,6884,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY465682.1?report=genbank&log$=nucltop&blast_rank=51&RID=M8PN190D013"",""KY465682.1"")"
"Black queen cell virus strain QLD non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,685,685,100%,0.0,89.65,6884,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY465686.1?report=genbank&log$=nucltop&blast_rank=52&RID=M8PN190D013"",""KY465686.1"")"
"Black queen cell virus isolate KM-1 non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,676,676,100%,0.0,89.26,8278,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG799370.1?report=genbank&log$=nucltop&blast_rank=53&RID=M8PN190D013"",""MG799370.1"")"
"Black queen cell virus strain POLAND-5 non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,667,667,100%,0.0,88.87,8298,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF517520.1?report=genbank&log$=nucltop&blast_rank=54&RID=M8PN190D013"",""EF517520.1"")"
"Black queen cell virus strain POLAND-6 non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,649,649,100%,0.0,88.09,8302,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF517521.1?report=genbank&log$=nucltop&blast_rank=55&RID=M8PN190D013"",""EF517521.1"")"
"Black queen cell virus strain POLAND-4 non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,645,645,100%,3e-180,87.89,8333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF517519.1?report=genbank&log$=nucltop&blast_rank=56&RID=M8PN190D013"",""EF517519.1"")"
"Black queen cell virus strain TAS non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,640,640,100%,1e-178,87.70,5471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY465687.1?report=genbank&log$=nucltop&blast_rank=57&RID=M8PN190D013"",""KY465687.1"")"
