# DIAMOND v2.0.14. http://github.com/bbuchfink/diamond
# Invocation: ./diamond blastx -q /mountsde1/SRR11881306.fasta -d /mountsdb1/protein_database_taxonomy.dmnd -o /mountsde1/SRR11881306.tsv -e 1e-3 -k 1 --header -f 6 qseqid sseqid pident mismatch gapopen qstart qend sstart send evalue bitscore stitle -p 24 -b8 -c1 -t /dev/shm/
# Fields: Query ID, Subject ID, Percentage of identical matches, Number of mismatches, Number of gap openings, Start of alignment in query, End of alignment in query, Start of alignment in subject, End of alignment in subject, Expected value, Bit score, Subject title
TRINITY_DN74_c0_g1_i2	XP_012144679.1	98.2	5	0	1366	512	1	285	4.53e-32	135	XP_012144679.1 PREDICTED: tropomyosin isoform X13 [Megachile rotundata]
TRINITY_DN74_c0_g1_i9	KZC10438.1	40.4	102	3	692	1378	62	337	4.84e-43	167	KZC10438.1 hypothetical protein WN55_01867 [Dufourea novaeangliae]
TRINITY_DN74_c0_g1_i12	XP_012144679.1	98.2	5	0	1366	512	1	285	4.53e-32	135	XP_012144679.1 PREDICTED: tropomyosin isoform X13 [Megachile rotundata]
TRINITY_DN74_c0_g1_i1	XP_043259197.1	96.1	11	0	1366	512	1	285	5.73e-24	112	XP_043259197.1 tropomyosin isoform X11 [Colletes gigas]
TRINITY_DN74_c0_g1_i10	XP_012144678.1	100	0	0	1366	512	1	285	1.65e-63	218	XP_012144678.1 PREDICTED: tropomyosin isoform X12 [Megachile rotundata]
TRINITY_DN74_c0_g1_i13	XP_012144679.1	98.2	5	0	1366	512	1	285	4.59e-32	135	XP_012144679.1 PREDICTED: tropomyosin isoform X13 [Megachile rotundata]
TRINITY_DN74_c0_g1_i3	KZC10438.1	40.4	102	3	692	1378	62	337	6.61e-43	167	KZC10438.1 hypothetical protein WN55_01867 [Dufourea novaeangliae]
TRINITY_DN74_c0_g1_i11	CAD7423152.1	90.4	5	0	392	237	44	95	9.86e-18	88.6	CAD7423152.1 unnamed protein product [Timema monikensis]
TRINITY_DN74_c2_g1_i1	KZC10438.1	84.2	6	0	5	118	314	351	2.15e-10	66.2	KZC10438.1 hypothetical protein WN55_01867 [Dufourea novaeangliae]
TRINITY_DN63_c0_g1_i3	XP_012239121.1	99.5	3	0	1811	3	1	603	0.0	1191	XP_012239121.1 alpha-actinin, sarcomeric isoform X1 [Bombus impatiens]
TRINITY_DN63_c0_g1_i2	XP_012239121.1	99.7	3	0	3485	813	1	891	0.0	1753	XP_012239121.1 alpha-actinin, sarcomeric isoform X1 [Bombus impatiens]
TRINITY_DN63_c0_g1_i6	XP_012239121.1	99.5	3	0	1811	3	1	603	0.0	1190	XP_012239121.1 alpha-actinin, sarcomeric isoform X1 [Bombus impatiens]
TRINITY_DN63_c0_g1_i1	XP_012239121.1	98.7	8	0	1860	31	1	610	0.0	1193	XP_012239121.1 alpha-actinin, sarcomeric isoform X1 [Bombus impatiens]
