Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
unnamed protein product [Euphydryas editha],Euphydryas editha,117,117,91%,5e-28,58.82,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH2088680.1?report=genbank&log$=prottop&blast_rank=1&RID=M8D1MPUA016"",""CAH2088680.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Stegodyphus mimosarum],Stegodyphus mimosarum,115,115,93%,6e-27,54.81,1413,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KFM56833.1?report=genbank&log$=prottop&blast_rank=2&RID=M8D1MPUA016"",""KFM56833.1"")"
hypothetical protein ILUMI_18110 [Ignelater luminosus],Ignelater luminosus,112,112,93%,5e-26,52.88,702,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF2888063.1?report=genbank&log$=prottop&blast_rank=3&RID=M8D1MPUA016"",""KAF2888063.1"")"
multidrug resistance protein homolog 49-like [Bombus huntii],Bombus huntii,111,111,93%,1e-25,53.40,1054,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050493807.1?report=genbank&log$=prottop&blast_rank=4&RID=M8D1MPUA016"",""XP_050493807.1"")"
reverse transcriptase domain-containing protein [Escherichia coli],Escherichia coli,102,102,93%,3e-25,48.54,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_152951910.1?report=genbank&log$=prottop&blast_rank=5&RID=M8D1MPUA016"",""WP_152951910.1"")"
unnamed protein product [Euphydryas editha],Euphydryas editha,109,109,93%,6e-25,53.85,1325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH2084679.1?report=genbank&log$=prottop&blast_rank=6&RID=M8D1MPUA016"",""CAH2084679.1"")"
unnamed protein product [Hermetia illucens],Hermetia illucens,97.1,97.1,93%,1e-20,44.66,562,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD7087792.1?report=genbank&log$=prottop&blast_rank=7&RID=M8D1MPUA016"",""CAD7087792.1"")"
hypothetical protein O3G_MSEX000222 [Manduca sexta],Manduca sexta,95.5,95.5,91%,4e-20,48.51,1318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6438785.1?report=genbank&log$=prottop&blast_rank=8&RID=M8D1MPUA016"",""KAG6438785.1"")"
uncharacterized protein LOC126875157 [Bombus huntii],Bombus huntii,90.5,90.5,57%,2e-18,69.23,797,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050493837.1?report=genbank&log$=prottop&blast_rank=9&RID=M8D1MPUA016"",""XP_050493837.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Vitis vinifera],Vitis vinifera,88.2,88.2,92%,2e-17,42.16,1344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RVW40580.1?report=genbank&log$=prottop&blast_rank=10&RID=M8D1MPUA016"",""RVW40580.1"")"
