Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Turnip ringspot virus isolate DSMZ PV-0355 segment RNA 1, partial sequence",Turnip ringspot virus,615,615,100%,3e-171,97.52,6082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW274715.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8ATS90R013"",""MW274715.1"")"
"Turnip ringspot virus isolate M12 segment RNA1, complete sequence",Turnip ringspot virus,552,552,100%,3e-152,93.66,6078,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ516745.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8ATS90R013"",""FJ516745.1"")"
"Turnip ringspot virus isolate Toledo segment RNA 1, complete sequence",Turnip ringspot virus,547,547,100%,4e-151,93.39,6082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ712026.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8ATS90R013"",""FJ712026.1"")"
"Turnip ringspot virus isolate DT4 (246) polyprotein gene, partial cds",Turnip ringspot virus,429,429,74%,3e-115,95.19,1500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ228565.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8ATS90R013"",""HQ228565.1"")"
"Turnip ringspot virus isolate B segment RNA1, complete sequence",Turnip ringspot virus,401,401,98%,4e-107,84.87,6084,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ222381.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8ATS90R013"",""GQ222381.1"")"
"Turnip ringspot virus isolate CV-3 segment RNA1, complete sequence",Turnip ringspot virus,348,348,96%,7e-91,82.00,6076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU968732.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8ATS90R013"",""GU968732.1"")"
"Turnip ringspot virus isolate TR59 segment RNA1, complete sequence",Turnip ringspot virus,329,329,98%,2e-85,80.39,6027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW720558.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8ATS90R013"",""MW720558.1"")"
"Turnip ringspot virus isolate Vl98 polyprotein gene, partial cds",Turnip ringspot virus,297,297,72%,1e-75,84.85,1500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ228569.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8ATS90R013"",""HQ228569.1"")"
"Turnip ringspot virus isolate CH594 (594) polyprotein gene, partial cds",Turnip ringspot virus,297,297,72%,1e-75,84.85,1500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ228568.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8ATS90R013"",""HQ228568.1"")"
"Turnip ringspot virus isolate KV (247) polyprotein gene, partial cds",Turnip ringspot virus,297,297,72%,1e-75,84.85,1500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ228566.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8ATS90R013"",""HQ228566.1"")"
"Turnip ringspot virus isolate S (250) polyprotein gene, partial cds",Turnip ringspot virus,292,292,72%,5e-74,84.47,1500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ228567.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8ATS90R013"",""HQ228567.1"")"
"Turnip ringspot virus isolate 4782TC2 polyprotein gene, partial cds",Turnip ringspot virus,261,261,46%,8e-65,94.61,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX045855.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8ATS90R013"",""JX045855.1"")"
"Turnip ringspot virus isolate M12 RNA-dependent RNA polymerase gene, partial cds",Turnip ringspot virus,233,233,38%,4e-56,96.45,2139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF555589.1?report=genbank&log$=nucltop&blast_rank=13&RID=M8ATS90R013"",""EF555589.1"")"
"Radish mosaic virus isolate RaMV1 segment RNA1 polyprotein gene, complete cds",Radish mosaic virus,202,202,90%,6e-47,73.56,6048,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU450837.1?report=genbank&log$=nucltop&blast_rank=14&RID=M8ATS90R013"",""EU450837.1"")"
"Radish mosaic virus genomic RNA, segment RNA1, complete sequence",Radish mosaic virus,193,193,90%,3e-44,72.95,6064,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB295643.1?report=genbank&log$=nucltop&blast_rank=15&RID=M8ATS90R013"",""AB295643.1"")"
"Radish mosaic virus genomic RNA, segment RNA1, complete sequence, strain: California",Radish mosaic virus,179,179,90%,2e-40,72.04,6063,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB456531.1?report=genbank&log$=nucltop&blast_rank=16&RID=M8ATS90R013"",""AB456531.1"")"
