Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Tobacco ringspot virus isolate DSMZ PV-0236 segment RNA1 polyprotein 1 gene, complete cds",Tobacco ringspot virus,11975,11975,85%,0.0,95.58,7483,Erro:501
"Tobacco ringspot virus isolate DSMZ PV-0234 segment RNA1 polyprotein 1 gene, complete cds",Tobacco ringspot virus,11972,11972,85%,0.0,95.57,7482,Erro:501
"Tobacco ringspot virus isolate TRSV-OH19 polyprotein gene, complete cds",Tobacco ringspot virus,11814,11814,85%,0.0,94.92,7504,Erro:501
"Tobacco ringspot virus isolate SK segment RNA1, complete sequence",Tobacco ringspot virus,11684,11684,85%,0.0,94.52,7513,Erro:501
"Tobacco ringspot virus isolate WA-AM1 segment RNA1, complete sequence",Tobacco ringspot virus,11367,11367,85%,0.0,93.60,7512,Erro:501
"Tobacco ringspot virus isolate YW segment RNA1, complete sequence",Tobacco ringspot virus,10790,10790,85%,0.0,91.90,7512,Erro:501
"Tobacco ringspot virus isolate Budblight segment RNA1, complete sequence",Tobacco ringspot virus,10527,10527,85%,0.0,91.10,7516,Erro:501
"Tobacco ringspot virus isolate CmTX-J segment RNA 1, complete sequence",Tobacco ringspot virus,10424,10424,85%,0.0,90.99,7466,Erro:501
"Tobacco ringspot virus isolate CmTX-B segment RNA 1, complete sequence",Tobacco ringspot virus,10410,10410,85%,0.0,90.93,7467,Erro:501
"Tobacco ringspot virus isolate CmTX-G segment RNA 1, complete sequence",Tobacco ringspot virus,10375,10375,85%,0.0,90.84,7466,Erro:501
"Tobacco ringspot virus isolate CmTX-D segment RNA 1, complete sequence",Tobacco ringspot virus,10366,10366,85%,0.0,90.81,7467,Erro:501
"Tobacco ringspot virus isolate CmTX-H segment RNA 1, complete sequence",Tobacco ringspot virus,10358,10358,85%,0.0,90.77,7466,Erro:501
"Tobacco ringspot virus isolate CmTX-A segment RNA 1, complete sequence",Tobacco ringspot virus,10329,10329,85%,0.0,90.69,7467,Erro:501
"Tobacco ringspot virus isolate CmTX-M segment RNA 1, complete sequence",Tobacco ringspot virus,10325,10325,85%,0.0,90.69,7465,Erro:501
"Tobacco ringspot virus isolate CmTX-I segment RNA 1, complete sequence",Tobacco ringspot virus,10307,10307,85%,0.0,90.64,7465,Erro:501
"Tobacco ringspot virus isolate CmTX-E segment RNA 1, complete sequence",Tobacco ringspot virus,10294,10294,85%,0.0,90.60,7466,Erro:501
"Tobacco ringspot virus isolate CmTX-C segment RNA 1, complete sequence",Tobacco ringspot virus,10284,10284,85%,0.0,90.57,7466,Erro:501
"Tobacco ringspot virus isolate CmTX-K segment RNA 1, complete sequence",Tobacco ringspot virus,10279,10279,85%,0.0,90.55,7466,Erro:501
"Tobacco ringspot virus isolate CmTX-F segment RNA 1, complete sequence",Tobacco ringspot virus,10279,10279,85%,0.0,90.55,7467,Erro:501
"Tobacco ringspot virus isolate CmTX-L segment RNA 1, complete sequence",Tobacco ringspot virus,10275,10275,85%,0.0,90.55,7467,Erro:501
"Tobacco Ringspot virus RNA1 polyprotein gene, complete cds",Tobacco ringspot virus,9990,9990,85%,0.0,89.65,7514,Erro:501
"Tobacco ringspot virus isolate IA-3-2017 segment RNA1 polyprotein gene, complete cds",Tobacco ringspot virus,9919,9919,84%,0.0,89.33,7495,Erro:501
"Tobacco ringspot virus isolate IA-2-2017 segment RNA1 polyprotein gene, complete cds",Tobacco ringspot virus,9808,9808,85%,0.0,88.96,7505,Erro:501
"Tobacco ringspot virus isolate IA-1-2017 segment RNA1 polyprotein gene, complete cds",Tobacco ringspot virus,9609,9609,80%,0.0,90.07,7091,Erro:501
"Tobacco ringspot virus isolate TRSV-RNA1-WA nonstructural polyprotein gene, partial cds",Tobacco ringspot virus,5414,5414,44%,0.0,90.45,3948,Erro:501
"Tobacco ringspot virus isolate TRSV-RNA1-QLD nonstructural polyprotein gene, partial cds",Tobacco ringspot virus,5170,5170,42%,0.0,90.71,3734,Erro:501
"Tobacco ringspot virus isolate BLA-MEX segment RNA1 polyprotein gene, partial cds",Tobacco ringspot virus,5010,5010,59%,0.0,81.31,5233,Erro:501
"Aeonium ringspot virus segment RNA1, complete sequence",Aeonium ringspot virus,4550,4550,85%,0.0,73.63,7549,Erro:501
"Physalis vein necrosis virus isolate BPP1 segment RNA1, complete sequence",Physalis vein necrosis virus,4186,4267,81%,0.0,73.44,7575,Erro:501
"Potato black ringspot virus isolate PBRSV-A8 (CIP 204085) RNA 1 polyprotein gene, partial cds",Potato black ringspot virus,3917,3917,80%,0.0,72.56,7186,Erro:501
"Potato black ringspot virus isolate PBRSV-GAF14 RNA 1 polyprotein gene, partial cds",Potato black ringspot virus,3736,3736,74%,0.0,72.98,6581,Erro:501
"Potato black ringspot virus isolate PRI-Ec segment RNA 1, complete sequence",Potato black ringspot virus,3718,3862,82%,0.0,71.91,7598,Erro:501
"Potato black ringspot virus isolate TRSV-CA segment RNA1 polyprotein gene, complete cds",Potato black ringspot virus,3692,3836,81%,0.0,71.93,7537,Erro:501
"Potato black ringspot virus isolate PV0056 segment RNA 1, complete sequence",Potato black ringspot virus,3684,3824,82%,0.0,71.82,7581,Erro:501
"Potato black ringspot virus isolate PV0056 (2) segment RNA 1, complete sequence",Potato black ringspot virus,3674,3814,81%,0.0,71.88,7579,Erro:501
"Potato black ringspot virus isolate DSMZ PV-0056 segment RNA 1, complete sequence",Potato black ringspot virus,3674,3814,81%,0.0,71.88,7587,Erro:501
,,2315,2315,14%,0.0,99.92,1287,Erro:501
,,2208,2208,14%,0.0,97.84,1462,Erro:501
,,2110,2110,14%,0.0,96.49,1410,Erro:501
,,2107,2107,14%,0.0,96.85,1582,Erro:501
,,2076,2076,14%,0.0,96.73,1422,Erro:501
"Tobacco ringspot virus isolate A polyprotein gene, partial cds",Tobacco ringspot virus,2070,2070,17%,0.0,89.71,1545,Erro:501
,,1949,1949,12%,0.0,99.91,1219,Erro:501
,,1798,1798,12%,0.0,97.46,1359,Erro:501
,,1760,1760,11%,0.0,99.90,1116,Erro:501
,,1620,1620,10%,0.0,97.50,1264,Erro:501
,,1576,1576,11%,0.0,95.80,1241,Erro:501
,,1540,1540,14%,0.0,87.73,2026,Erro:501
,,1471,1471,14%,0.0,85.88,1434,Erro:501
,,1465,1465,14%,0.0,85.65,1441,Erro:501
,,1461,1461,14%,0.0,85.77,1431,Erro:501
,,1458,1458,14%,0.0,85.70,1432,Erro:501
x,,1456,1456,14%,0.0,85.61,1437,Erro:501
x,,1453,1453,14%,0.0,85.62,1432,Erro:501
,,1439,1439,14%,0.0,85.84,1477,Erro:501
"Tobacco ringspot virus isolate EC3 segment RNA1 polyprotein gene, partial cds",Tobacco ringspot virus,1424,1424,12%,0.0,88.72,1100,Erro:501
,,1419,1419,14%,0.0,83.87,1474,Erro:501
,,1415,1415,14%,0.0,85.43,1536,Erro:501
"Tobacco ringspot virus isolate EC4 segment RNA1 polyprotein gene, partial cds",Tobacco ringspot virus,1392,1392,12%,0.0,88.08,1100,Erro:501
