Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
polyprotein [Turnip ringspot virus],Turnip ringspot virus,1771,1771,99%,0.0,98.33,1860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_003193665.1?report=genbank&log$=prottop&blast_rank=1&RID=M8CAG56X016"",""YP_003193665.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,1770,1770,99%,0.0,98.22,1860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QYA72287.1?report=genbank&log$=prottop&blast_rank=2&RID=M8CAG56X016"",""QYA72287.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,1757,1757,99%,0.0,97.44,1857,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACX53644.1?report=genbank&log$=prottop&blast_rank=3&RID=M8CAG56X016"",""ACX53644.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,1709,1709,99%,0.0,93.76,1860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACX53646.1?report=genbank&log$=prottop&blast_rank=4&RID=M8CAG56X016"",""ACX53646.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,1697,1697,99%,0.0,92.76,1860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADZ54704.1?report=genbank&log$=prottop&blast_rank=5&RID=M8CAG56X016"",""ADZ54704.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,1674,1674,99%,0.0,91.31,1860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QWQ57599.1?report=genbank&log$=prottop&blast_rank=6&RID=M8CAG56X016"",""QWQ57599.1"")"
RNA1-polyprotein [Radish mosaic virus],Radish mosaic virus,1395,1395,99%,0.0,75.47,1853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAG84602.1?report=genbank&log$=prottop&blast_rank=7&RID=M8CAG56X016"",""BAG84602.1"")"
polyprotein [Radish mosaic virus],Radish mosaic virus,1394,1394,99%,0.0,75.14,1853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UVI61333.1?report=genbank&log$=prottop&blast_rank=8&RID=M8CAG56X016"",""UVI61333.1"")"
polyprotein [Radish mosaic virus],Radish mosaic virus,1394,1394,99%,0.0,75.25,1853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AZL57037.1?report=genbank&log$=prottop&blast_rank=9&RID=M8CAG56X016"",""AZL57037.1"")"
polyprotein [Radish mosaic virus],Radish mosaic virus,1394,1394,99%,0.0,75.14,1853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001911126.1?report=genbank&log$=prottop&blast_rank=10&RID=M8CAG56X016"",""YP_001911126.1"")"
polyprotein [Radish mosaic virus],Radish mosaic virus,1392,1392,99%,0.0,75.47,1853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UVI61331.1?report=genbank&log$=prottop&blast_rank=11&RID=M8CAG56X016"",""UVI61331.1"")"
polyprotein [Radish mosaic virus],Radish mosaic virus,1389,1389,99%,0.0,75.03,1853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACE06773.1?report=genbank&log$=prottop&blast_rank=12&RID=M8CAG56X016"",""ACE06773.1"")"
RNA-dependent RNA polymerase [Turnip ringspot virus],Turnip ringspot virus,1345,1345,79%,0.0,95.92,712,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABS90367.1?report=genbank&log$=prottop&blast_rank=13&RID=M8CAG56X016"",""ABS90367.1"")"
