Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Asparagus virus 3 genomic RNA, complete genome",Asparagus virus 3,288,288,78%,1E-72,72.24,6937,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB304848.1?report=genbank&log$=nucltop&blast_rank=1&RID=KPUYC5RG013"",""AB304848.1"")"
"Alstroemeria virus x isolate HelE91-1 coat protein gene, complete cds",Alstroemeria virus X,266,266,70%,4E-66,72.60,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN820315.1?report=genbank&log$=nucltop&blast_rank=2&RID=KPUYC5RG013"",""JN820315.1"")"
"Alstroemeria virus x triple gene block protein 3 gene, partial cds; and coat protein gene, complete cds",Alstroemeria virus X,263,263,55%,5E-65,75.65,1092,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ354895.1?report=genbank&log$=nucltop&blast_rank=3&RID=KPUYC5RG013"",""JQ354895.1"")"
"Scallion virus X, complete genome",Asparagus virus 3,261,261,76%,2E-64,71.19,6985,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AJ316085.1?report=genbank&log$=nucltop&blast_rank=4&RID=KPUYC5RG013"",""AJ316085.1"")"
"Asparagus virus 3 isolate G87, complete genome",Asparagus virus 3,250,250,71%,3E-61,71.43,6976,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN059098.1?report=genbank&log$=nucltop&blast_rank=5&RID=KPUYC5RG013"",""MN059098.1"")"
"Alstroemeria virus x genomic RNA, complete genome",Alstroemeria virus X,242,242,69%,1E-58,71.82,7009,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB206396.1?report=genbank&log$=nucltop&blast_rank=6&RID=KPUYC5RG013"",""AB206396.1"")"
"Asparagus virus 3 isolate SW12, complete genome",Asparagus virus 3,239,239,71%,5E-58,71.03,6398,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ544560.1?report=genbank&log$=nucltop&blast_rank=7&RID=KPUYC5RG013"",""KJ544560.1"")"
"Pepino mosaic virus isolate PMU06/17a triple gene block protein 1 (TGBp1), triple gene block protein 2 (TGBp2), and triple gene block protein 3 (TGBp3) genes, complete cds; and nonfunctional capsid protein (CP) gene, complete sequence",Pepino mosaic virus,223,223,63%,4E-53,71.62,1920,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ263317.1?report=genbank&log$=nucltop&blast_rank=8&RID=KPUYC5RG013"",""FJ263317.1"")"
"Pepino mosaic virus strain DB1, complete genome",Pepino mosaic virus,222,222,63%,1E-52,71.40,6414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ940224.1?report=genbank&log$=nucltop&blast_rank=9&RID=KPUYC5RG013"",""FJ940224.1"")"
"Pepino mosaic virus partial TGBp3 gene for triple gene block protein 3 and CP gene for coat protein, genomic RNA, clone Mu 04.19, isolate 2",Pepino mosaic virus,218,218,66%,2E-51,70.66,787,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AM113849.1?report=genbank&log$=nucltop&blast_rank=10&RID=KPUYC5RG013"",""AM113849.1"")"
"Pepino mosaic virus isolate PMU07/36 nonfunctional triple gene block protein 1 (TGBp1) gene, complete sequence; and triple gene block protein 2 (TGBp2), triple gene block protein 3 (TGBp3), and capsid protein (CP) genes, complete cds",Pepino mosaic virus,217,217,63%,2E-51,71.17,1920,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ263322.1?report=genbank&log$=nucltop&blast_rank=11&RID=KPUYC5RG013"",""FJ263322.1"")"
"Pepino mosaic virus isolate PMU07/28 triple gene block protein 1 (TGBp1), triple gene block protein 2 (TGBp2), triple gene block protein 3 (TGBp3), and capsid protein (CP) genes, complete cds",Pepino mosaic virus,216,216,63%,6E-51,71.46,1921,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ263321.1?report=genbank&log$=nucltop&blast_rank=12&RID=KPUYC5RG013"",""FJ263321.1"")"
"Pepino mosaic virus partial TGBp3 gene for triple gene block protein 3 and CP gene for coat protein, genomic RNA, clone Mu 04.13, isolate 2",Pepino mosaic virus,216,216,63%,6E-51,71.46,800,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AM113843.1?report=genbank&log$=nucltop&blast_rank=13&RID=KPUYC5RG013"",""AM113843.1"")"
"Pepino mosaic virus isolate GR17-9b-EU TGBp1, TGBp2, TGBp3, and CP genes, complete cds",Pepino mosaic virus,213,213,63%,7E-50,70.95,1915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH550326.1?report=genbank&log$=nucltop&blast_rank=14&RID=KPUYC5RG013"",""MH550326.1"")"
"Pepino mosaic virus isolate GR17-10b-EU TGBp1, TGBp2, TGBp3, and CP genes, complete cds",Pepino mosaic virus,213,213,63%,7E-50,70.95,1915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH550325.1?report=genbank&log$=nucltop&blast_rank=15&RID=KPUYC5RG013"",""MH550325.1"")"
"Pepino mosaic virus isolate GC17-9b-EU TGBp1, TGBp2, TGBp3, and CP genes, complete cds",Pepino mosaic virus,213,213,63%,7E-50,70.95,1916,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH550324.1?report=genbank&log$=nucltop&blast_rank=16&RID=KPUYC5RG013"",""MH550324.1"")"
"Pepino mosaic virus isolate GC17-9a-EU TGBp1, TGBp2, TGBp3, and CP genes, complete cds",Pepino mosaic virus,213,213,63%,7E-50,70.95,1916,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH550323.1?report=genbank&log$=nucltop&blast_rank=17&RID=KPUYC5RG013"",""MH550323.1"")"
"Pepino mosaic virus isolate GC17-2b-EU TGBp1, TGBp2, TGBp3, and CP genes, complete cds",Pepino mosaic virus,213,213,63%,7E-50,71.17,1915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH550317.1?report=genbank&log$=nucltop&blast_rank=18&RID=KPUYC5RG013"",""MH550317.1"")"
"Pepino mosaic virus isolate Euro-6, complete genome",Pepino mosaic virus,213,213,63%,7E-50,70.95,6434,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF718832.1?report=genbank&log$=nucltop&blast_rank=19&RID=KPUYC5RG013"",""KF718832.1"")"
"Pepino mosaic virus isolate P11, complete genome",Pepino mosaic virus,213,213,63%,7E-50,70.95,6410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN133846.1?report=genbank&log$=nucltop&blast_rank=20&RID=KPUYC5RG013"",""JN133846.1"")"
"Pepino mosaic virus isolate 6267 RNA-dependent RNA polymerase (RdRp) gene, partial cds; and triple gene block protein 1 (TGBp1), triple gene block protein 2 (TGBp2), triple gene block protein 3 (TGBp3), and coat protein (CP) genes, complete cds",Pepino mosaic virus,213,213,63%,7E-50,70.95,2430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ820178.1?report=genbank&log$=nucltop&blast_rank=21&RID=KPUYC5RG013"",""FJ820178.1"")"
"Pepino mosaic virus isolate Al-1-05 RNA-dependent RNA polymerase (RdRp) gene, partial cds; and triple gene block protein 1 (TGBp1), triple gene block protein 2 (TGBp2), triple gene block protein 3 (TGBp3), and coat protein (CP) genes, complete cds",Pepino mosaic virus,213,213,63%,7E-50,70.95,2411,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU130078.1?report=genbank&log$=nucltop&blast_rank=22&RID=KPUYC5RG013"",""GU130078.1"")"
"Pepino mosaic virus isolate Al 2-01 RNA dependent RNA polymerase (RdRp) gene, partial cds; and triple gene block protein 1 (TGBp1), triple gene block protein 2 (TGBp2), triple gene block protein 3 (TGBp3), and coat protein (CP) genes, complete cds",Pepino mosaic virus,213,213,63%,7E-50,70.95,2416,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ438737.1?report=genbank&log$=nucltop&blast_rank=23&RID=KPUYC5RG013"",""GQ438737.1"")"
"Pepino mosaic virus complete genome, isolate LE-2002",Pepino mosaic virus,213,213,63%,7E-50,70.95,6449,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AJ606360.1?report=genbank&log$=nucltop&blast_rank=24&RID=KPUYC5RG013"",""AJ606360.1"")"
"Pepino mosaic virus partial TGBp3 gene for triple gene block protein 3 and CP gene for coat protein, genomic RNA, clone Na 04.1, isolate 2",Pepino mosaic virus,213,213,63%,7E-50,70.95,787,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AM113850.1?report=genbank&log$=nucltop&blast_rank=25&RID=KPUYC5RG013"",""AM113850.1"")"
