Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Apis mellifera xenotropic and polytropic retrovirus receptor 1 homolog (LOC551795), mRNA",Apis mellifera,3830,3830,53%,0.0,99.77,3093,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_624180.6?report=genbank&log$=nucltop&blast_rank=1&RID=M8P5T7BP013"",""XM_624180.6"")"
"PREDICTED: Apis laboriosa xenotropic and polytropic retrovirus receptor 1 homolog (LOC122710704), transcript variant X1, mRNA",Apis laboriosa,3723,3723,54%,0.0,98.60,2439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043928731.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8P5T7BP013"",""XM_043928731.1"")"
"PREDICTED: Apis cerana xenotropic and polytropic retrovirus receptor 1 homolog (LOC107998577), mRNA",Apis cerana,3718,3718,53%,0.0,98.69,2807,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017057915.2?report=genbank&log$=nucltop&blast_rank=3&RID=M8P5T7BP013"",""XM_017057915.2"")"
"PREDICTED: Apis dorsata xenotropic and polytropic retrovirus receptor 1 homolog (LOC102681764), mRNA",Apis dorsata,3702,3702,54%,0.0,98.36,2202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006613551.2?report=genbank&log$=nucltop&blast_rank=4&RID=M8P5T7BP013"",""XM_006613551.2"")"
"PREDICTED: Apis florea xenotropic and polytropic retrovirus receptor 1 homolog (LOC100865059), mRNA",Apis florea,3687,3687,54%,0.0,98.22,3049,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003691030.3?report=genbank&log$=nucltop&blast_rank=5&RID=M8P5T7BP013"",""XM_003691030.3"")"
"PREDICTED: Apis mellifera putative serine protease K12H4.7 (LOC411889), transcript variant X2, mRNA",Apis mellifera,3440,3440,48%,0.0,99.59,2176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006558044.3?report=genbank&log$=nucltop&blast_rank=6&RID=M8P5T7BP013"",""XM_006558044.3"")"
"PREDICTED: Apis dorsata putative serine protease K12H4.7 (LOC102681897), mRNA",Apis dorsata,3183,3183,49%,0.0,96.17,2178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006613552.2?report=genbank&log$=nucltop&blast_rank=7&RID=M8P5T7BP013"",""XM_006613552.2"")"
"PREDICTED: Apis mellifera putative serine protease K12H4.7 (LOC411889), transcript variant X1, mRNA",Apis mellifera,3101,3101,43%,0.0,99.54,2131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_395356.7?report=genbank&log$=nucltop&blast_rank=8&RID=M8P5T7BP013"",""XM_395356.7"")"
"PREDICTED: Apis florea putative serine protease K12H4.7 (LOC100865534), transcript variant X1, mRNA",Apis florea,3067,3067,49%,0.0,94.84,2119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003691033.3?report=genbank&log$=nucltop&blast_rank=9&RID=M8P5T7BP013"",""XM_003691033.3"")"
"PREDICTED: Apis cerana putative serine protease K12H4.7 (LOC107998579), transcript variant X2, mRNA",Apis cerana,3063,3063,47%,0.0,96.17,2112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017057917.2?report=genbank&log$=nucltop&blast_rank=10&RID=M8P5T7BP013"",""XM_017057917.2"")"
"PREDICTED: Apis cerana putative serine protease K12H4.7 (LOC107998579), transcript variant X1, mRNA",Apis cerana,2838,2838,43%,0.0,96.63,2399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017057916.2?report=genbank&log$=nucltop&blast_rank=11&RID=M8P5T7BP013"",""XM_017057916.2"")"
"PREDICTED: Apis laboriosa putative serine protease K12H4.7 (LOC122710705), transcript variant X1, mRNA",Apis laboriosa,2837,2837,43%,0.0,96.31,1724,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043928733.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8P5T7BP013"",""XM_043928733.1"")"
"PREDICTED: Bombus terrestris xenotropic and polytropic retrovirus receptor 1 homolog (LOC100644804), transcript variant X3, mRNA",Bombus terrestris,2764,2764,50%,0.0,90.69,4406,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_012310105.3?report=genbank&log$=nucltop&blast_rank=13&RID=M8P5T7BP013"",""XM_012310105.3"")"
"PREDICTED: Bombus terrestris xenotropic and polytropic retrovirus receptor 1 homolog (LOC100644804), transcript variant X2, mRNA",Bombus terrestris,2764,2764,50%,0.0,90.69,4423,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_048407001.1?report=genbank&log$=nucltop&blast_rank=14&RID=M8P5T7BP013"",""XM_048407001.1"")"
"PREDICTED: Bombus terrestris xenotropic and polytropic retrovirus receptor 1 homolog (LOC100644804), transcript variant X1, mRNA",Bombus terrestris,2764,2764,50%,0.0,90.69,4575,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003396436.4?report=genbank&log$=nucltop&blast_rank=15&RID=M8P5T7BP013"",""XM_003396436.4"")"
"PREDICTED: Bombus vosnesenskii xenotropic and polytropic retrovirus receptor 1 homolog (LOC117237059), mRNA",Bombus vosnesenskii,2759,2759,50%,0.0,90.64,4283,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033500665.1?report=genbank&log$=nucltop&blast_rank=16&RID=M8P5T7BP013"",""XM_033500665.1"")"
"PREDICTED: Bombus huntii xenotropic and polytropic retrovirus receptor 1 homolog (LOC126866522), mRNA",Bombus huntii,2759,2759,50%,0.0,90.64,3086,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050620209.1?report=genbank&log$=nucltop&blast_rank=17&RID=M8P5T7BP013"",""XM_050620209.1"")"
"PREDICTED: Bombus bifarius xenotropic and polytropic retrovirus receptor 1 homolog (LOC117215713), mRNA",Bombus bifarius,2755,2755,50%,0.0,90.59,4283,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033462131.1?report=genbank&log$=nucltop&blast_rank=18&RID=M8P5T7BP013"",""XM_033462131.1"")"
"PREDICTED: Bombus vancouverensis nearcticus xenotropic and polytropic retrovirus receptor 1 homolog (LOC117160559), mRNA",Bombus vancouverensis nearcticus,2755,2755,50%,0.0,90.59,4283,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033341385.1?report=genbank&log$=nucltop&blast_rank=19&RID=M8P5T7BP013"",""XM_033341385.1"")"
"PREDICTED: Bombus impatiens xenotropic and polytropic retrovirus receptor 1 homolog (LOC100742705), transcript variant X2, mRNA",Bombus impatiens,2750,2750,50%,0.0,90.54,4423,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_012382776.3?report=genbank&log$=nucltop&blast_rank=20&RID=M8P5T7BP013"",""XM_012382776.3"")"
