Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Black queen cell virus isolate BQCV_MS, complete genome",Black queen cell virus,750,750,100%,0.0,94.41,8454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH267694.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8P0ZC06013"",""MH267694.1"")"
"Black queen cell virus isolate BQCV_MR, complete genome",Black queen cell virus,750,750,100%,0.0,94.41,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH267693.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8P0ZC06013"",""MH267693.1"")"
"Black queen cell virus isolate BQCV-MS-AUG15, complete genome",Black queen cell virus,750,750,100%,0.0,94.41,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636344.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8P0ZC06013"",""MT636344.1"")"
"Black queen cell virus isolate BQCV-MS-SEP15, complete genome",Black queen cell virus,746,746,100%,0.0,94.20,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636345.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8P0ZC06013"",""MT636345.1"")"
"Black queen cell virus isolate BQCV-MS-JUN15, complete genome",Black queen cell virus,746,746,100%,0.0,94.20,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636343.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8P0ZC06013"",""MT636343.1"")"
"Black queen cell virus isolate BQCV-MS-APR15, complete genome",Black queen cell virus,746,746,100%,0.0,94.20,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636342.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8P0ZC06013"",""MT636342.1"")"
"Black queen cell virus isolate BQCV-MR-OCT15, complete genome",Black queen cell virus,746,746,100%,0.0,94.20,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636341.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8P0ZC06013"",""MT636341.1"")"
"Black queen cell virus isolate BQCV-MR-SEP15, complete genome",Black queen cell virus,746,746,100%,0.0,94.20,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636340.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8P0ZC06013"",""MT636340.1"")"
"Black queen cell virus isolate BQCV-MR-AUG15, complete genome",Black queen cell virus,746,746,100%,0.0,94.20,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636339.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8P0ZC06013"",""MT636339.1"")"
"Black queen cell virus isolate BQCV-MR-JUN15, complete genome",Black queen cell virus,746,746,100%,0.0,94.20,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636338.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8P0ZC06013"",""MT636338.1"")"
"Black queen cell virus isolate BQCV-MR-APR15, complete genome",Black queen cell virus,746,746,100%,0.0,94.20,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636337.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8P0ZC06013"",""MT636337.1"")"
"Black queen cell virus isolate BQCV-MS-OCT15, complete genome",Black queen cell virus,741,741,100%,0.0,94.00,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636346.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8P0ZC06013"",""MT636346.1"")"
"Black queen cell virus isolate FTA1-7, complete genome",Black queen cell virus,737,737,100%,0.0,93.79,8436,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT096521.1?report=genbank&log$=nucltop&blast_rank=13&RID=M8P0ZC06013"",""MT096521.1"")"
"Black queen cell virus strain BQCV4B non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,737,737,100%,0.0,93.79,8467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL803818.1?report=genbank&log$=nucltop&blast_rank=14&RID=M8P0ZC06013"",""OL803818.1"")"
"Black queen cell virus isolate BQCV/PNG-2014, complete genome",Black queen cell virus,723,723,100%,0.0,93.17,8488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT482475.1?report=genbank&log$=nucltop&blast_rank=15&RID=M8P0ZC06013"",""MT482475.1"")"
"Black queen cell virus isolate BQCV_No3_Acc010-HN2019, complete genome",Black queen cell virus,723,723,100%,0.0,93.17,8457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821802.1?report=genbank&log$=nucltop&blast_rank=16&RID=M8P0ZC06013"",""MZ821802.1"")"
"Black queen cell virus isolate BQCV/PNG-2018, complete genome",Black queen cell virus,714,714,100%,0.0,92.75,8412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT482476.1?report=genbank&log$=nucltop&blast_rank=17&RID=M8P0ZC06013"",""MT482476.1"")"
"Black queen cell virus strain BQCV_Sydney, complete genome",Black queen cell virus,714,714,100%,0.0,92.34,8430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW390818.1?report=genbank&log$=nucltop&blast_rank=18&RID=M8P0ZC06013"",""MW390818.1"")"
"Black queen cell virus strain HUNGARY-10 non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,714,714,100%,0.0,92.75,8335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF517515.1?report=genbank&log$=nucltop&blast_rank=19&RID=M8P0ZC06013"",""EF517515.1"")"
"Black queen cell virus isolate BQCV-IT1, complete genome",Black queen cell virus,710,710,100%,0.0,92.55,8458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT416539.1?report=genbank&log$=nucltop&blast_rank=20&RID=M8P0ZC06013"",""MT416539.1"")"
"Black queen cell virus strain POLAND-6 non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,700,700,100%,0.0,92.13,8302,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF517521.1?report=genbank&log$=nucltop&blast_rank=21&RID=M8P0ZC06013"",""EF517521.1"")"
"Black queen cell virus strain AUSTRIA-5 non-structural polyprotein and structural polyprotein genes, partial cds",Black queen cell virus,700,700,100%,0.0,92.13,6852,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF517505.1?report=genbank&log$=nucltop&blast_rank=22&RID=M8P0ZC06013"",""EF517505.1"")"
"Black queen cell virus strain AY non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,696,696,100%,0.0,91.93,8392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX149531.1?report=genbank&log$=nucltop&blast_rank=23&RID=M8P0ZC06013"",""JX149531.1"")"
"Black queen cell virus isolate BQCV/144I, complete genome",Black queen cell virus,687,687,100%,0.0,91.51,8464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN565034.1?report=genbank&log$=nucltop&blast_rank=24&RID=M8P0ZC06013"",""MN565034.1"")"
"Black queen cell virus isolate BQCV_No14_Am046-NMG2019, complete genome",Black queen cell virus,664,664,100%,0.0,90.48,8458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821813.1?report=genbank&log$=nucltop&blast_rank=25&RID=M8P0ZC06013"",""MZ821813.1"")"
"Black queen cell virus isolate LN1, complete genome",Black queen cell virus,664,664,100%,0.0,90.48,8440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT559307.1?report=genbank&log$=nucltop&blast_rank=26&RID=M8P0ZC06013"",""MT559307.1"")"
"Black queen cell virus isolate BQCV_No17_Am059-TJ2019, complete genome",Black queen cell virus,655,655,100%,0.0,90.06,8457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821816.1?report=genbank&log$=nucltop&blast_rank=27&RID=M8P0ZC06013"",""MZ821816.1"")"
"Black queen cell virus isolate BQCV_No15_Am049-SD2019, complete genome",Black queen cell virus,655,655,100%,0.0,90.06,8455,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ821814.1?report=genbank&log$=nucltop&blast_rank=28&RID=M8P0ZC06013"",""MZ821814.1"")"
