Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Sacbrood honeybee virus [Sacbrood virus],Sacbrood virus,248,248,99%,2e-81,99.15,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/5LSF_B?report=genbank&log$=prottop&blast_rank=1&RID=MB3MSR0U016"",""5LSF_B"")"
structural polyprotein [Sacbrood virus],Sacbrood virus,249,249,99%,6e-79,99.15,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAT45735.1?report=genbank&log$=prottop&blast_rank=2&RID=MB3MSR0U016"",""AAT45735.1"")"
structural protein VP2 [Sacbrood virus],Sacbrood virus,245,245,99%,6e-79,96.61,316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIW65274.1?report=genbank&log$=prottop&blast_rank=3&RID=MB3MSR0U016"",""AIW65274.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,250,250,99%,5e-74,100.00,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AUK50717.1?report=genbank&log$=prottop&blast_rank=4&RID=MB3MSR0U016"",""AUK50717.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,250,250,99%,5e-74,100.00,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AUK50716.1?report=genbank&log$=prottop&blast_rank=5&RID=MB3MSR0U016"",""AUK50716.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,2e-73,99.15,1554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AQW44866.1?report=genbank&log$=prottop&blast_rank=6&RID=MB3MSR0U016"",""AQW44866.1"")"
Sacbrood virus of honeybee - expansion state I [Sacbrood virus],Sacbrood virus,227,227,89%,2e-73,99.07,199,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/6EGX_B?report=genbank&log$=prottop&blast_rank=7&RID=MB3MSR0U016"",""6EGX_B"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,2e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48647.1?report=genbank&log$=prottop&blast_rank=8&RID=MB3MSR0U016"",""UGO48647.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,2e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48650.1?report=genbank&log$=prottop&blast_rank=9&RID=MB3MSR0U016"",""UGO48650.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,2e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65066.1?report=genbank&log$=prottop&blast_rank=10&RID=MB3MSR0U016"",""AYP65066.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,2e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULY68749.1?report=genbank&log$=prottop&blast_rank=11&RID=MB3MSR0U016"",""ULY68749.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,2e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48651.1?report=genbank&log$=prottop&blast_rank=12&RID=MB3MSR0U016"",""UGO48651.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,2e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48645.1?report=genbank&log$=prottop&blast_rank=13&RID=MB3MSR0U016"",""UGO48645.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,2e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48648.1?report=genbank&log$=prottop&blast_rank=14&RID=MB3MSR0U016"",""UGO48648.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,2e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48649.1?report=genbank&log$=prottop&blast_rank=15&RID=MB3MSR0U016"",""UGO48649.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,2e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48652.1?report=genbank&log$=prottop&blast_rank=16&RID=MB3MSR0U016"",""UGO48652.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,2e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48644.1?report=genbank&log$=prottop&blast_rank=17&RID=MB3MSR0U016"",""UGO48644.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,2e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48646.1?report=genbank&log$=prottop&blast_rank=18&RID=MB3MSR0U016"",""UGO48646.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,2e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48643.1?report=genbank&log$=prottop&blast_rank=19&RID=MB3MSR0U016"",""UGO48643.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,3e-73,99.15,2858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UDY81106.1?report=genbank&log$=prottop&blast_rank=20&RID=MB3MSR0U016"",""UDY81106.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,3e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UDY81107.1?report=genbank&log$=prottop&blast_rank=21&RID=MB3MSR0U016"",""UDY81107.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,3e-73,99.15,2858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UDY81117.1?report=genbank&log$=prottop&blast_rank=22&RID=MB3MSR0U016"",""UDY81117.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,3e-73,99.15,2858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UDY81110.1?report=genbank&log$=prottop&blast_rank=23&RID=MB3MSR0U016"",""UDY81110.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,3e-73,98.31,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65065.1?report=genbank&log$=prottop&blast_rank=24&RID=MB3MSR0U016"",""AYP65065.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,3e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UDY81111.1?report=genbank&log$=prottop&blast_rank=25&RID=MB3MSR0U016"",""UDY81111.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,243,243,99%,3e-73,96.61,819,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASO96547.1?report=genbank&log$=prottop&blast_rank=26&RID=MB3MSR0U016"",""ASO96547.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,3e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ATA66298.1?report=genbank&log$=prottop&blast_rank=27&RID=MB3MSR0U016"",""ATA66298.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,3e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ATA66303.1?report=genbank&log$=prottop&blast_rank=28&RID=MB3MSR0U016"",""ATA66303.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,3e-73,99.15,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ATA66304.1?report=genbank&log$=prottop&blast_rank=29&RID=MB3MSR0U016"",""ATA66304.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,3e-73,99.15,2858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UDY81116.1?report=genbank&log$=prottop&blast_rank=30&RID=MB3MSR0U016"",""UDY81116.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,248,248,99%,3e-73,98.31,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULY68748.1?report=genbank&log$=prottop&blast_rank=31&RID=MB3MSR0U016"",""ULY68748.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,9e-73,98.31,2410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKW94198.1?report=genbank&log$=prottop&blast_rank=32&RID=MB3MSR0U016"",""QKW94198.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,98.31,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AFI08277.1?report=genbank&log$=prottop&blast_rank=33&RID=MB3MSR0U016"",""AFI08277.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,98.31,2860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AUY62030.1?report=genbank&log$=prottop&blast_rank=34&RID=MB3MSR0U016"",""AUY62030.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,98.31,2858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_049374.1?report=genbank&log$=prottop&blast_rank=35&RID=MB3MSR0U016"",""NP_049374.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,98.31,2858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83208.1?report=genbank&log$=prottop&blast_rank=36&RID=MB3MSR0U016"",""ASS83208.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,98.31,2860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AUY62031.1?report=genbank&log$=prottop&blast_rank=37&RID=MB3MSR0U016"",""AUY62031.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,98.31,2860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AUY62032.1?report=genbank&log$=prottop&blast_rank=38&RID=MB3MSR0U016"",""AUY62032.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,98.31,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKG24957.1?report=genbank&log$=prottop&blast_rank=39&RID=MB3MSR0U016"",""AKG24957.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,98.31,2855,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83213.1?report=genbank&log$=prottop&blast_rank=40&RID=MB3MSR0U016"",""ASS83213.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,98.31,2858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83207.1?report=genbank&log$=prottop&blast_rank=41&RID=MB3MSR0U016"",""ASS83207.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,98.31,2858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83210.1?report=genbank&log$=prottop&blast_rank=42&RID=MB3MSR0U016"",""ASS83210.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,98.31,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83214.1?report=genbank&log$=prottop&blast_rank=43&RID=MB3MSR0U016"",""ASS83214.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,98.31,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83211.1?report=genbank&log$=prottop&blast_rank=44&RID=MB3MSR0U016"",""ASS83211.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,98.31,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83212.1?report=genbank&log$=prottop&blast_rank=45&RID=MB3MSR0U016"",""ASS83212.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,97.46,2843,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UDY81118.1?report=genbank&log$=prottop&blast_rank=46&RID=MB3MSR0U016"",""UDY81118.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,97.46,2843,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UDY81119.1?report=genbank&log$=prottop&blast_rank=47&RID=MB3MSR0U016"",""UDY81119.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,246,246,99%,1e-72,98.31,2854,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83209.1?report=genbank&log$=prottop&blast_rank=48&RID=MB3MSR0U016"",""ASS83209.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,245,245,99%,2e-72,97.46,2858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AST13087.1?report=genbank&log$=prottop&blast_rank=49&RID=MB3MSR0U016"",""AST13087.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,244,244,99%,4e-72,97.46,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83215.1?report=genbank&log$=prottop&blast_rank=50&RID=MB3MSR0U016"",""ASS83215.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,244,244,99%,4e-72,97.46,2860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AWK58136.1?report=genbank&log$=prottop&blast_rank=51&RID=MB3MSR0U016"",""AWK58136.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,243,243,99%,9e-72,96.61,2804,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJW31568.1?report=genbank&log$=prottop&blast_rank=52&RID=MB3MSR0U016"",""AJW31568.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,243,243,99%,9e-72,96.61,2866,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UDY81103.1?report=genbank&log$=prottop&blast_rank=53&RID=MB3MSR0U016"",""UDY81103.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,243,243,99%,9e-72,96.61,2866,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UDY81101.1?report=genbank&log$=prottop&blast_rank=54&RID=MB3MSR0U016"",""UDY81101.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,243,243,99%,9e-72,96.61,2804,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJW31567.1?report=genbank&log$=prottop&blast_rank=55&RID=MB3MSR0U016"",""AJW31567.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,243,243,99%,9e-72,96.61,2842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UDY81113.1?report=genbank&log$=prottop&blast_rank=56&RID=MB3MSR0U016"",""UDY81113.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,243,243,99%,9e-72,96.61,2842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UDY81114.1?report=genbank&log$=prottop&blast_rank=57&RID=MB3MSR0U016"",""UDY81114.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,243,243,99%,1e-71,96.61,2847,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIZ75645.1?report=genbank&log$=prottop&blast_rank=58&RID=MB3MSR0U016"",""AIZ75645.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,243,243,99%,1e-71,96.61,2842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJA38038.1?report=genbank&log$=prottop&blast_rank=59&RID=MB3MSR0U016"",""AJA38038.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,243,243,99%,1e-71,96.61,2786,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGG68166.1?report=genbank&log$=prottop&blast_rank=60&RID=MB3MSR0U016"",""AGG68166.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,243,243,99%,1e-71,96.61,2842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIW58914.1?report=genbank&log$=prottop&blast_rank=61&RID=MB3MSR0U016"",""AIW58914.1"")"
