name	len	score	pvalue
TRINITY_DN17524_c0_g1_i1 len=214 path=[0:0-77 2:78-213]	214	0.34913164377212524	0.3415558383351539
TRINITY_DN8232_c0_g1_i7 len=286 path=[3:0-148 8:149-149 9:150-150 11:151-224 12:225-225 13:226-226 15:227-285]	286	0.3067118525505066	0.3838554746005113
TRINITY_DN21430_c0_g1_i1 len=720 path=[0:0-719]	720	0.5026946663856506	0.13450864550603023
TRINITY_DN21505_c0_g1_i2 len=516 path=[0:0-515]	516	0.7595429420471191	0.05645449585128601
TRINITY_DN16116_c0_g1_i1 len=476 path=[0:0-475]	476	0.22430868446826935	0.31856766018848354
TRINITY_DN36049_c0_g2_i1 len=311 path=[0:0-310]	311	0.054381005465984344	0.5248793795373585
TRINITY_DN9003_c0_g2_i2 len=341 path=[2:0-157 4:158-200 5:201-228 7:229-340]	341	0.8353821039199829	0.0364623258330703
TRINITY_DN9003_c0_g2_i1 len=376 path=[0:0-57 2:58-215 3:216-258 5:259-286 6:287-375]	376	0.5243452787399292	0.12282432249627993
TRINITY_DN9003_c0_g2_i3 len=672 path=[0:0-57 1:58-353 2:354-511 3:512-554 5:555-582 6:583-671]	672	0.5582413673400879	0.10766900600199439
TRINITY_DN10224_c0_g3_i2 len=521 path=[0:0-520]	521	0.8150221109390259	0.04589926433234868
TRINITY_DN35962_c0_g1_i1 len=250 path=[0:0-249]	250	0.30412405729293823	0.38661726782356054
TRINITY_DN35181_c0_g1_i1 len=240 path=[0:0-239]	240	0.14576804637908936	0.5782761455389016
TRINITY_DN35432_c0_g1_i1 len=333 path=[0:0-332]	333	0.7967079877853394	0.043829192406547327
TRINITY_DN35497_c0_g1_i1 len=305 path=[0:0-304]	305	0.8265758752822876	0.03814199395770393
TRINITY_DN28660_c0_g1_i1 len=208 path=[0:0-207]	208	0.8842929601669312	0.025864010540421842
TRINITY_DN14488_c0_g1_i1 len=297 path=[0:0-240 1:241-296]	297	0.809166431427002	0.046933593090167904
TRINITY_DN26444_c0_g1_i1 len=370 path=[0:0-369]	370	0.5064823627471924	0.13337015827208368
TRINITY_DN27922_c0_g1_i2 len=263 path=[0:0-205 2:206-262]	263	0.6691106557846069	0.09986937084041847
TRINITY_DN136_c0_g5_i3 len=1966 path=[1:0-384 2:385-385 3:386-408 5:409-520 6:521-522 7:523-913 9:914-989 11:990-990 12:991-1885 13:1886-1965]	1966	0.5680715441703796	0.04594380240199411
TRINITY_DN136_c0_g5_i5 len=1648 path=[0:0-64 2:65-65 3:66-88 4:89-90 5:91-202 6:203-204 7:205-595 9:596-671 11:672-672 12:673-1567 13:1568-1647]	1648	0.8624223470687866	0.020658660019638946
TRINITY_DN14068_c0_g1_i1 len=284 path=[0:0-283]	284	0.35126984119415283	0.339509127149469
TRINITY_DN16365_c0_g1_i4 len=601 path=[0:0-58 1:59-92 2:93-600]	601	0.11362069845199585	0.3946922801934185
TRINITY_DN2917_c0_g1_i4 len=305 path=[0:0-61 5:62-62 7:63-63 11:64-72 12:73-131 13:132-132 14:133-152 15:153-304]	305	0.5049055218696594	0.13455945348784776
TRINITY_DN31687_c0_g1_i1 len=285 path=[0:0-284]	285	0.4669059216976166	0.23362349523090956
TRINITY_DN40423_c0_g1_i1 len=212 path=[0:0-211]	212	0.5542269945144653	0.1628500805171113
TRINITY_DN10968_c0_g1_i1 len=425 path=[0:0-424]	425	0.1823948323726654	0.35345741083104115
TRINITY_DN6150_c0_g1_i1 len=342 path=[0:0-341]	342	0.5760913491249084	0.10042498985435361
TRINITY_DN7501_c0_g1_i1 len=891 path=[0:0-890]	891	0.9871835708618164	0.009341662119701217
TRINITY_DN7501_c0_g2_i1 len=1489 path=[0:0-769 2:770-1488]	1489	0.3909381031990051	0.0988178865473223
TRINITY_DN7501_c0_g2_i2 len=1575 path=[0:0-769 1:770-855 2:856-1574]	1575	0.3754163682460785	0.10242465443009291
