Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
non-structural polyprotein [Black queen cell virus],Black queen cell virus,289,289,100%,4e-91,100.00,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABS82407.1?report=genbank&log$=prottop&blast_rank=1&RID=MB1E83HR013"",""ABS82407.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,290,290,100%,3e-87,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23648.1?report=genbank&log$=prottop&blast_rank=2&RID=MB1E83HR013"",""UGV23648.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,290,290,100%,3e-87,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23638.1?report=genbank&log$=prottop&blast_rank=3&RID=MB1E83HR013"",""UGV23638.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,290,290,100%,3e-87,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23652.1?report=genbank&log$=prottop&blast_rank=4&RID=MB1E83HR013"",""UGV23652.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,290,290,100%,3e-87,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23654.1?report=genbank&log$=prottop&blast_rank=5&RID=MB1E83HR013"",""UGV23654.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,290,290,100%,4e-87,100.00,1631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65061.1?report=genbank&log$=prottop&blast_rank=6&RID=MB1E83HR013"",""AYP65061.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,290,290,100%,4e-87,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QZR93827.1?report=genbank&log$=prottop&blast_rank=7&RID=MB1E83HR013"",""QZR93827.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,290,290,100%,4e-87,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJS39822.1?report=genbank&log$=prottop&blast_rank=8&RID=MB1E83HR013"",""QJS39822.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,290,290,100%,4e-87,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULY68643.1?report=genbank&log$=prottop&blast_rank=9&RID=MB1E83HR013"",""ULY68643.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,290,290,100%,4e-87,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23636.1?report=genbank&log$=prottop&blast_rank=10&RID=MB1E83HR013"",""UGV23636.1"")"
