Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Megachile rotundata BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC100877801), transcript variant X2, mRNA",Megachile rotundata,2747,2747,90%,0.0,100.00,1713,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003701385.2?report=genbank&log$=nucltop&blast_rank=1&RID=CFHTPSPF016"",""XM_003701385.2"")"
"PREDICTED: Megachile rotundata BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC100877801), transcript variant X1, mRNA",Megachile rotundata,2163,2163,71%,0.0,100.00,1442,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_012280852.1?report=genbank&log$=nucltop&blast_rank=2&RID=CFHTPSPF016"",""XM_012280852.1"")"
"PREDICTED: Osmia bicornis bicornis BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC114877426), mRNA",Osmia bicornis bicornis,1607,1607,84%,0.0,87.80,2370,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_029189998.2?report=genbank&log$=nucltop&blast_rank=3&RID=CFHTPSPF016"",""XM_029189998.2"")"
"PREDICTED: Osmia lignaria BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC117610539), mRNA",Osmia lignaria,1395,1395,70%,0.0,88.39,1177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_034338089.1?report=genbank&log$=nucltop&blast_rank=4&RID=CFHTPSPF016"",""XM_034338089.1"")"
"Megachile willughbiella genome assembly, chromosome: 8",Megachile willughbiella,1164,2531,89%,0.0,98.20,16714970,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX243801.1?report=genbank&log$=nucltop&blast_rank=5&RID=CFHTPSPF016"",""OX243801.1"")"
"Megachile ligniseca genome assembly, chromosome: 12",Megachile ligniseca,1151,2516,89%,0.0,97.63,12031699,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX243788.1?report=genbank&log$=nucltop&blast_rank=6&RID=CFHTPSPF016"",""OX243788.1"")"
"Coelioxys conoideus genome assembly, chromosome: 12",Coelioxys conoideus,974,2267,89%,0.0,93.03,16492701,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX392460.1?report=genbank&log$=nucltop&blast_rank=7&RID=CFHTPSPF016"",""OX392460.1"")"
"PREDICTED: Apis laboriosa BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC122712821), transcript variant X2, mRNA",Apis laboriosa,826,826,65%,0.0,81.00,1663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043932750.1?report=genbank&log$=nucltop&blast_rank=8&RID=CFHTPSPF016"",""XM_043932750.1"")"
"PREDICTED: Apis laboriosa BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC122712821), transcript variant X1, mRNA",Apis laboriosa,785,785,62%,0.0,80.89,1780,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043932749.1?report=genbank&log$=nucltop&blast_rank=9&RID=CFHTPSPF016"",""XM_043932749.1"")"
"PREDICTED: Apis dorsata BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (LOC102679867), mRNA",Apis dorsata,765,916,78%,0.0,79.84,1771,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006617062.2?report=genbank&log$=nucltop&blast_rank=10&RID=CFHTPSPF016"",""XM_006617062.2"")"
