Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
non-structural polyprotein [Black queen cell virus],Black queen cell virus,668,668,99%,0.0,99.69,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABS82407.1?report=genbank&log$=prottop&blast_rank=1&RID=MB2YHUP701N"",""ABS82407.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,668,668,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92685.1?report=genbank&log$=prottop&blast_rank=2&RID=MB2YHUP701N"",""UCR92685.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,668,668,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULY68643.1?report=genbank&log$=prottop&blast_rank=3&RID=MB2YHUP701N"",""ULY68643.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,668,668,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92689.1?report=genbank&log$=prottop&blast_rank=4&RID=MB2YHUP701N"",""UCR92689.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,668,668,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92701.1?report=genbank&log$=prottop&blast_rank=5&RID=MB2YHUP701N"",""UCR92701.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,668,668,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QXU63176.1?report=genbank&log$=prottop&blast_rank=6&RID=MB2YHUP701N"",""QXU63176.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23648.1?report=genbank&log$=prottop&blast_rank=7&RID=MB2YHUP701N"",""UGV23648.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92693.1?report=genbank&log$=prottop&blast_rank=8&RID=MB2YHUP701N"",""UCR92693.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIN93571.1?report=genbank&log$=prottop&blast_rank=9&RID=MB2YHUP701N"",""QIN93571.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23646.1?report=genbank&log$=prottop&blast_rank=10&RID=MB2YHUP701N"",""UGV23646.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AUI39284.1?report=genbank&log$=prottop&blast_rank=11&RID=MB2YHUP701N"",""AUI39284.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23652.1?report=genbank&log$=prottop&blast_rank=12&RID=MB2YHUP701N"",""UGV23652.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92697.1?report=genbank&log$=prottop&blast_rank=13&RID=MB2YHUP701N"",""UCR92697.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92707.1?report=genbank&log$=prottop&blast_rank=14&RID=MB2YHUP701N"",""UCR92707.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,99.69,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92679.1?report=genbank&log$=prottop&blast_rank=15&RID=MB2YHUP701N"",""UCR92679.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92675.1?report=genbank&log$=prottop&blast_rank=16&RID=MB2YHUP701N"",""UCR92675.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23636.1?report=genbank&log$=prottop&blast_rank=17&RID=MB2YHUP701N"",""UGV23636.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92687.1?report=genbank&log$=prottop&blast_rank=18&RID=MB2YHUP701N"",""UCR92687.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23642.1?report=genbank&log$=prottop&blast_rank=19&RID=MB2YHUP701N"",""UGV23642.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65059.1?report=genbank&log$=prottop&blast_rank=20&RID=MB2YHUP701N"",""AYP65059.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23644.1?report=genbank&log$=prottop&blast_rank=21&RID=MB2YHUP701N"",""UGV23644.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92691.1?report=genbank&log$=prottop&blast_rank=22&RID=MB2YHUP701N"",""UCR92691.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23638.1?report=genbank&log$=prottop&blast_rank=23&RID=MB2YHUP701N"",""UGV23638.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,99.69,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJS39822.1?report=genbank&log$=prottop&blast_rank=24&RID=MB2YHUP701N"",""QJS39822.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65061.1?report=genbank&log$=prottop&blast_rank=25&RID=MB2YHUP701N"",""AYP65061.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23640.1?report=genbank&log$=prottop&blast_rank=26&RID=MB2YHUP701N"",""UGV23640.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23650.1?report=genbank&log$=prottop&blast_rank=27&RID=MB2YHUP701N"",""UGV23650.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,99.69,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92703.1?report=genbank&log$=prottop&blast_rank=28&RID=MB2YHUP701N"",""UCR92703.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,99.69,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABS82427.1?report=genbank&log$=prottop&blast_rank=29&RID=MB2YHUP701N"",""ABS82427.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,667,667,99%,0.0,99.69,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23654.1?report=genbank&log$=prottop&blast_rank=30&RID=MB2YHUP701N"",""UGV23654.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,666,666,99%,0.0,99.69,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QGL51694.1?report=genbank&log$=prottop&blast_rank=31&RID=MB2YHUP701N"",""QGL51694.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,666,666,99%,0.0,99.69,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92695.1?report=genbank&log$=prottop&blast_rank=32&RID=MB2YHUP701N"",""UCR92695.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,666,666,99%,0.0,99.69,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92683.1?report=genbank&log$=prottop&blast_rank=33&RID=MB2YHUP701N"",""UCR92683.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,665,665,99%,0.0,99.69,1629,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AFP97031.1?report=genbank&log$=prottop&blast_rank=34&RID=MB2YHUP701N"",""AFP97031.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,665,665,99%,0.0,99.69,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKW94190.1?report=genbank&log$=prottop&blast_rank=35&RID=MB2YHUP701N"",""QKW94190.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,665,665,99%,0.0,99.69,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92705.1?report=genbank&log$=prottop&blast_rank=36&RID=MB2YHUP701N"",""UCR92705.1"")"
