Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Black queen cell virus isolate BQCV_MR, complete genome",Black queen cell virus,14106,14242,80%,0.0,97.10,8432,Erro:501
"Black queen cell virus isolate BQCV_MS, complete genome",Black queen cell virus,14102,14232,80%,0.0,97.03,8454,Erro:501
"Black queen cell virus isolate BQCV-MR-OCT15, complete genome",Black queen cell virus,14083,14219,80%,0.0,97.04,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-AUG15, complete genome",Black queen cell virus,14063,14199,80%,0.0,96.99,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-APR15, complete genome",Black queen cell virus,14047,14183,80%,0.0,96.94,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-JUN15, complete genome",Black queen cell virus,14043,14179,80%,0.0,96.93,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-SEP15, complete genome",Black queen cell virus,14034,14161,80%,0.0,96.91,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-JUN15, complete genome",Black queen cell virus,14034,14170,80%,0.0,96.91,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-APR15, complete genome",Black queen cell virus,14034,14170,80%,0.0,96.91,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-AUG15, complete genome",Black queen cell virus,14016,14152,80%,0.0,96.86,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-OCT15, complete genome",Black queen cell virus,13998,14134,80%,0.0,96.81,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-SEP15, complete genome",Black queen cell virus,13989,14125,80%,0.0,96.79,8432,Erro:501
"Black queen cell virus isolate BQCV/PNG-2014, complete genome",Black queen cell virus,13279,13411,81%,0.0,94.76,8488,Erro:501
"Black queen cell virus isolate BQCV/PNG-2018, complete genome",Black queen cell virus,13079,13147,80%,0.0,94.48,8412,Erro:501
"Black queen cell virus isolate BQCV_No3_Acc010-HN2019, complete genome",Black queen cell virus,12835,12971,80%,0.0,93.66,8457,Erro:501
"Black queen cell virus strain PP, complete genome",Black queen cell virus,12599,12819,80%,0.0,92.73,8511,Erro:501
"Black queen cell virus isolate FTA1-7, complete genome",Black queen cell virus,12538,12674,80%,0.0,92.96,8436,Erro:501
"Black queen cell virus strain BQCV_Sydney, complete genome",Black queen cell virus,12375,12443,80%,0.0,92.23,8430,Erro:501
"Black queen cell virus strain BQCV4B non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,12262,12393,81%,0.0,92.14,8467,Erro:501
"Black queen cell virus isolate BQCV/144I, complete genome",Black queen cell virus,12214,12282,80%,0.0,91.97,8464,Erro:501
"Black queen cell virus isolate BQCV-IT1, complete genome",Black queen cell virus,12155,12292,80%,0.0,91.89,8458,Erro:501
"Black queen cell virus isolate BQCV_No11_Am035-JL2017, complete genome",Black queen cell virus,12077,12209,80%,0.0,91.71,8452,Erro:501
"Black queen cell virus isolate BQCV_No10_Am024-HN2019, complete genome",Black queen cell virus,12057,12193,80%,0.0,91.64,8456,Erro:501
"Black queen cell virus isolate BQCV_No15_Am049-SD2019, complete genome",Black queen cell virus,12051,12187,80%,0.0,91.63,8455,Erro:501
"Black queen cell virus isolate BQCV_No4_Acc014-JL2016, complete genome",Black queen cell virus,12013,12145,80%,0.0,91.53,8449,Erro:501
"Black queen cell virus isolate GS1, complete genome",Black queen cell virus,12006,12142,80%,0.0,91.56,8440,Erro:501
"Black queen cell virus isolate BQCV_No16_Am056-SH2019, complete genome",Black queen cell virus,12006,12142,80%,0.0,91.51,8458,Erro:501
"Black queen cell virus isolate BQCV_No8_AM-JS-2017-3-1, complete genome",Black queen cell virus,11992,12128,80%,0.0,91.49,8450,Erro:501
"Black queen cell virus isolate BQCV_No9_Am007-BJ2019, complete genome",Black queen cell virus,11972,12108,80%,0.0,91.43,8450,Erro:501
"Black queen cell virus strain HUNGARY-10 non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,11926,11994,79%,0.0,91.75,8335,Erro:501
"Black queen cell virus isolate BQCV_No12_Am040-JS2019, complete genome",Black queen cell virus,11925,12061,80%,0.0,91.30,8455,Erro:501
"Black queen cell virus isolate BQCV_No14_Am046-NMG2019, complete genome",Black queen cell virus,11912,12044,80%,0.0,91.25,8458,Erro:501
