Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein LOC126919890 [Bombus affinis],Bombus affinis,330,330,92%,8e-113,96.89,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050585524.1?report=genbank&log$=prottop&blast_rank=1&RID=M8D1MPUA016"",""XP_050585524.1"")"
secreted RxLR effector protein 161-like [Bombus terrestris],Bombus terrestris,282,282,77%,2e-94,100.00,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_048267037.1?report=genbank&log$=prottop&blast_rank=2&RID=M8D1MPUA016"",""XP_048267037.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,199,199,92%,2e-61,55.90,214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBL96655.1?report=genbank&log$=prottop&blast_rank=3&RID=M8D1MPUA016"",""GBL96655.1"")"
gag-pol polyprotein [Lasius niger],Lasius niger,202,202,86%,2e-61,59.48,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KMQ88817.1?report=genbank&log$=prottop&blast_rank=4&RID=M8D1MPUA016"",""KMQ88817.1"")"
gag-pol polyprotein [Lasius niger],Lasius niger,202,202,86%,3e-61,59.48,298,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KMQ88815.1?report=genbank&log$=prottop&blast_rank=5&RID=M8D1MPUA016"",""KMQ88815.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,200,200,95%,3e-61,53.37,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBN53521.1?report=genbank&log$=prottop&blast_rank=6&RID=M8D1MPUA016"",""GBN53521.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,201,201,92%,4e-61,55.90,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBN54643.1?report=genbank&log$=prottop&blast_rank=7&RID=M8D1MPUA016"",""GBN54643.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,200,200,92%,5e-61,55.90,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBL80008.1?report=genbank&log$=prottop&blast_rank=8&RID=M8D1MPUA016"",""GBL80008.1"")"
secreted RxLR effector protein 161-like [Rhagoletis pomonella],Rhagoletis pomonella,199,199,92%,8e-61,57.76,254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036320876.1?report=genbank&log$=prottop&blast_rank=9&RID=M8D1MPUA016"",""XP_036320876.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,198,198,92%,3e-60,55.28,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBN80999.1?report=genbank&log$=prottop&blast_rank=10&RID=M8D1MPUA016"",""GBN80999.1"")"
gag-pol polyprotein [Lasius niger],Lasius niger,203,203,93%,5e-60,53.99,430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KMQ88922.1?report=genbank&log$=prottop&blast_rank=11&RID=M8D1MPUA016"",""KMQ88922.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,199,199,94%,8e-60,53.67,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBL60415.1?report=genbank&log$=prottop&blast_rank=12&RID=M8D1MPUA016"",""GBL60415.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,197,197,95%,2e-59,52.81,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBO39217.1?report=genbank&log$=prottop&blast_rank=13&RID=M8D1MPUA016"",""GBO39217.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,196,196,92%,2e-59,55.28,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBM45826.1?report=genbank&log$=prottop&blast_rank=14&RID=M8D1MPUA016"",""GBM45826.1"")"
secreted RxLR effector protein 161-like [Osmia bicornis bicornis],Osmia bicornis bicornis,194,194,94%,2e-59,53.11,196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046145331.1?report=genbank&log$=prottop&blast_rank=15&RID=M8D1MPUA016"",""XP_046145331.1"")"
secreted RxLR effector protein 161-like [Osmia bicornis bicornis],Osmia bicornis bicornis,194,194,94%,3e-59,53.11,201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046145329.1?report=genbank&log$=prottop&blast_rank=16&RID=M8D1MPUA016"",""XP_046145329.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,198,198,95%,3e-59,52.81,346,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBL98974.1?report=genbank&log$=prottop&blast_rank=17&RID=M8D1MPUA016"",""GBL98974.1"")"
secreted RxLR effector protein 161-like [Stegodyphus dumicola],Stegodyphus dumicola,193,193,92%,4e-59,56.52,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035210361.1?report=genbank&log$=prottop&blast_rank=18&RID=M8D1MPUA016"",""XP_035210361.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,201,201,95%,1e-58,53.93,502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBN85539.1?report=genbank&log$=prottop&blast_rank=19&RID=M8D1MPUA016"",""GBN85539.1"")"
hypothetical protein KR074_005842 [Drosophila pseudoananassae],Drosophila pseudoananassae,192,192,90%,1e-58,55.35,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH8338203.1?report=genbank&log$=prottop&blast_rank=20&RID=M8D1MPUA016"",""KAH8338203.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,203,203,95%,1e-58,54.49,615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBL79194.1?report=genbank&log$=prottop&blast_rank=21&RID=M8D1MPUA016"",""GBL79194.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,199,199,95%,1e-58,53.37,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBL76388.1?report=genbank&log$=prottop&blast_rank=22&RID=M8D1MPUA016"",""GBL76388.1"")"
hypothetical protein GEV33_004552 [Tenebrio molitor],Tenebrio molitor,196,196,90%,2e-58,55.35,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH0818239.1?report=genbank&log$=prottop&blast_rank=23&RID=M8D1MPUA016"",""KAH0818239.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,201,201,92%,2e-58,56.52,502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBM40212.1?report=genbank&log$=prottop&blast_rank=24&RID=M8D1MPUA016"",""GBM40212.1"")"
hypothetical protein KR032_007137 [Drosophila birchii],Drosophila birchii,192,192,90%,2e-58,55.97,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH8241720.1?report=genbank&log$=prottop&blast_rank=25&RID=M8D1MPUA016"",""KAH8241720.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,200,200,95%,3e-58,53.37,502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBN09813.1?report=genbank&log$=prottop&blast_rank=26&RID=M8D1MPUA016"",""GBN09813.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,199,199,95%,4e-58,53.37,502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBN53994.1?report=genbank&log$=prottop&blast_rank=27&RID=M8D1MPUA016"",""GBN53994.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,202,202,95%,4e-58,53.93,615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBL78726.1?report=genbank&log$=prottop&blast_rank=28&RID=M8D1MPUA016"",""GBL78726.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,196,196,92%,1e-57,55.28,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBL78379.1?report=genbank&log$=prottop&blast_rank=29&RID=M8D1MPUA016"",""GBL78379.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,196,196,92%,1e-57,55.90,407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBL92019.1?report=genbank&log$=prottop&blast_rank=30&RID=M8D1MPUA016"",""GBL92019.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,191,191,92%,2e-57,54.66,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBN03921.1?report=genbank&log$=prottop&blast_rank=31&RID=M8D1MPUA016"",""GBN03921.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,198,198,95%,2e-57,53.37,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBM48266.1?report=genbank&log$=prottop&blast_rank=32&RID=M8D1MPUA016"",""GBM48266.1"")"
hypothetical protein [Apolygus lucorum],Apolygus lucorum,189,189,92%,2e-57,55.28,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF6208713.1?report=genbank&log$=prottop&blast_rank=33&RID=M8D1MPUA016"",""KAF6208713.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,197,197,95%,2e-57,53.37,502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBO17323.1?report=genbank&log$=prottop&blast_rank=34&RID=M8D1MPUA016"",""GBO17323.1"")"
secreted RxLR effector protein 161-like [Drosophila elegans],Drosophila elegans,191,191,90%,3e-57,54.72,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041564465.1?report=genbank&log$=prottop&blast_rank=35&RID=M8D1MPUA016"",""XP_041564465.1"")"
secreted RxLR effector protein 161-like [Stegodyphus dumicola],Stegodyphus dumicola,188,188,92%,3e-57,56.44,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035211735.1?report=genbank&log$=prottop&blast_rank=36&RID=M8D1MPUA016"",""XP_035211735.1"")"
