Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
feline leukemia virus subgroup C receptor-related protein 2 [Apis mellifera carnica],Apis mellifera carnica,804,804,81%,0.0,100.00,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG9436236.1?report=genbank&log$=prottop&blast_rank=1&RID=MB2YHUP701N"",""KAG9436236.1"")"
feline leukemia virus subgroup C receptor-related protein 2 [Apis mellifera caucasica],Apis mellifera caucasica,804,804,81%,0.0,99.75,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6800348.1?report=genbank&log$=prottop&blast_rank=2&RID=MB2YHUP701N"",""KAG6800348.1"")"
feline leukemia virus subgroup C receptor-related protein 2 [Apis mellifera],Apis mellifera,802,802,81%,0.0,99.75,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016770560.2?report=genbank&log$=prottop&blast_rank=3&RID=MB2YHUP701N"",""XP_016770560.2"")"
feline leukemia virus subgroup C receptor-related protein 2 [Apis cerana],Apis cerana,794,794,81%,0.0,98.77,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016919464.1?report=genbank&log$=prottop&blast_rank=4&RID=MB2YHUP701N"",""XP_016919464.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Apis dorsata],Apis dorsata,786,786,81%,0.0,97.06,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031366314.1?report=genbank&log$=prottop&blast_rank=5&RID=MB2YHUP701N"",""XP_031366314.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Apis florea],Apis florea,783,783,81%,0.0,96.57,476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003691133.1?report=genbank&log$=prottop&blast_rank=6&RID=MB2YHUP701N"",""XP_003691133.1"")"
PREDICTED: feline leukemia virus subgroup C receptor-related protein 2 [Eufriesea mexicana],Eufriesea mexicana,709,709,81%,0.0,84.88,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017764497.1?report=genbank&log$=prottop&blast_rank=7&RID=MB2YHUP701N"",""XP_017764497.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Bombus pyrosoma],Bombus pyrosoma,698,698,81%,0.0,84.56,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043595066.1?report=genbank&log$=prottop&blast_rank=8&RID=MB2YHUP701N"",""XP_043595066.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Bombus vancouverensis nearcticus],Bombus vancouverensis nearcticus,697,697,81%,0.0,84.31,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033206492.1?report=genbank&log$=prottop&blast_rank=9&RID=MB2YHUP701N"",""XP_033206492.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like [Bombus huntii],Bombus huntii,697,697,81%,0.0,84.31,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050471046.1?report=genbank&log$=prottop&blast_rank=10&RID=MB2YHUP701N"",""XP_050471046.1"")"
