name	len	score	pvalue
TRINITY_DN11961_c1_g1_i1 len=382 path=[0:0-381]	382	0.8253381252288818	0.038395635117464036
TRINITY_DN24464_c0_g1_i1 len=464 path=[0:0-463]	464	0.3612190783023834	0.22822067908193172
TRINITY_DN4189_c0_g1_i1 len=1042 path=[0:0-1041]	1042	0.48642706871032715	0.07098345796510311
TRINITY_DN3999_c0_g1_i1 len=363 path=[0:0-362]	363	0.6663371324539185	0.07291337872570681
TRINITY_DN15051_c0_g1_i1 len=459 path=[0:0-458]	459	0.8181549310684204	0.03962438562474636
TRINITY_DN2811_c0_g1_i5 len=2696 path=[0:0-61 2:62-327 4:328-387 6:388-423 7:424-502 8:503-534 10:535-805 11:806-864 12:865-1015 14:1016-1101 16:1102-1765 17:1766-1794 19:1795-1921 20:1922-1950 22:1951-2005 23:2006-2695]	2696	0.9969993829727173	0.005306292016013294
TRINITY_DN2811_c0_g1_i3 len=2893 path=[1:0-258 2:259-524 3:525-699 8:700-731 9:732-1002 11:1003-1061 13:1062-1212 14:1213-1298 15:1299-1962 17:1963-1991 18:1992-2118 20:2119-2147 21:2148-2202 23:2203-2892]	2893	0.9032685160636902	0.01750509857239973
TRINITY_DN2811_c0_g1_i4 len=2893 path=[1:0-258 2:259-524 4:525-584 5:585-620 7:621-699 8:700-731 10:732-1002 11:1003-1061 12:1062-1212 14:1213-1298 16:1299-1962 17:1963-1991 19:1992-2118 20:2119-2147 22:2148-2202 23:2203-2892]	2893	0.955405056476593	0.012973034217085882
TRINITY_DN2811_c0_g2_i2 len=3798 path=[0:0-855 2:856-886 3:887-3797]	3798	0.5964665412902832	0.04279024095475489
TRINITY_DN2811_c0_g2_i1 len=3798 path=[0:0-855 1:856-886 3:887-3797]	3798	0.6123325824737549	0.04088299720522698
TRINITY_DN3356_c0_g1_i2 len=412 path=[0:0-46 7:47-48 9:49-105 11:106-144 15:145-172 17:173-411]	412	0.9436612725257874	0.01644158362267214
TRINITY_DN3356_c0_g1_i12 len=582 path=[5:0-218 9:219-275 11:276-314 15:315-342 17:343-581]	582	0.9429965019226074	0.0215055786562306
TRINITY_DN3356_c0_g1_i11 len=618 path=[4:0-311 11:312-350 14:351-378 17:379-617]	618	0.9989514350891113	0.002314248621799093
TRINITY_DN3356_c0_g1_i10 len=525 path=[3:0-159 7:160-161 9:162-218 11:219-257 15:258-285 17:286-524]	525	0.9451524019241333	0.021054017949538092
TRINITY_DN3356_c0_g2_i2 len=538 path=[0:0-537]	538	0.8672828674316406	0.035757963461212815
TRINITY_DN6079_c0_g1_i1 len=258 path=[0:0-257]	258	0.670713484287262	0.09914021238499567
TRINITY_DN3232_c0_g1_i5 len=2204 path=[1:0-239 2:240-731 4:732-2008 5:2009-2203]	2204	0.10221359133720398	0.18830727396329028
TRINITY_DN3232_c0_g1_i4 len=2321 path=[0:0-110 2:111-602 4:603-1879 6:1880-2320]	2321	0.19857251644134521	0.14725432434473903
TRINITY_DN3232_c0_g1_i7 len=2450 path=[1:0-239 2:240-731 4:732-2008 6:2009-2449]	2450	0.2756199836730957	0.12580255306292015
TRINITY_DN3232_c0_g1_i6 len=2534 path=[1:0-239 2:240-731 3:732-815 4:816-2092 6:2093-2533]	2534	0.33045732975006104	0.11235742880882242
TRINITY_DN17052_c0_g1_i1 len=223 path=[0:0-222]	223	0.294742226600647	0.3965101744349726
TRINITY_DN25637_c0_g1_i1 len=279 path=[0:0-278]	279	0.5892641544342041	0.14102318667582572
TRINITY_DN12645_c0_g1_i1 len=226 path=[0:0-225]	226	0.417840838432312	0.2776629767682796
TRINITY_DN18897_c0_g1_i1 len=317 path=[0:0-316]	317	0.38258475065231323	0.21560062226631194
TRINITY_DN7265_c0_g1_i5 len=3607 path=[0:0-3393 1:3394-3397 2:3398-3606]	3607	0.4227083921432495	0.09126444595513256
TRINITY_DN7265_c0_g1_i1 len=3603 path=[0:0-3393 2:3394-3602]	3603	0.4483429193496704	0.08386207417478661
TRINITY_DN9049_c0_g1_i6 len=609 path=[1:0-402 4:403-403 6:404-404 8:405-441 10:442-608]	609	0.6229081749916077	0.08623868746354588
TRINITY_DN184_c2_g1_i4 len=247 path=[0:0-151 2:152-155 5:156-169 6:170-196 7:197-246]	247	0.7020304799079895	0.08533406155336089
TRINITY_DN184_c2_g1_i2 len=264 path=[0:0-151 1:152-154 4:155-169 6:170-196 8:197-263]	264	0.7111780047416687	0.08155032037927501
TRINITY_DN1703_c1_g1_i2 len=500 path=[0:0-72 30:73-94 31:95-96 33:97-175 36:176-199 37:200-338 40:339-441 41:442-499]	500	0.448220431804657	0.17191292404372613
TRINITY_DN8705_c0_g1_i1 len=343 path=[0:0-342]	343	0.8024815917015076	0.04253280425666231
TRINITY_DN4930_c0_g1_i1 len=338 path=[0:0-337]	338	0.28197622299194336	0.27781034405014204
TRINITY_DN4955_c0_g1_i1 len=352 path=[0:0-52 2:53-99 4:100-169 5:170-351]	352	0.7408265471458435	0.05504013166794427
TRINITY_DN19626_c0_g1_i1 len=240 path=[0:0-239]	240	0.38301584124565125	0.3096783820002027
TRINITY_DN2046_c0_g1_i1 len=1741 path=[0:0-1391 2:1392-1740]	1741	0.07655365020036697	0.2064732985875066
TRINITY_DN2046_c0_g1_i2 len=887 path=[1:0-537 2:538-886]	887	0.12457279860973358	0.38251895614216636
TRINITY_DN7546_c0_g1_i1 len=208 path=[0:0-207]	208	0.4915401041507721	0.21141372281843673
TRINITY_DN8968_c0_g1_i1 len=210 path=[0:0-209]	210	0.5261436700820923	0.1822333081834664
TRINITY_DN8968_c0_g2_i1 len=403 path=[0:0-402]	403	0.5151549577713013	0.12771677864454165
