Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Nomia melanderi uncharacterized LOC116424215 (LOC116424215), transcript variant X1, ncRNA",Nomia melanderi,2572,2983,95%,0.0,99.86,3551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004234406.1?report=genbank&log$=nucltop&blast_rank=1&RID=KSBW8U02013"",""XR_004234406.1"")"
"PREDICTED: Nomia melanderi uncharacterized LOC116424215 (LOC116424215), transcript variant X2, ncRNA",Nomia melanderi,1775,2775,89%,0.0,99.80,3433,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004234407.1?report=genbank&log$=nucltop&blast_rank=2&RID=KSBW8U02013"",""XR_004234407.1"")"
"PREDICTED: Nomia melanderi uncharacterized LOC116424215 (LOC116424215), transcript variant X3, ncRNA",Nomia melanderi,1732,2704,87%,0.0,99.79,3396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004234408.1?report=genbank&log$=nucltop&blast_rank=3&RID=KSBW8U02013"",""XR_004234408.1"")"
"Sphecodes monilicornis genome assembly, chromosome: 7",Sphecodes monilicornis,343,599,35%,4e-89,80.76,28492673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU565290.1?report=genbank&log$=nucltop&blast_rank=4&RID=KSBW8U02013"",""OU565290.1"")"
"Sphecodes monilicornis genome assembly, chromosome: 10",Sphecodes monilicornis,338,607,35%,2e-87,80.38,26912848,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU565293.1?report=genbank&log$=nucltop&blast_rank=5&RID=KSBW8U02013"",""OU565293.1"")"
"Sphecodes monilicornis genome assembly, chromosome: 1",Sphecodes monilicornis,338,607,35%,2e-87,80.38,37309700,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU565284.1?report=genbank&log$=nucltop&blast_rank=6&RID=KSBW8U02013"",""OU565284.1"")"
"Lasioglossum morio genome assembly, chromosome: 4",Lasioglossum morio,322,573,36%,1e-82,79.61,31474127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU744326.1?report=genbank&log$=nucltop&blast_rank=7&RID=KSBW8U02013"",""OU744326.1"")"
"Nomada fabriciana genome assembly, chromosome: 3",Nomada fabriciana,311,694,26%,3e-79,79.83,21681632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU015690.1?report=genbank&log$=nucltop&blast_rank=8&RID=KSBW8U02013"",""OU015690.1"")"
"Sphecodes monilicornis genome assembly, chromosome: 16",Sphecodes monilicornis,304,573,33%,4e-77,80.80,20218234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU565299.1?report=genbank&log$=nucltop&blast_rank=9&RID=KSBW8U02013"",""OU565299.1"")"
"Lasioglossum pauxillum genome assembly, chromosome: 1",Lasioglossum pauxillum,300,1722,35%,5e-76,78.14,55061150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OW121699.1?report=genbank&log$=nucltop&blast_rank=10&RID=KSBW8U02013"",""OW121699.1"")"
"Nomada fabriciana genome assembly, chromosome: 6",Nomada fabriciana,300,538,36%,5e-76,78.14,18567632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU015693.1?report=genbank&log$=nucltop&blast_rank=11&RID=KSBW8U02013"",""OU015693.1"")"
"Sphecodes monilicornis genome assembly, chromosome: 8",Sphecodes monilicornis,290,543,35%,8e-73,78.45,27859942,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU565291.1?report=genbank&log$=nucltop&blast_rank=12&RID=KSBW8U02013"",""OU565291.1"")"
"Lasioglossum lativentre genome assembly, chromosome: 7",Lasioglossum lativentre,284,512,33%,4e-71,78.92,27713800,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU744361.1?report=genbank&log$=nucltop&blast_rank=13&RID=KSBW8U02013"",""OU744361.1"")"
"Cerceris rybyensis genome assembly, chromosome: 3",Cerceris rybyensis,247,328,26%,9e-60,74.93,34308186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342791.1?report=genbank&log$=nucltop&blast_rank=14&RID=KSBW8U02013"",""OU342791.1"")"
"Cerceris rybyensis genome assembly, chromosome: 4",Cerceris rybyensis,226,437,33%,8e-54,75.54,28311074,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342792.1?report=genbank&log$=nucltop&blast_rank=15&RID=KSBW8U02013"",""OU342792.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000000741",Cyprinus carpio,130,130,4%,2e-24,96.20,121107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN592861.1?report=genbank&log$=nucltop&blast_rank=16&RID=KSBW8U02013"",""LN592861.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000000678",Cyprinus carpio,130,130,4%,2e-24,98.65,367116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590889.1?report=genbank&log$=nucltop&blast_rank=17&RID=KSBW8U02013"",""LN590889.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold: LG36, chromosome: 36",Cyprinus carpio,130,483,4%,2e-24,98.65,22739634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590706.1?report=genbank&log$=nucltop&blast_rank=18&RID=KSBW8U02013"",""LN590706.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold: LG32, chromosome: 32",Cyprinus carpio,130,606,4%,2e-24,98.65,26100072,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590696.1?report=genbank&log$=nucltop&blast_rank=19&RID=KSBW8U02013"",""LN590696.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000001750",Cyprinus carpio,129,129,4%,2e-24,100.00,345239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN598313.1?report=genbank&log$=nucltop&blast_rank=20&RID=KSBW8U02013"",""LN598313.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000002070",Cyprinus carpio,129,129,4%,2e-24,100.00,54858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN594987.1?report=genbank&log$=nucltop&blast_rank=21&RID=KSBW8U02013"",""LN594987.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold 000004095",Cyprinus carpio,129,129,4%,2e-24,100.00,33159,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN594502.1?report=genbank&log$=nucltop&blast_rank=22&RID=KSBW8U02013"",""LN594502.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold: LG20, chromosome: 20",Cyprinus carpio,129,359,4%,2e-24,100.00,16766033,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590713.1?report=genbank&log$=nucltop&blast_rank=23&RID=KSBW8U02013"",""LN590713.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold: LG35, chromosome: 35",Cyprinus carpio,129,879,4%,2e-24,100.00,29126390,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590686.1?report=genbank&log$=nucltop&blast_rank=24&RID=KSBW8U02013"",""LN590686.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold: LG18, chromosome: 18",Cyprinus carpio,129,501,4%,2e-24,100.00,22437665,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590684.1?report=genbank&log$=nucltop&blast_rank=25&RID=KSBW8U02013"",""LN590684.1"")"
"Cyprinus carpio genome assembly common carp genome, scaffold: LG13, chromosome: 13",Cyprinus carpio,128,467,4%,6e-24,98.63,25164623,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN590687.1?report=genbank&log$=nucltop&blast_rank=26&RID=KSBW8U02013"",""LN590687.1"")"
