Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Plantago mottle virus putative movement protein, polyprotein, and coat protein genes, complete cds",Plantago mottle virus,326,326,100%,1e-84,94.71,6154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY751779.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8RD29V601R"",""AY751779.1"")"
"Diascia yellow mottle virus strain OR, complete genome",Diascia yellow mottle virus,128,128,83%,6e-25,76.30,6290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU684141.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8RD29V601R"",""EU684141.1"")"
"Diascia yellow mottle virus isolate 21005322, complete genome",Diascia yellow mottle virus,123,123,83%,8e-24,75.72,6290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY569402.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8RD29V601R"",""KY569402.1"")"
"Scrophularia mottle virus putative movement protein, polyprotein, and coat protein genes, complete cds",Scrophularia mottle virus,105,105,51%,2e-18,81.48,6206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY751777.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8RD29V601R"",""AY751777.1"")"
"Nemesia ring necrosis virus isolate DSMZ PV-0631, partial sequence",Nemesia ring necrosis virus,104,104,77%,7e-18,74.85,6189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW854281.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8RD29V601R"",""MW854281.1"")"
"Nemesia ring necrosis virus from Nemesia fruticans putative movement protein, polyprotein, and coat protein genes, complete cds",Nemesia ring necrosis virus,104,104,77%,7e-18,74.85,6285,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY751778.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8RD29V601R"",""AY751778.1"")"
"Inner Mongolia tymovirus 2 isolate 339R-k141_773706 replicase gene, partial cds",Inner Mongolia tymovirus 2,102,102,82%,2e-17,73.74,2572,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW897324.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8RD29V601R"",""MW897324.1"")"
"Anagyris vein yellowing virus putative movement protein, polyprotein, and coat protein genes, complete cds",Anagyris vein yellowing virus,96.9,96.9,89%,1e-15,72.19,6151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY751780.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8RD29V601R"",""AY751780.1"")"
Ononis yellow mosaic virus complete genome,Ononis yellow mosaic virus,88.7,88.7,50%,5e-13,78.30,6211,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/J04375.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8RD29V601R"",""J04375.1"")"
"Inner Mongolia tymovirus 1 isolate 339R-k141_729073 replicase gene, partial cds",Inner Mongolia tymovirus 1,72.5,72.5,79%,4e-08,71.60,3425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW897323.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8RD29V601R"",""MW897323.1"")"
"Andean potato latent virus isolate DSMZ PV-0062, partial sequence",Andean potato latent virus,72.5,72.5,82%,4e-08,69.19,6335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ405632.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8RD29V601R"",""MZ405632.1"")"
"Tomato blistering mosaic virus isolate BR001, complete genome",Tomato blistering mosaic virus,69.8,69.8,65%,1e-07,71.43,6257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ940970.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8RD29V601R"",""KJ940970.1"")"
"Ullucus tymovirus 2 isolate UTyV2, partial genome",Ullucus tymovirus 2,64.4,64.4,62%,6e-06,71.21,6170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH645152.1?report=genbank&log$=nucltop&blast_rank=13&RID=M8RD29V601R"",""MH645152.1"")"
"Andean potato mild mosaic virus isolate DSMZ PV-0061, complete sequence",Andean potato mild mosaic virus,54.5,54.5,70%,0.011,68.03,6219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ202325.1?report=genbank&log$=nucltop&blast_rank=14&RID=M8RD29V601R"",""MZ202325.1"")"
"Physalis mottle tymovirus OP, RP, CP genes",Physalis mottle virus,51.8,51.8,49%,0.039,70.87,6673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/Y16104.1?report=genbank&log$=nucltop&blast_rank=15&RID=M8RD29V601R"",""Y16104.1"")"



		


