Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Retrovirus-related Pol polyprotein from transposon 17.6 [Eumeta japonica],Eumeta japonica,138,138,75%,4e-39,66.67,134,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBP30828.1?report=genbank&log$=prottop&blast_rank=1&RID=M8CAG56X016"",""GBP30828.1"")"
jg5429 [Pararge aegeria aegeria],Pararge aegeria aegeria,135,135,75%,3e-37,67.71,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH2211447.1?report=genbank&log$=prottop&blast_rank=2&RID=M8CAG56X016"",""CAH2211447.1"")"
unnamed protein product [Euphydryas editha],Euphydryas editha,135,135,75%,5e-37,65.62,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH2091564.1?report=genbank&log$=prottop&blast_rank=3&RID=M8CAG56X016"",""CAH2091564.1"")"
unnamed protein product [Euphydryas editha],Euphydryas editha,135,135,75%,6e-37,65.62,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH2093959.1?report=genbank&log$=prottop&blast_rank=4&RID=M8CAG56X016"",""CAH2093959.1"")"
unnamed protein product [Euphydryas editha],Euphydryas editha,135,135,75%,2e-36,65.62,277,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH2104105.1?report=genbank&log$=prottop&blast_rank=5&RID=M8CAG56X016"",""CAH2104105.1"")"
uncharacterized protein LOC118262122 isoform X1 [Spodoptera frugiperda],Spodoptera frugiperda,142,142,75%,3e-36,69.79,948,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035429157.2?report=genbank&log$=prottop&blast_rank=6&RID=M8CAG56X016"",""XP_035429157.2"")"
Retrovirus-related Pol polyprotein from transposon 297 [Eumeta japonica],Eumeta japonica,133,133,75%,5e-36,66.67,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBP53048.1?report=genbank&log$=prottop&blast_rank=7&RID=M8CAG56X016"",""GBP53048.1"")"
Retrovirus-related Pol polyprotein from transposon 17.6 [Eumeta japonica],Eumeta japonica,130,130,75%,5e-35,62.50,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBP53324.1?report=genbank&log$=prottop&blast_rank=8&RID=M8CAG56X016"",""GBP53324.1"")"
RNase H-like domain-containing protein [Acinetobacter baumannii],Acinetobacter baumannii,130,130,75%,1e-34,64.58,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_171476776.1?report=genbank&log$=prottop&blast_rank=9&RID=M8CAG56X016"",""WP_171476776.1"")"
unnamed protein product [Pieris macdunnoughi],Pieris macdunnoughi,134,134,75%,2e-34,65.62,431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAF4882062.1?report=genbank&log$=prottop&blast_rank=10&RID=M8CAG56X016"",""CAF4882062.1"")"
Retrovirus-related Pol polyprotein from transposon 17.6 [Eumeta japonica],Eumeta japonica,130,130,76%,2e-34,61.86,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBP91995.1?report=genbank&log$=prottop&blast_rank=11&RID=M8CAG56X016"",""GBP91995.1"")"
