Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Apis mellifera feline leukemia virus subgroup C receptor-related protein 2 (LOC107965219), transcript variant X2, mRNA",Apis mellifera,2281,2642,100%,0.0,99.15,2592,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_016915072.2?report=genbank&log$=nucltop&blast_rank=1&RID=M8PC9MGC01R"",""XM_016915072.2"")"
"PREDICTED: Apis mellifera feline leukemia virus subgroup C receptor-related protein 2 (LOC107965219), transcript variant X1, mRNA",Apis mellifera,2281,2646,100%,0.0,99.15,2746,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_016915071.2?report=genbank&log$=nucltop&blast_rank=2&RID=M8PC9MGC01R"",""XM_016915071.2"")"
"PREDICTED: Apis cerana feline leukemia virus subgroup C receptor-related protein 2 (LOC108002345), mRNA",Apis cerana,2175,2175,86%,0.0,97.01,2325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017063975.2?report=genbank&log$=nucltop&blast_rank=3&RID=M8PC9MGC01R"",""XM_017063975.2"")"
"PREDICTED: Apis dorsata feline leukemia virus subgroup C receptor-related protein 2-like (LOC116185624), mRNA",Apis dorsata,2107,2107,85%,0.0,95.91,1618,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_031510454.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8PC9MGC01R"",""XM_031510454.1"")"
"PREDICTED: Apis laboriosa feline leukemia virus subgroup C receptor-related protein 2-like (LOC122719621), mRNA",Apis laboriosa,2074,2371,97%,0.0,96.80,2851,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043945584.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8PC9MGC01R"",""XM_043945584.1"")"
"PREDICTED: Apis florea feline leukemia virus subgroup C receptor-related protein 2-like (LOC100872676), mRNA",Apis florea,2053,2162,88%,0.0,96.40,1696,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003691085.3?report=genbank&log$=nucltop&blast_rank=6&RID=M8PC9MGC01R"",""XM_003691085.3"")"
"PREDICTED: Bombus pyrosoma feline leukemia virus subgroup C receptor-related protein 2-like (LOC122573135), mRNA",Bombus pyrosoma,1386,1386,81%,0.0,85.05,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043739131.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8PC9MGC01R"",""XM_043739131.1"")"
"PREDICTED: Bombus terrestris feline leukemia virus subgroup C receptor-related protein 2 (LOC100643249), mRNA",Bombus terrestris,1370,1370,81%,0.0,84.90,2454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003398769.4?report=genbank&log$=nucltop&blast_rank=8&RID=M8PC9MGC01R"",""XM_003398769.4"")"
"PREDICTED: Bombus impatiens feline leukemia virus subgroup C receptor-related protein 2-like (LOC100749562), mRNA",Bombus impatiens,1361,1361,82%,0.0,84.44,2318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003489599.4?report=genbank&log$=nucltop&blast_rank=9&RID=M8PC9MGC01R"",""XM_003489599.4"")"
"PREDICTED: Bombus vosnesenskii feline leukemia virus subgroup C receptor-related protein 2-like (LOC117231203), mRNA",Bombus vosnesenskii,1357,1357,82%,0.0,84.35,1909,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033489396.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8PC9MGC01R"",""XM_033489396.1"")"
