Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
retrovirus-related gag-pol polyprotein [Lasius niger],Lasius niger,235,235,76%,3e-67,65.12,1177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KMQ87706.1?report=genbank&log$=prottop&blast_rank=1&RID=KW0TW9ZX016"",""KMQ87706.1"")"
hypothetical protein GEV33_007238 [Tenebrio molitor],Tenebrio molitor,226,226,90%,2e-65,56.93,715,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH0815554.1?report=genbank&log$=prottop&blast_rank=2&RID=KW0TW9ZX016"",""KAH0815554.1"")"
retrovirus-related gag-pol polyprotein [Lasius niger],Lasius niger,230,230,80%,2e-65,59.78,1377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KMQ86259.1?report=genbank&log$=prottop&blast_rank=3&RID=KW0TW9ZX016"",""KMQ86259.1"")"
hypothetical protein GEV33_001604 [Tenebrio molitor],Tenebrio molitor,224,224,83%,1e-63,57.22,947,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH0821187.1?report=genbank&log$=prottop&blast_rank=4&RID=KW0TW9ZX016"",""KAH0821187.1"")"
hypothetical protein GEV33_007221 [Tenebrio molitor],Tenebrio molitor,223,223,90%,8e-63,56.93,1359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH0815570.1?report=genbank&log$=prottop&blast_rank=5&RID=KW0TW9ZX016"",""KAH0815570.1"")"
unnamed protein product [Tenebrio molitor],Tenebrio molitor,222,222,76%,1e-62,61.05,1188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1379781.1?report=genbank&log$=prottop&blast_rank=6&RID=KW0TW9ZX016"",""CAH1379781.1"")"
unnamed protein product [Tenebrio molitor],Tenebrio molitor,211,211,90%,2e-62,52.71,420,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1383576.1?report=genbank&log$=prottop&blast_rank=7&RID=KW0TW9ZX016"",""CAH1383576.1"")"
retrovirus-related gag-pol polyprotein [Lasius niger],Lasius niger,220,220,77%,1e-61,59.54,1366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KMQ88558.1?report=genbank&log$=prottop&blast_rank=8&RID=KW0TW9ZX016"",""KMQ88558.1"")"
retrovirus-related pol polyprotein from transposon tnt 1-94 [Lasius niger],Lasius niger,211,211,76%,1e-61,59.30,516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KMQ86141.1?report=genbank&log$=prottop&blast_rank=9&RID=KW0TW9ZX016"",""KMQ86141.1"")"
hypothetical protein TcasGA2_TC033931 [Tribolium castaneum],Tribolium castaneum,218,550,76%,4e-61,59.88,2349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYB26036.1?report=genbank&log$=prottop&blast_rank=10&RID=KW0TW9ZX016"",""KYB26036.1"")"
