Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
xenotropic and polytropic retrovirus receptor 1-like [Nomia melanderi],Nomia melanderi,191,191,95%,5e-55,100.00,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031828108.1?report=genbank&log$=prottop&blast_rank=1&RID=M894CS5A016"",""XP_031828108.1"")"
xenotropic and polytropic retrovirus receptor 1-like [Megalopta genalis],Megalopta genalis,191,191,95%,5e-55,100.00,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033330944.1?report=genbank&log$=prottop&blast_rank=2&RID=M894CS5A016"",""XP_033330944.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X2 [Apis mellifera],Apis mellifera,190,190,95%,5e-55,97.78,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026299553.1?report=genbank&log$=prottop&blast_rank=3&RID=M894CS5A016"",""XP_026299553.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X4 [Frieseomelitta varia],Frieseomelitta varia,189,189,95%,6e-55,98.89,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043512882.1?report=genbank&log$=prottop&blast_rank=4&RID=M894CS5A016"",""XP_043512882.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X5 [Apis laboriosa],Apis laboriosa,189,189,95%,1e-54,97.78,578,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043801434.1?report=genbank&log$=prottop&blast_rank=5&RID=M894CS5A016"",""XP_043801434.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X3 [Apis laboriosa],Apis laboriosa,189,189,95%,1e-54,97.78,594,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043801432.1?report=genbank&log$=prottop&blast_rank=6&RID=M894CS5A016"",""XP_043801432.1"")"
xenotropic and polytropic retrovirus receptor 1 isoform X6 [Apis cerana],Apis cerana,189,189,95%,1e-54,96.67,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016917666.1?report=genbank&log$=prottop&blast_rank=7&RID=M894CS5A016"",""XP_016917666.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X4 [Apis laboriosa],Apis laboriosa,189,189,95%,1e-54,97.78,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043801433.1?report=genbank&log$=prottop&blast_rank=8&RID=M894CS5A016"",""XP_043801433.1"")"
xenotropic and polytropic retrovirus receptor 1 isoform X5 [Apis cerana],Apis cerana,189,189,95%,1e-54,96.67,589,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016917665.1?report=genbank&log$=prottop&blast_rank=9&RID=M894CS5A016"",""XP_016917665.1"")"
xenotropic and polytropic retrovirus receptor 1-like isoform X2 [Frieseomelitta varia],Frieseomelitta varia,189,189,95%,2e-54,98.89,649,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043512880.1?report=genbank&log$=prottop&blast_rank=10&RID=M894CS5A016"",""XP_043512880.1"")"
