Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
feline leukemia virus subgroup C receptor-related protein 2 isoform X1 [Bombus impatiens],Bombus impatiens,270,270,77%,1e-85,98.64,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003492008.1?report=genbank&log$=prottop&blast_rank=1&RID=KR9MYVX8013"",""XP_003492008.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like isoform X1 [Bombus vancouverensis nearcticus],Bombus vancouverensis nearcticus,267,267,77%,1e-84,97.28,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033191453.1?report=genbank&log$=prottop&blast_rank=2&RID=KR9MYVX8013"",""XP_033191453.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like isoform X1 [Bombus bifarius],Bombus bifarius,267,267,77%,2e-84,97.28,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033299593.1?report=genbank&log$=prottop&blast_rank=3&RID=KR9MYVX8013"",""XP_033299593.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like isoform X1 [Bombus vosnesenskii],Bombus vosnesenskii,263,263,77%,5e-83,96.60,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033360516.1?report=genbank&log$=prottop&blast_rank=4&RID=KR9MYVX8013"",""XP_033360516.1"")"
uncharacterized MFS-type transporter C09D4.1 isoform X1 [Bombus terrestris],Bombus terrestris,256,256,77%,4e-80,94.56,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012163944.1?report=genbank&log$=prottop&blast_rank=5&RID=KR9MYVX8013"",""XP_012163944.1"")"
uncharacterized MFS-type transporter C09D4.1 isoform X1 [Bombus affinis],Bombus affinis,255,255,77%,5e-80,94.56,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050589545.1?report=genbank&log$=prottop&blast_rank=6&RID=KR9MYVX8013"",""XP_050589545.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like isoform X1 [Bombus pyrosoma],Bombus pyrosoma,253,253,77%,3e-79,93.20,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043582497.1?report=genbank&log$=prottop&blast_rank=7&RID=KR9MYVX8013"",""XP_043582497.1"")"
uncharacterized MFS-type transporter C09D4.1-like isoform X1 [Apis dorsata],Apis dorsata,223,223,83%,3e-67,76.73,470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006613988.1?report=genbank&log$=prottop&blast_rank=8&RID=KR9MYVX8013"",""XP_006613988.1"")"
uncharacterized MFS-type transporter C09D4.1 isoform X1 [Apis cerana],Apis cerana,223,223,80%,5e-67,77.63,470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016910150.1?report=genbank&log$=prottop&blast_rank=9&RID=KR9MYVX8013"",""XP_016910150.1"")"
uncharacterized MFS-type transporter C09D4.1-like isoform X1 [Apis laboriosa],Apis laboriosa,223,223,83%,6e-67,76.73,470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043792095.1?report=genbank&log$=prottop&blast_rank=10&RID=KR9MYVX8013"",""XP_043792095.1"")"
