Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Human gammaherpesvirus 4 isolate ebv14,Human gammaherpesvirus 4,86.0,148,17%,3E-12,96.15,169296,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH883760.1?report=genbank&log$=nucltop&blast_rank=27&RID=KSXUHUZ701R"",""MH883760.1"")"
"Human gammaherpesvirus 4 isolate Human herpesvirus 4 genome assembly, chromosome: I",Human gammaherpesvirus 4,86.0,148,17%,3E-12,96.15,171493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LS992247.1?report=genbank&log$=nucltop&blast_rank=28&RID=KSXUHUZ701R"",""LS992247.1"")"
"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1",Severe acute respiratory syndrome coronavirus 2,82.4,164,17%,3E-11,94.44,30121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV196026.1?report=genbank&log$=nucltop&blast_rank=30&RID=KSXUHUZ701R"",""OV196026.1"")"
"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1",Severe acute respiratory syndrome coronavirus 2,82.4,82.4,17%,3E-11,94.44,30109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV195900.1?report=genbank&log$=nucltop&blast_rank=31&RID=KSXUHUZ701R"",""OV195900.1"")"
"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1",Severe acute respiratory syndrome coronavirus 2,77.9,77.9,17%,"0,000000001",92.59,30057,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV197539.1?report=genbank&log$=nucltop&blast_rank=38&RID=KSXUHUZ701R"",""OV197539.1"")"
"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1",Severe acute respiratory syndrome coronavirus 2,77.9,77.9,17%,"0,000000001",94.44,30117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV195597.1?report=genbank&log$=nucltop&blast_rank=39&RID=KSXUHUZ701R"",""OV195597.1"")"
"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1",Severe acute respiratory syndrome coronavirus 2,77.0,145,17%,"0,000000001",92.73,30208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV197187.1?report=genbank&log$=nucltop&blast_rank=42&RID=KSXUHUZ701R"",""OV197187.1"")"
"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1",Severe acute respiratory syndrome coronavirus 2,72.5,128,17%,"0,00000006",90.91,30100,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV196099.1?report=genbank&log$=nucltop&blast_rank=75&RID=KSXUHUZ701R"",""OV196099.1"")"
"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1",Severe acute respiratory syndrome coronavirus 2,72.5,72.5,17%,"0,00000006",90.91,30221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV195202.1?report=genbank&log$=nucltop&blast_rank=76&RID=KSXUHUZ701R"",""OV195202.1"")"
"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1",Severe acute respiratory syndrome coronavirus 2,71.6,71.6,17%,"0,00000006",89.29,30101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV196890.1?report=genbank&log$=nucltop&blast_rank=81&RID=KSXUHUZ701R"",""OV196890.1"")"
"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1",Severe acute respiratory syndrome coronavirus 2,71.6,71.6,18%,"0,00000006",87.72,29996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV015804.1?report=genbank&log$=nucltop&blast_rank=82&RID=KSXUHUZ701R"",""OV015804.1"")"
"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1",Severe acute respiratory syndrome coronavirus 2,73.4,73.4,17%,"0,00000002",92.59,30102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV197136.1?report=genbank&log$=nucltop&blast_rank=51&RID=KSXUHUZ701R"",""OV197136.1"")"
"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1",Severe acute respiratory syndrome coronavirus 2,73.4,144,17%,"0,00000002",90.74,30095,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV196626.1?report=genbank&log$=nucltop&blast_rank=52&RID=KSXUHUZ701R"",""OV196626.1"")"
"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1",Severe acute respiratory syndrome coronavirus 2,73.4,73.4,17%,"0,00000002",90.74,30094,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV196488.1?report=genbank&log$=nucltop&blast_rank=53&RID=KSXUHUZ701R"",""OV196488.1"")"
"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1",Severe acute respiratory syndrome coronavirus 2,73.4,73.4,17%,"0,00000002",90.74,30053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV196467.1?report=genbank&log$=nucltop&blast_rank=54&RID=KSXUHUZ701R"",""OV196467.1"")"
