Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
polyprotein [Turnip ringspot virus],Turnip ringspot virus,180,180,100%,3E-50,100.00,1860,Erro:501
polyprotein [Turnip ringspot virus],Turnip ringspot virus,178,178,100%,2E-49,97.67,1860,Erro:501
polyprotein [Turnip ringspot virus],Turnip ringspot virus,177,177,100%,3E-49,98.84,1860,Erro:501
polyprotein [Turnip ringspot virus],Turnip ringspot virus,173,173,100%,1E-47,94.19,1860,Erro:501
polyprotein [Turnip ringspot virus],Turnip ringspot virus,168,168,100%,5E-46,93.02,1860,Erro:501
polyprotein [Radish mosaic virus],Radish mosaic virus,166,166,100%,3E-45,88.37,1853,Erro:501
RNA1-polyprotein [Radish mosaic virus],Radish mosaic virus,165,165,100%,5E-45,87.21,1853,Erro:501
polyprotein [Radish mosaic virus],Radish mosaic virus,165,165,100%,5E-45,87.21,1853,Erro:501
polyprotein [Radish mosaic virus],Radish mosaic virus,165,165,100%,5E-45,87.21,1853,Erro:501
polyprotein [Radish mosaic virus],Radish mosaic virus,165,165,100%,5E-45,87.21,1853,Erro:501
polyprotein [Radish mosaic virus],Radish mosaic virus,165,165,100%,6E-45,87.21,1853,Erro:501
polyprotein [Turnip ringspot virus],Turnip ringspot virus,165,165,100%,8E-45,88.37,1857,Erro:501
polyprotein [Radish mosaic virus],Radish mosaic virus,164,164,100%,1E-44,86.05,1853,Erro:501
RNA dependent RNA polymerase [Arabidopsis latent virus-1],Arabidopsis latent virus-1,129,129,100%,3E-32,62.79,1850,Erro:501
polyprotein [Zymoseptoria comovirus A],Zymoseptoria comovirus A,129,129,100%,3E-32,62.79,1850,Erro:501
helicase [Broad bean true mosaic virus],Broad bean true mosaic virus,110,110,98%,8E-26,52.94,597,Erro:501
NTP-binding domain [Red clover mottle virus],Red clover mottle virus,110,110,100%,1E-25,54.65,600,Erro:501
polyprotein [Broad bean true mosaic virus],Broad bean true mosaic virus,110,110,98%,1E-25,52.94,1863,Erro:501
putative polyprotein 1 [Red clover mottle virus],Red clover mottle virus,109,109,100%,2E-25,54.65,1719,Erro:501
polyprotein [Red clover mottle virus],Red clover mottle virus,109,109,100%,2E-25,54.65,1864,Erro:501
membrane-binding protein [Cowpea mosaic virus],Cowpea mosaic virus,107,107,97%,1E-24,52.38,593,Erro:501
polyprotein [Cowpea mosaic virus],Cowpea mosaic virus,107,107,97%,2E-24,52.38,1866,Erro:501
polyprotein [Cowpea mosaic virus],Cowpea mosaic virus,107,107,97%,2E-24,52.38,1866,Erro:501
polyprotein [Cowpea mosaic virus],Cowpea mosaic virus,107,107,97%,2E-24,52.38,1866,Erro:501
polyprotein 1 [Cowpea mosaic virus],Cowpea mosaic virus,107,107,97%,2E-24,52.38,1866,Erro:501
polyprotein [Bean pod mottle virus],Bean pod mottle virus,104,104,98%,1E-23,51.76,1851,Erro:501
polyprotein [Bean pod mottle virus],Bean pod mottle virus,104,104,98%,1E-23,51.76,1851,Erro:501
polyprotein 1 [Bean pod mottle virus],Bean pod mottle virus,104,104,98%,1E-23,51.76,1851,Erro:501
polyprotein [Bean pod mottle virus],Bean pod mottle virus,104,104,98%,1E-23,51.76,1851,Erro:501
polyprotein 1 [Bean pod mottle virus],Bean pod mottle virus,104,104,98%,1E-23,51.76,1851,Erro:501
polyprotein 1 [Bean pod mottle virus],Bean pod mottle virus,103,103,98%,1E-23,50.59,483,Erro:501
polyprotein 1 [Bean pod mottle virus],Bean pod mottle virus,103,103,98%,1E-23,50.59,483,Erro:501
polyprotein 1 [Bean pod mottle virus],Bean pod mottle virus,103,103,98%,1E-23,50.59,483,Erro:501
polyprotein 1 [Bean pod mottle virus],Bean pod mottle virus,103,103,98%,1E-23,50.59,483,Erro:501
polyprotein 1 [Bean pod mottle virus],Bean pod mottle virus,103,103,98%,1E-23,50.59,483,Erro:501
polyprotein [Bean pod mottle virus],Bean pod mottle virus,104,104,98%,2E-23,50.59,1851,Erro:501
polyprotein [Bean pod mottle virus],Bean pod mottle virus,104,104,98%,2E-23,50.59,1851,Erro:501
polyprotein 1 [Bean pod mottle virus],Bean pod mottle virus,104,104,98%,2E-23,50.59,1851,Erro:501
polyprotein 1 [Bean pod mottle virus],Bean pod mottle virus,104,104,98%,2E-23,50.59,1851,Erro:501
polyprotein 1 [Bean pod mottle virus],Bean pod mottle virus,104,104,98%,2E-23,50.59,1851,Erro:501
polyprotein 1 [Bean pod mottle virus],Bean pod mottle virus,103,103,98%,2E-23,50.59,1851,Erro:501
polyprotein 1 [Bean pod mottle virus],Bean pod mottle virus,103,103,98%,3E-23,50.59,1851,Erro:501
polyprotein 1 [Bean pod mottle virus],Bean pod mottle virus,103,103,98%,3E-23,50.59,1851,Erro:501
putative helicase [Bean pod mottle virus],Bean pod mottle virus,103,103,98%,4E-23,50.59,598,Erro:501
polyprotein [Bean pod mottle virus],Bean pod mottle virus,102,102,98%,5E-23,50.59,1850,Erro:501
polyprotein [Bean rugose mosaic virus],Bean rugose mosaic virus,101,101,100%,2E-22,52.33,1856,Erro:501
polyprotein [Bean rugose mosaic virus],Bean rugose mosaic virus,100,100,100%,2E-22,52.33,1856,Erro:501
polyprotein [Comovirus sp.],Comovirus sp.,99.8,99.8,98%,6E-22,48.24,1858,Erro:501
polyprotein [Phaseolus vulgaris severe mosaic virus],Phaseolus vulgaris severe mosaic virus,99.0,99.0,98%,1E-21,51.76,1856,Erro:501
polyprotein [Comovirus sp.],Comovirus sp.,98.2,98.2,98%,2E-21,47.06,1858,Erro:501
membrane-binding protein [Cowpea severe mosaic virus],Cowpea severe mosaic virus,97.8,97.8,98%,3E-21,47.06,595,Erro:501
polyprotein 1 [Squash mosaic virus],Squash mosaic virus,97.4,97.4,98%,4E-21,49.41,1858,Erro:501
