Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Black queen cell virus strain NOR/T2-2017 helicase gene, partial cds",Black queen cell virus,555,555,100%,2e-153,97.27,539,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG912622.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8PN190D013"",""MG912622.1"")"
"Black queen cell virus strain NOR/E3-2017 helicase gene, partial cds",Black queen cell virus,553,553,100%,8e-153,96.97,499,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG912618.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8PN190D013"",""MG912618.1"")"
"Black queen cell virus isolate BQCV_MS, complete genome",Black queen cell virus,551,551,100%,3e-152,96.97,8454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH267694.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8PN190D013"",""MH267694.1"")"
"Black queen cell virus isolate BQCV_MR, complete genome",Black queen cell virus,551,551,100%,3e-152,96.97,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH267693.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8PN190D013"",""MH267693.1"")"
"Black queen cell virus isolate BQCV-MS-SEP15, complete genome",Black queen cell virus,551,551,100%,3e-152,96.97,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636345.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8PN190D013"",""MT636345.1"")"
"Black queen cell virus isolate BQCV-MS-JUN15, complete genome",Black queen cell virus,551,551,100%,3e-152,96.97,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636343.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8PN190D013"",""MT636343.1"")"
"Black queen cell virus isolate BQCV-MS-APR15, complete genome",Black queen cell virus,551,551,100%,3e-152,96.97,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636342.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8PN190D013"",""MT636342.1"")"
"Black queen cell virus isolate BQCV-MR-OCT15, complete genome",Black queen cell virus,551,551,100%,3e-152,96.97,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636341.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8PN190D013"",""MT636341.1"")"
"Black queen cell virus isolate BQCV-MR-SEP15, complete genome",Black queen cell virus,551,551,100%,3e-152,96.97,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636340.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8PN190D013"",""MT636340.1"")"
"Black queen cell virus isolate BQCV-MR-AUG15, complete genome",Black queen cell virus,551,551,100%,3e-152,96.97,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636339.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8PN190D013"",""MT636339.1"")"
"Black queen cell virus isolate BQCV-MR-JUN15, complete genome",Black queen cell virus,551,551,100%,3e-152,96.97,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636338.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8PN190D013"",""MT636338.1"")"
"Black queen cell virus isolate BQCV-MR-APR15, complete genome",Black queen cell virus,551,551,100%,3e-152,96.97,8432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT636337.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8PN190D013"",""MT636337.1"")"
"Black queen cell virus strain NOR/T7-2017 helicase gene, partial cds",Black queen cell virus,546,546,100%,1e-150,96.67,537,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG912624.1?report=genbank&log$=nucltop&blast_rank=13&RID=M8PN190D013"",""MG912624.1"")"
"Black queen cell virus strain NOR/H6-2017 helicase gene, partial cds",Black queen cell virus,546,546,100%,1e-150,96.67,539,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG912621.1?report=genbank&log$=nucltop&blast_rank=14&RID=M8PN190D013"",""MG912621.1"")"
