Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3234,3234,48%,0.0,98.46,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23644.1?report=genbank&log$=prottop&blast_rank=1&RID=MB1796PH013"",""UGV23644.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3232,3232,48%,0.0,98.34,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23652.1?report=genbank&log$=prottop&blast_rank=2&RID=MB1796PH013"",""UGV23652.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3232,3232,48%,0.0,98.40,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65059.1?report=genbank&log$=prottop&blast_rank=3&RID=MB1796PH013"",""AYP65059.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3231,3231,48%,0.0,98.46,1631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65061.1?report=genbank&log$=prottop&blast_rank=4&RID=MB1796PH013"",""AYP65061.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3229,3229,48%,0.0,98.34,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23640.1?report=genbank&log$=prottop&blast_rank=5&RID=MB1796PH013"",""UGV23640.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3227,3227,48%,0.0,98.10,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23646.1?report=genbank&log$=prottop&blast_rank=6&RID=MB1796PH013"",""UGV23646.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3226,3226,48%,0.0,98.22,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23648.1?report=genbank&log$=prottop&blast_rank=7&RID=MB1796PH013"",""UGV23648.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3226,3226,48%,0.0,98.16,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23636.1?report=genbank&log$=prottop&blast_rank=8&RID=MB1796PH013"",""UGV23636.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3226,3226,48%,0.0,98.10,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23642.1?report=genbank&log$=prottop&blast_rank=9&RID=MB1796PH013"",""UGV23642.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3226,3226,48%,0.0,98.16,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23638.1?report=genbank&log$=prottop&blast_rank=10&RID=MB1796PH013"",""UGV23638.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3226,3226,48%,0.0,98.16,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23654.1?report=genbank&log$=prottop&blast_rank=11&RID=MB1796PH013"",""UGV23654.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3224,3224,48%,0.0,97.91,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIN93571.1?report=genbank&log$=prottop&blast_rank=12&RID=MB1796PH013"",""QIN93571.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3221,3221,48%,0.0,97.79,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKW94190.1?report=genbank&log$=prottop&blast_rank=13&RID=MB1796PH013"",""QKW94190.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3219,3219,48%,0.0,97.79,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QZR93827.1?report=genbank&log$=prottop&blast_rank=14&RID=MB1796PH013"",""QZR93827.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3216,3216,48%,0.0,97.73,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKW94192.1?report=genbank&log$=prottop&blast_rank=15&RID=MB1796PH013"",""QKW94192.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3215,3215,48%,0.0,98.10,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23650.1?report=genbank&log$=prottop&blast_rank=16&RID=MB1796PH013"",""UGV23650.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,3206,3206,48%,0.0,97.11,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QGL51694.1?report=genbank&log$=prottop&blast_rank=17&RID=MB1796PH013"",""QGL51694.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,3205,3205,48%,0.0,97.30,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABS82427.1?report=genbank&log$=prottop&blast_rank=18&RID=MB1796PH013"",""ABS82427.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,3195,3195,48%,0.0,96.99,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJS39822.1?report=genbank&log$=prottop&blast_rank=19&RID=MB1796PH013"",""QJS39822.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,3192,3192,48%,0.0,96.93,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULY68643.1?report=genbank&log$=prottop&blast_rank=20&RID=MB1796PH013"",""ULY68643.1"")"
replicase polyprotein [Black queen cell virus],Black queen cell virus,3188,3188,48%,0.0,96.74,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCR92693.1?report=genbank&log$=prottop&blast_rank=21&RID=MB1796PH013"",""UCR92693.1"")"
