Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Frieseomelitta varia xenotropic and polytropic retrovirus receptor 1-like (LOC122530194), transcript variant X1, mRNA",Frieseomelitta varia,4044,4044,100%,0.0,100.00,3013,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043656943.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8KFT9JH01R"",""XM_043656943.1"")"
"PREDICTED: Frieseomelitta varia xenotropic and polytropic retrovirus receptor 1-like (LOC122530194), transcript variant X3, mRNA",Frieseomelitta varia,3753,4003,97%,0.0,99.11,2703,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043656945.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8KFT9JH01R"",""XM_043656945.1"")"
"PREDICTED: Frieseomelitta varia xenotropic and polytropic retrovirus receptor 1-like (LOC122530194), transcript variant X5, mRNA",Frieseomelitta varia,3736,3736,94%,0.0,98.78,2498,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043656947.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8KFT9JH01R"",""XM_043656947.1"")"
"PREDICTED: Frieseomelitta varia xenotropic and polytropic retrovirus receptor 1-like (LOC122530194), transcript variant X2, mRNA",Frieseomelitta varia,3537,4056,100%,0.0,100.00,3183,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043656944.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8KFT9JH01R"",""XM_043656944.1"")"
"PREDICTED: Bombus impatiens xenotropic and polytropic retrovirus receptor 1 (LOC100745289), transcript variant X2, mRNA",Bombus impatiens,2839,2839,87%,0.0,92.14,2600,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003488408.4?report=genbank&log$=nucltop&blast_rank=5&RID=M8KFT9JH01R"",""XM_003488408.4"")"
"PREDICTED: Bombus impatiens xenotropic and polytropic retrovirus receptor 1 (LOC100745289), transcript variant X1, mRNA",Bombus impatiens,2839,2839,87%,0.0,92.14,2126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033320065.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8KFT9JH01R"",""XM_033320065.1"")"
"PREDICTED: Bombus affinis xenotropic and polytropic retrovirus receptor 1-like (LOC126918739), mRNA",Bombus affinis,2822,2822,87%,0.0,91.90,2474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050727078.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8KFT9JH01R"",""XM_050727078.1"")"
"PREDICTED: Bombus huntii xenotropic and polytropic retrovirus receptor 1-like (LOC126863831), transcript variant X1, mRNA",Bombus huntii,2817,2817,87%,0.0,91.88,2471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050614465.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8KFT9JH01R"",""XM_050614465.1"")"
"PREDICTED: Bombus vosnesenskii xenotropic and polytropic retrovirus receptor 1-like (LOC117242060), mRNA",Bombus vosnesenskii,2814,2814,87%,0.0,91.92,2418,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033508413.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8KFT9JH01R"",""XM_033508413.1"")"
"PREDICTED: Bombus terrestris xenotropic and polytropic retrovirus receptor 1 (LOC100645562), transcript variant X1, mRNA",Bombus terrestris,2813,2813,87%,0.0,91.79,2475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003396519.4?report=genbank&log$=nucltop&blast_rank=10&RID=M8KFT9JH01R"",""XM_003396519.4"")"
"PREDICTED: Bombus bifarius xenotropic and polytropic retrovirus receptor 1-like (LOC117210162), mRNA",Bombus bifarius,2810,2810,87%,0.0,91.87,2421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033452906.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8KFT9JH01R"",""XM_033452906.1"")"
"PREDICTED: Bombus vancouverensis nearcticus xenotropic and polytropic retrovirus receptor 1-like (LOC117159422), mRNA",Bombus vancouverensis nearcticus,2810,2810,87%,0.0,91.87,2421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033339249.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8KFT9JH01R"",""XM_033339249.1"")"
"PREDICTED: Bombus pyrosoma xenotropic and polytropic retrovirus receptor 1-like (LOC122569620), transcript variant X1, mRNA",Bombus pyrosoma,2800,2800,87%,0.0,91.64,2605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043730925.1?report=genbank&log$=nucltop&blast_rank=13&RID=M8KFT9JH01R"",""XM_043730925.1"")"
"PREDICTED: Apis mellifera xenotropic and polytropic retrovirus receptor 1-like (LOC411811), transcript variant X1, mRNA",Apis mellifera,2773,2773,87%,0.0,91.46,2109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_016917520.2?report=genbank&log$=nucltop&blast_rank=14&RID=M8KFT9JH01R"",""XM_016917520.2"")"
"PREDICTED: Apis florea xenotropic and polytropic retrovirus receptor 1 (LOC100866036), mRNA",Apis florea,2734,2734,87%,0.0,91.00,2193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003693701.3?report=genbank&log$=nucltop&blast_rank=15&RID=M8KFT9JH01R"",""XM_003693701.3"")"
"PREDICTED: Apis cerana xenotropic and polytropic retrovirus receptor 1 (LOC108001248), transcript variant X1, mRNA",Apis cerana,2728,2728,87%,0.0,90.95,2082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017062170.2?report=genbank&log$=nucltop&blast_rank=16&RID=M8KFT9JH01R"",""XM_017062170.2"")"
"PREDICTED: Apis dorsata xenotropic and polytropic retrovirus receptor 1-like (LOC102671462), transcript variant X1, mRNA",Apis dorsata,2718,2718,86%,0.0,90.96,2110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006624243.2?report=genbank&log$=nucltop&blast_rank=17&RID=M8KFT9JH01R"",""XM_006624243.2"")"
"PREDICTED: Bombus pyrosoma xenotropic and polytropic retrovirus receptor 1-like (LOC122569620), transcript variant X4, mRNA",Bombus pyrosoma,2718,2718,84%,0.0,91.43,1964,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043730927.1?report=genbank&log$=nucltop&blast_rank=18&RID=M8KFT9JH01R"",""XM_043730927.1"")"
"PREDICTED: Apis laboriosa xenotropic and polytropic retrovirus receptor 1-like (LOC122719563), transcript variant X1, mRNA",Apis laboriosa,2714,2714,87%,0.0,90.76,2583,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043945495.1?report=genbank&log$=nucltop&blast_rank=19&RID=M8KFT9JH01R"",""XM_043945495.1"")"
"PREDICTED: Bombus pyrosoma xenotropic and polytropic retrovirus receptor 1-like (LOC122569620), transcript variant X5, misc_RNA",Bombus pyrosoma,2704,2704,84%,0.0,91.01,1974,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_006317525.1?report=genbank&log$=nucltop&blast_rank=20&RID=M8KFT9JH01R"",""XR_006317525.1"")"
"PREDICTED: Eufriesea mexicana xenotropic and polytropic retrovirus receptor 1-like (LOC108547267), mRNA",Eufriesea mexicana,2672,2672,87%,0.0,90.25,2443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017899704.1?report=genbank&log$=nucltop&blast_rank=21&RID=M8KFT9JH01R"",""XM_017899704.1"")"
"PREDICTED: Bombus huntii xenotropic and polytropic retrovirus receptor 1-like (LOC126863831), transcript variant X3, misc_RNA",Bombus huntii,2621,2827,85%,0.0,91.36,2167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007688997.1?report=genbank&log$=nucltop&blast_rank=22&RID=M8KFT9JH01R"",""XR_007688997.1"")"
"PREDICTED: Bombus impatiens xenotropic and polytropic retrovirus receptor 1 (LOC100745289), transcript variant X3, misc_RNA",Bombus impatiens,2593,2871,84%,0.0,92.58,2736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_002946440.2?report=genbank&log$=nucltop&blast_rank=23&RID=M8KFT9JH01R"",""XR_002946440.2"")"
"PREDICTED: Habropoda laboriosa xenotropic and polytropic retrovirus receptor 1-like (LOC108575829), transcript variant X2, mRNA",Habropoda laboriosa,2573,2573,87%,0.0,89.13,2069,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017938735.1?report=genbank&log$=nucltop&blast_rank=24&RID=M8KFT9JH01R"",""XM_017938735.1"")"
"PREDICTED: Habropoda laboriosa xenotropic and polytropic retrovirus receptor 1-like (LOC108575829), transcript variant X1, mRNA",Habropoda laboriosa,2573,2573,87%,0.0,89.13,2077,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017938734.1?report=genbank&log$=nucltop&blast_rank=25&RID=M8KFT9JH01R"",""XM_017938734.1"")"
"PREDICTED: Bombus huntii xenotropic and polytropic retrovirus receptor 1-like (LOC126863831), transcript variant X2, misc_RNA",Bombus huntii,2571,2853,85%,0.0,92.29,2612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007688993.1?report=genbank&log$=nucltop&blast_rank=26&RID=M8KFT9JH01R"",""XR_007688993.1"")"
"PREDICTED: Apis mellifera xenotropic and polytropic retrovirus receptor 1-like (LOC411811), transcript variant X2, misc_RNA",Apis mellifera,2564,2740,84%,0.0,90.75,2116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_003305639.1?report=genbank&log$=nucltop&blast_rank=27&RID=M8KFT9JH01R"",""XR_003305639.1"")"
"PREDICTED: Apis cerana xenotropic and polytropic retrovirus receptor 1 (LOC108001248), transcript variant X3, mRNA",Apis cerana,2562,2742,85%,0.0,90.75,2347,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_028668392.1?report=genbank&log$=nucltop&blast_rank=28&RID=M8KFT9JH01R"",""XM_028668392.1"")"
"PREDICTED: Apis cerana xenotropic and polytropic retrovirus receptor 1 (LOC108001248), transcript variant X2, mRNA",Apis cerana,2562,2562,82%,0.0,90.75,2504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_028668391.1?report=genbank&log$=nucltop&blast_rank=29&RID=M8KFT9JH01R"",""XM_028668391.1"")"
"PREDICTED: Apis laboriosa xenotropic and polytropic retrovirus receptor 1-like (LOC122719563), transcript variant X2, mRNA",Apis laboriosa,2557,2557,81%,0.0,91.16,1939,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043945496.1?report=genbank&log$=nucltop&blast_rank=30&RID=M8KFT9JH01R"",""XM_043945496.1"")"
"PREDICTED: Bombus terrestris xenotropic and polytropic retrovirus receptor 1 (LOC100645562), transcript variant X2, misc_RNA",Bombus terrestris,2553,2857,85%,0.0,92.02,2626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007224757.1?report=genbank&log$=nucltop&blast_rank=31&RID=M8KFT9JH01R"",""XR_007224757.1"")"
"PREDICTED: Apis cerana xenotropic and polytropic retrovirus receptor 1 (LOC108001248), transcript variant X7, mRNA",Apis cerana,2545,2545,82%,0.0,90.40,2132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017062177.2?report=genbank&log$=nucltop&blast_rank=32&RID=M8KFT9JH01R"",""XM_017062177.2"")"
