Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
non-structural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,5e-34,100.00,662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABS82407.1?report=genbank&log$=prottop&blast_rank=1&RID=MB2YHUP701N"",""ABS82407.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,134,134,98%,7e-34,100.00,1629,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AFP97031.1?report=genbank&log$=prottop&blast_rank=2&RID=MB2YHUP701N"",""AFP97031.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,7e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKW94190.1?report=genbank&log$=prottop&blast_rank=3&RID=MB2YHUP701N"",""QKW94190.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,7e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QGL51694.1?report=genbank&log$=prottop&blast_rank=4&RID=MB2YHUP701N"",""QGL51694.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,7e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJS39822.1?report=genbank&log$=prottop&blast_rank=5&RID=MB2YHUP701N"",""QJS39822.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,7e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKW94192.1?report=genbank&log$=prottop&blast_rank=6&RID=MB2YHUP701N"",""QKW94192.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,7e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIN93571.1?report=genbank&log$=prottop&blast_rank=7&RID=MB2YHUP701N"",""QIN93571.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,7e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABS82435.1?report=genbank&log$=prottop&blast_rank=8&RID=MB2YHUP701N"",""ABS82435.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,8e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULY68643.1?report=genbank&log$=prottop&blast_rank=9&RID=MB2YHUP701N"",""ULY68643.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,8e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23650.1?report=genbank&log$=prottop&blast_rank=10&RID=MB2YHUP701N"",""UGV23650.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,8e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABS82427.1?report=genbank&log$=prottop&blast_rank=11&RID=MB2YHUP701N"",""ABS82427.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,8e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QZR93827.1?report=genbank&log$=prottop&blast_rank=12&RID=MB2YHUP701N"",""QZR93827.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,8e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23638.1?report=genbank&log$=prottop&blast_rank=13&RID=MB2YHUP701N"",""UGV23638.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,8e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23652.1?report=genbank&log$=prottop&blast_rank=14&RID=MB2YHUP701N"",""UGV23652.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,8e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65059.1?report=genbank&log$=prottop&blast_rank=15&RID=MB2YHUP701N"",""AYP65059.1"")"
non-structural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,8e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABS82439.1?report=genbank&log$=prottop&blast_rank=16&RID=MB2YHUP701N"",""ABS82439.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,8e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23644.1?report=genbank&log$=prottop&blast_rank=17&RID=MB2YHUP701N"",""UGV23644.1"")"
nonstructural polyprotein [Black queen cell virus],Black queen cell virus,133,133,98%,8e-34,100.00,1628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGV23640.1?report=genbank&log$=prottop&blast_rank=18&RID=MB2YHUP701N"",""UGV23640.1"")"
