Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ORF 4 [Malva mosaic virus],Malva mosaic virus,47.8,47.8,41%,9e-05,70.00,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_667847.1?report=genbank&log$=prottop&blast_rank=1&RID=KR9MYVX8013"",""YP_667847.1"")"
8 kDa protein [Potato aucuba mosaic virus],Potato aucuba mosaic virus,43.1,43.1,45%,0.004,54.55,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/APL96680.1?report=genbank&log$=prottop&blast_rank=2&RID=KR9MYVX8013"",""APL96680.1"")"
TGB3 [Potato aucuba mosaic virus],Potato aucuba mosaic virus,43.1,43.1,45%,0.004,54.55,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKE61419.1?report=genbank&log$=prottop&blast_rank=3&RID=KR9MYVX8013"",""QKE61419.1"")"
8 kDa polyprotein [Potato aucuba mosaic virus],Potato aucuba mosaic virus,43.1,43.1,45%,0.004,54.55,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ATG34120.1?report=genbank&log$=prottop&blast_rank=4&RID=KR9MYVX8013"",""ATG34120.1"")"
8 kDa polyprotein [Potato aucuba mosaic virus],Potato aucuba mosaic virus,43.1,43.1,45%,0.004,54.55,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ATG34114.1?report=genbank&log$=prottop&blast_rank=5&RID=KR9MYVX8013"",""ATG34114.1"")"
8 kDa protein [Potato aucuba mosaic virus],Potato aucuba mosaic virus,43.1,43.1,45%,0.004,54.55,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYA73312.1?report=genbank&log$=prottop&blast_rank=6&RID=KR9MYVX8013"",""AYA73312.1"")"
8 kDa polyprotein [Potato aucuba mosaic virus],Potato aucuba mosaic virus,43.1,43.1,45%,0.005,54.55,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ATG34126.1?report=genbank&log$=prottop&blast_rank=7&RID=KR9MYVX8013"",""ATG34126.1"")"
TGB3 [Potato aucuba mosaic virus],Potato aucuba mosaic virus,41.2,41.2,45%,0.023,51.52,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKE61414.1?report=genbank&log$=prottop&blast_rank=8&RID=KR9MYVX8013"",""QKE61414.1"")"
8 kDa protein [Potato aucuba mosaic virus],Potato aucuba mosaic virus,40.8,40.8,45%,0.030,51.52,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYA73324.1?report=genbank&log$=prottop&blast_rank=9&RID=KR9MYVX8013"",""AYA73324.1"")"



		


