Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Arabis mosaic virus genomic RNA, segment RNA2, complete sequence, isolated from lily",Arabis mosaic virus,643,643,100%,8e-180,90.97,3707,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB279741.2?report=genbank&log$=nucltop&blast_rank=1&RID=M8ATS90R013"",""AB279741.2"")"
"Arabis mosaic virus isolate Tul-3566-4 coat protein gene, partial cds",Arabis mosaic virus,624,624,93%,8e-174,91.92,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ481202.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8ATS90R013"",""KJ481202.1"")"
"Arabis mosaic virus isolate Lil-314 coat protein gene, partial cds",Arabis mosaic virus,619,619,93%,1e-172,91.69,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ481185.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8ATS90R013"",""KJ481185.1"")"
"Arabis mosaic virus isolate Lil-47-2-1 coat protein gene, partial cds",Arabis mosaic virus,615,615,93%,4e-171,91.45,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ481182.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8ATS90R013"",""KJ481182.1"")"
"Arabis mosaic virus coat protein gene, partial cds",Arabis mosaic virus,609,609,99%,2e-169,89.44,1794,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT923130.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8ATS90R013"",""KT923130.1"")"
"Arabis mosaic virus isolate Nar-6 coat protein gene, partial cds",Arabis mosaic virus,606,606,93%,2e-168,90.99,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ481190.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8ATS90R013"",""KJ481190.1"")"
"Arabis mosaic virus isolate Lil-7620-15-1 coat protein gene, partial cds",Arabis mosaic virus,606,606,93%,2e-168,90.99,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ481186.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8ATS90R013"",""KJ481186.1"")"
"Arabis mosaic virus genomic RNA, segment RNA2, complete sequence, ioslated from narcissus",Arabis mosaic virus,602,602,95%,3e-167,90.29,3709,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB279740.2?report=genbank&log$=nucltop&blast_rank=8&RID=M8ATS90R013"",""AB279740.2"")"
"Arabis mosaic virus isolate Lil-47-4-2 coat protein gene, partial cds",Arabis mosaic virus,601,601,93%,3e-167,90.76,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ481184.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8ATS90R013"",""KJ481184.1"")"
"Arabis mosaic virus isolate Tul-3566-2 coat protein gene, partial cds",Arabis mosaic virus,592,592,93%,1e-164,90.30,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ481201.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8ATS90R013"",""KJ481201.1"")"
"Arabis mosaic virus isolate Lil-47-3-4 coat protein gene, partial cds",Arabis mosaic virus,592,592,93%,1e-164,90.30,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ481183.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8ATS90R013"",""KJ481183.1"")"
"Arabis mosaic virus isolate ArMV-MD segment RNA 2 polyprotein P2 gene, partial cds",Arabis mosaic virus,583,583,99%,7e-162,87.90,1697,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU433920.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8ATS90R013"",""EU433920.1"")"
"Arabis mosaic virus isolate 06-6065-2 polyprotein gene, partial cds",Arabis mosaic virus,558,558,100%,3e-154,86.64,1645,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN227140.1?report=genbank&log$=nucltop&blast_rank=13&RID=M8ATS90R013"",""MN227140.1"")"
"Arabis mosaic virus isolate DSMZ PV-0045 segment RNA 2, partial sequence",Arabis mosaic virus,556,556,99%,1e-153,86.61,3826,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW854261.1?report=genbank&log$=nucltop&blast_rank=14&RID=M8ATS90R013"",""MW854261.1"")"
"Arabis mosaic virus polyprotein P2 gene, complete cds",Arabis mosaic virus,552,552,99%,4e-152,86.39,2186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH614321.1?report=genbank&log$=nucltop&blast_rank=15&RID=M8ATS90R013"",""MH614321.1"")"
Arabis mosaic virus RNA for polyprotein P2-U,Arabis mosaic virus,552,552,99%,4e-152,86.39,3852,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/X81814.1?report=genbank&log$=nucltop&blast_rank=16&RID=M8ATS90R013"",""X81814.1"")"
Arabis mosaic virus RNA for polyprotein P2-L,Arabis mosaic virus,552,552,99%,4e-152,86.39,3711,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/X81815.1?report=genbank&log$=nucltop&blast_rank=17&RID=M8ATS90R013"",""X81815.1"")"
"Arabis mosaic virus isolate ba segment RNA2-V, complete sequence",Arabis mosaic virus,549,549,99%,1e-151,86.45,3812,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ369530.1?report=genbank&log$=nucltop&blast_rank=18&RID=M8ATS90R013"",""GQ369530.1"")"
"TPA: Arabis mosaic virus isolate SRR1619673-1_ArMV segment RNA2, complete sequence",Arabis mosaic virus,547,547,99%,5e-151,86.18,3593,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/BK059329.1?report=genbank&log$=nucltop&blast_rank=19&RID=M8ATS90R013"",""BK059329.1"")"
"Arabis mosaic virus isolate Lil-7621-25-1 coat protein gene, partial cds",Arabis mosaic virus,547,547,93%,5e-151,87.99,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ481187.1?report=genbank&log$=nucltop&blast_rank=20&RID=M8ATS90R013"",""KJ481187.1"")"
"Arabis mosaic virus isolate R3_3 coat protein (CP) gene, partial cds",Arabis mosaic virus,545,545,93%,2e-150,87.96,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH316587.2?report=genbank&log$=nucltop&blast_rank=21&RID=M8ATS90R013"",""MH316587.2"")"
"Arabis mosaic virus isolate R1_7 coat protein (CP) gene, partial cds",Arabis mosaic virus,545,545,93%,2e-150,87.96,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH316575.2?report=genbank&log$=nucltop&blast_rank=22&RID=M8ATS90R013"",""MH316575.2"")"
"Arabis mosaic virus isolate R1_5 coat protein (CP) gene, partial cds",Arabis mosaic virus,545,545,93%,2e-150,87.96,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH316573.2?report=genbank&log$=nucltop&blast_rank=23&RID=M8ATS90R013"",""MH316573.2"")"
"Arabis mosaic virus isolate R1_4 coat protein (CP) gene, partial cds",Arabis mosaic virus,545,545,93%,2e-150,87.96,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH316572.2?report=genbank&log$=nucltop&blast_rank=24&RID=M8ATS90R013"",""MH316572.2"")"
"Arabis mosaic virus isolate R3 coat protein (CP) gene, partial cds",Arabis mosaic virus,545,545,93%,2e-150,87.96,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG882691.2?report=genbank&log$=nucltop&blast_rank=25&RID=M8ATS90R013"",""MG882691.2"")"
"Arabis mosaic virus isolate ba segment RNA2-IV, complete sequence",Arabis mosaic virus,545,545,99%,6e-150,86.24,3811,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ369529.1?report=genbank&log$=nucltop&blast_rank=26&RID=M8ATS90R013"",""GQ369529.1"")"
"Arabis mosaic virus isolate R3_2 coat protein (CP) gene, partial cds",Arabis mosaic virus,541,541,93%,7e-149,87.73,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH316586.2?report=genbank&log$=nucltop&blast_rank=27&RID=M8ATS90R013"",""MH316586.2"")"
"Arabis mosaic virus isolate R3_1 coat protein (CP) gene, partial cds",Arabis mosaic virus,541,541,93%,7e-149,87.73,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH316585.2?report=genbank&log$=nucltop&blast_rank=28&RID=M8ATS90R013"",""MH316585.2"")"
"Arabis mosaic virus isolate R1_1 coat protein (CP) gene, partial cds",Arabis mosaic virus,541,541,93%,7e-149,87.73,1515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH316571.2?report=genbank&log$=nucltop&blast_rank=29&RID=M8ATS90R013"",""MH316571.2"")"
"TPA: Arabis mosaic virus isolate SRR6041662-2_ArMV segment RNA2, complete sequence",Arabis mosaic virus,538,538,99%,3e-148,85.75,3763,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/BK059337.1?report=genbank&log$=nucltop&blast_rank=30&RID=M8ATS90R013"",""BK059337.1"")"
"TPA: Arabis mosaic virus isolate SRR6041662-1_ArMV segment RNA2, complete sequence",Arabis mosaic virus,538,538,99%,3e-148,85.75,3763,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/BK059336.1?report=genbank&log$=nucltop&blast_rank=31&RID=M8ATS90R013"",""BK059336.1"")"
"TPA: Arabis mosaic virus isolate SRR5788585-2_ArMV segment RNA2, complete sequence",Arabis mosaic virus,538,538,99%,3e-148,85.75,3769,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/BK059335.1?report=genbank&log$=nucltop&blast_rank=32&RID=M8ATS90R013"",""BK059335.1"")"
