Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Turnip ringspot virus isolate DSMZ PV-0355 segment RNA 1, partial sequence",Turnip ringspot virus,565,565,100%,1e-156,97.04,6082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW274715.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8BBD53C016"",""MW274715.1"")"
"Turnip ringspot virus isolate Toledo segment RNA 1, complete sequence",Turnip ringspot virus,529,529,100%,9e-146,94.67,6082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ712026.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8BBD53C016"",""FJ712026.1"")"
"Turnip ringspot virus isolate CV-3 segment RNA1, complete sequence",Turnip ringspot virus,380,380,100%,1e-100,84.91,6076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU968732.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8BBD53C016"",""GU968732.1"")"
"Turnip ringspot virus isolate M12 segment RNA1, complete sequence",Turnip ringspot virus,376,376,100%,1e-99,84.62,6078,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ516745.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8BBD53C016"",""FJ516745.1"")"
"Turnip ringspot virus isolate B segment RNA1, complete sequence",Turnip ringspot virus,329,329,98%,2e-85,81.93,6084,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ222381.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8BBD53C016"",""GQ222381.1"")"
"Turnip ringspot virus isolate TR59 segment RNA1, complete sequence",Turnip ringspot virus,326,326,100%,2e-84,81.36,6027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW720558.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8BBD53C016"",""MW720558.1"")"
"Turnip ringspot virus isolate 4782TC2 polyprotein gene, partial cds",Turnip ringspot virus,205,205,37%,5e-48,96.03,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX045855.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8BBD53C016"",""JX045855.1"")"
"Radish mosaic virus isolate Bb segment RNA1, complete sequence",Radish mosaic virus,174,174,93%,8e-39,73.04,6065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW810303.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8BBD53C016"",""MW810303.1"")"
"Radish mosaic virus isolate Jj-5 segment RNA1, complete sequence",Radish mosaic virus,160,160,93%,2e-34,72.10,6065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH053441.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8BBD53C016"",""MH053441.1"")"
"Radish mosaic virus isolate Aa segment RNA1, complete sequence",Radish mosaic virus,160,160,93%,2e-34,72.10,6065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW810307.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8BBD53C016"",""MW810307.1"")"
"Radish mosaic virus isolate DH-1 segment RNA1, complete sequence",Radish mosaic virus,160,160,93%,2e-34,72.10,6041,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM032712.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8BBD53C016"",""HM032712.1"")"
"Radish mosaic virus isolate Gg segment RNA1, complete sequence",Radish mosaic virus,157,157,93%,2e-33,71.38,6065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW810305.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8BBD53C016"",""MW810305.1"")"
"Radish mosaic virus genomic RNA, segment RNA1, complete sequence, strain: California",Radish mosaic virus,142,142,93%,5e-29,70.85,6063,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB456531.1?report=genbank&log$=nucltop&blast_rank=13&RID=M8BBD53C016"",""AB456531.1"")"
"Radish mosaic virus isolate RaMV1 segment RNA1 polyprotein gene, complete cds",Radish mosaic virus,128,128,95%,1e-24,69.63,6048,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU450837.1?report=genbank&log$=nucltop&blast_rank=14&RID=M8BBD53C016"",""EU450837.1"")"
"Radish mosaic virus genomic RNA, segment RNA1, complete sequence",Radish mosaic virus,120,120,93%,2e-22,69.28,6064,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB295643.1?report=genbank&log$=nucltop&blast_rank=15&RID=M8BBD53C016"",""AB295643.1"")"
"Arabidopsis latent virus-1 segment RNA1, complete sequence",Arabidopsis latent virus-1,99.6,99.6,88%,5e-16,68.51,5953,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH899120.1?report=genbank&log$=nucltop&blast_rank=16&RID=M8BBD53C016"",""MH899120.1"")"
"Zymoseptoria comovirus A isolate Won segment RNA1, partial sequence",Zymoseptoria comovirus A,99.6,99.6,88%,5e-16,68.51,5974,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK231051.1?report=genbank&log$=nucltop&blast_rank=17&RID=M8BBD53C016"",""MK231051.1"")"



		


