Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Turnip ringspot virus isolate DSMZ PV-0355 consensus 1 segment RNA 2, partial sequence",Turnip ringspot virus,6184,6355,99%,0.0,96.71,3977,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW274716.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8B11PZM013"",""MW274716.1"")"
"Turnip ringspot virus isolate DSMZ PV-0355 consensus 2 segment RNA 2, partial sequence",Turnip ringspot virus,5263,5402,99%,0.0,91.28,3979,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW274717.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8B11PZM013"",""MW274717.1"")"
"Turnip ringspot virus isolate Toledo segment RNA 2, complete sequence",Turnip ringspot virus,4716,4814,98%,0.0,88.04,3985,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ712027.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8B11PZM013"",""FJ712027.1"")"
"Turnip ringspot virus isolate M12 segment RNA2, complete sequence",Turnip ringspot virus,4614,4715,99%,0.0,87.57,3987,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ516746.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8B11PZM013"",""FJ516746.1"")"
"Turnip ringspot virus isolate B segment RNA2, complete sequence",Turnip ringspot virus,4169,4271,98%,0.0,84.90,3981,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ222382.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8B11PZM013"",""GQ222382.1"")"
"Turnip ringspot virus isolate TR59 segment RNA2, complete sequence",Turnip ringspot virus,3357,3357,98%,0.0,80.06,3920,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW720559.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8B11PZM013"",""MW720559.1"")"
"Turnip ringspot virus isolate CV-3 segment RNA2, complete sequence",Turnip ringspot virus,3240,3240,98%,0.0,79.50,3960,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU968733.2?report=genbank&log$=nucltop&blast_rank=7&RID=M8B11PZM013"",""GU968733.2"")"
"Turnip ringspot virus isolate M12 polyprotein gene, partial cds",Turnip ringspot virus,2392,2392,49%,0.0,88.20,1881,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF486527.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8B11PZM013"",""EF486527.1"")"
"Turnip ringspot virus isolate HZ polyprotein gene, partial cds",Turnip ringspot virus,2380,2380,49%,0.0,88.12,1878,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ442944.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8B11PZM013"",""FJ442944.1"")"
"Turnip ringspot virus isolate 247 (KV) large capsid protein gene, partial cds",Turnip ringspot virus,1437,1437,29%,0.0,88.35,1125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM461754.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8B11PZM013"",""HM461754.1"")"
"Turnip ringspot virus isolate M12 large capsid protein gene, partial cds",Turnip ringspot virus,1437,1437,29%,0.0,88.35,1125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ442949.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8B11PZM013"",""FJ442949.1"")"
"Turnip ringspot virus isolate DT4 large capsid protein gene, partial cds",Turnip ringspot virus,1437,1437,29%,0.0,88.35,1125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ442943.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8B11PZM013"",""FJ442943.1"")"
"Turnip ringspot virus isolate 594 large capsid protein gene, partial cds",Turnip ringspot virus,1428,1428,29%,0.0,88.17,1125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM461756.1?report=genbank&log$=nucltop&blast_rank=13&RID=M8B11PZM013"",""HM461756.1"")"
"Turnip ringspot virus isolate Toledo large capsid protein gene, partial cds",Turnip ringspot virus,1424,1424,29%,0.0,88.08,1125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ442947.1?report=genbank&log$=nucltop&blast_rank=14&RID=M8B11PZM013"",""FJ442947.1"")"
"Turnip ringspot virus isolate M3 large capsid protein gene, partial cds",Turnip ringspot virus,1419,1419,29%,0.0,87.99,1125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ442948.1?report=genbank&log$=nucltop&blast_rank=15&RID=M8B11PZM013"",""FJ442948.1"")"
"Turnip ringspot virus isolate Vl98 large capsid protein gene, partial cds",Turnip ringspot virus,1415,1415,29%,0.0,87.90,1125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM461757.1?report=genbank&log$=nucltop&blast_rank=16&RID=M8B11PZM013"",""HM461757.1"")"
