Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
capsid protein [Black queen cell virus],Black queen cell virus,157,157,98%,2e-46,96.20,214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AFQ89861.1?report=genbank&log$=prottop&blast_rank=1&RID=M8DGMS10016"",""AFQ89861.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,157,157,98%,2e-46,96.20,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AFQ89856.1?report=genbank&log$=prottop&blast_rank=2&RID=M8DGMS10016"",""AFQ89856.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,157,157,98%,2e-46,96.20,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AFQ89857.1?report=genbank&log$=prottop&blast_rank=3&RID=M8DGMS10016"",""AFQ89857.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,157,157,98%,3e-46,96.20,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AFQ89858.1?report=genbank&log$=prottop&blast_rank=4&RID=M8DGMS10016"",""AFQ89858.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,157,157,98%,3e-46,96.20,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AFQ89871.1?report=genbank&log$=prottop&blast_rank=5&RID=M8DGMS10016"",""AFQ89871.1"")"
structural polyprotein [Black queen cell virus],Black queen cell virus,127,127,76%,2e-36,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMN34803.1?report=genbank&log$=prottop&blast_rank=6&RID=M8DGMS10016"",""SMN34803.1"")"
capsid protein 4 [Black queen cell virus],Black queen cell virus,127,127,76%,3e-36,98.36,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOU09080.1?report=genbank&log$=prottop&blast_rank=7&RID=M8DGMS10016"",""QOU09080.1"")"
capsid protein 4 [Black queen cell virus],Black queen cell virus,127,127,76%,3e-36,98.36,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOU09085.1?report=genbank&log$=prottop&blast_rank=8&RID=M8DGMS10016"",""QOU09085.1"")"
capsid protein 4 [Black queen cell virus],Black queen cell virus,127,127,76%,3e-36,98.36,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOU09086.1?report=genbank&log$=prottop&blast_rank=9&RID=M8DGMS10016"",""QOU09086.1"")"
capsid protein 4 [Black queen cell virus],Black queen cell virus,127,127,76%,3e-36,98.36,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOU09084.1?report=genbank&log$=prottop&blast_rank=10&RID=M8DGMS10016"",""QOU09084.1"")"
capsid protein 4 [Black queen cell virus],Black queen cell virus,127,127,76%,6e-36,98.36,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AZP54321.1?report=genbank&log$=prottop&blast_rank=11&RID=M8DGMS10016"",""AZP54321.1"")"
polyprotein [Black queen cell virus],Black queen cell virus,129,129,76%,6e-36,98.36,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CDP32870.1?report=genbank&log$=prottop&blast_rank=12&RID=M8DGMS10016"",""CDP32870.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,6e-36,98.36,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AZR43755.1?report=genbank&log$=prottop&blast_rank=13&RID=M8DGMS10016"",""AZR43755.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,6e-36,98.36,157,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAM17442.1?report=genbank&log$=prottop&blast_rank=14&RID=M8DGMS10016"",""BAM17442.1"")"
capisid protein [Black queen cell virus],Black queen cell virus,128,128,76%,7e-36,98.36,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSV39149.1?report=genbank&log$=prottop&blast_rank=15&RID=M8DGMS10016"",""QSV39149.1"")"
capsid protein 4 [Black queen cell virus],Black queen cell virus,129,129,76%,7e-36,98.36,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AZP54327.1?report=genbank&log$=prottop&blast_rank=16&RID=M8DGMS10016"",""AZP54327.1"")"
capsid protein 4 [Black queen cell virus],Black queen cell virus,128,128,76%,7e-36,98.36,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AZP54325.1?report=genbank&log$=prottop&blast_rank=17&RID=M8DGMS10016"",""AZP54325.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,7e-36,98.36,156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QEE83343.1?report=genbank&log$=prottop&blast_rank=18&RID=M8DGMS10016"",""QEE83343.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,7e-36,98.36,157,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAM17437.1?report=genbank&log$=prottop&blast_rank=19&RID=M8DGMS10016"",""BAM17437.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,128,128,76%,7e-36,98.36,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AZR43757.1?report=genbank&log$=prottop&blast_rank=20&RID=M8DGMS10016"",""AZR43757.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,7e-36,98.36,180,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKL72106.1?report=genbank&log$=prottop&blast_rank=21&RID=M8DGMS10016"",""AKL72106.1"")"
capisid protein [Black queen cell virus],Black queen cell virus,128,128,76%,7e-36,98.36,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSV39150.1?report=genbank&log$=prottop&blast_rank=22&RID=M8DGMS10016"",""QSV39150.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,7e-36,98.36,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSS76626.1?report=genbank&log$=prottop&blast_rank=23&RID=M8DGMS10016"",""QSS76626.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,128,128,76%,7e-36,98.36,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AXU98365.1?report=genbank&log$=prottop&blast_rank=24&RID=M8DGMS10016"",""AXU98365.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,7e-36,98.36,181,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANS10164.1?report=genbank&log$=prottop&blast_rank=25&RID=M8DGMS10016"",""ANS10164.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,128,128,76%,7e-36,98.36,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AZR43753.1?report=genbank&log$=prottop&blast_rank=26&RID=M8DGMS10016"",""AZR43753.1"")"
capsid protein 4 [Black queen cell virus],Black queen cell virus,128,128,76%,8e-36,98.36,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AUW56601.1?report=genbank&log$=prottop&blast_rank=27&RID=M8DGMS10016"",""AUW56601.1"")"
capsid protein 4 [Black queen cell virus],Black queen cell virus,129,129,76%,8e-36,98.36,160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AZP54332.1?report=genbank&log$=prottop&blast_rank=28&RID=M8DGMS10016"",""AZP54332.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,128,128,76%,8e-36,98.36,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKM12350.1?report=genbank&log$=prottop&blast_rank=29&RID=M8DGMS10016"",""AKM12350.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,128,128,76%,8e-36,98.36,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSS76643.1?report=genbank&log$=prottop&blast_rank=30&RID=M8DGMS10016"",""QSS76643.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,128,128,76%,8e-36,98.36,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSS76623.1?report=genbank&log$=prottop&blast_rank=31&RID=M8DGMS10016"",""QSS76623.1"")"
Capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,8e-36,98.36,152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CDK12637.1?report=genbank&log$=prottop&blast_rank=32&RID=M8DGMS10016"",""CDK12637.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,128,128,76%,8e-36,98.36,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AZR43758.1?report=genbank&log$=prottop&blast_rank=33&RID=M8DGMS10016"",""AZR43758.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,8e-36,98.36,177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADY05198.1?report=genbank&log$=prottop&blast_rank=34&RID=M8DGMS10016"",""ADY05198.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,8e-36,98.36,180,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKL72110.1?report=genbank&log$=prottop&blast_rank=35&RID=M8DGMS10016"",""AKL72110.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,128,128,76%,8e-36,98.36,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSS76636.1?report=genbank&log$=prottop&blast_rank=36&RID=M8DGMS10016"",""QSS76636.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,8e-36,98.36,173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BCG62342.1?report=genbank&log$=prottop&blast_rank=37&RID=M8DGMS10016"",""BCG62342.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,8e-36,98.36,177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADY05188.1?report=genbank&log$=prottop&blast_rank=38&RID=M8DGMS10016"",""ADY05188.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,128,128,76%,8e-36,98.36,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSS76619.1?report=genbank&log$=prottop&blast_rank=39&RID=M8DGMS10016"",""QSS76619.1"")"
capsid protein 4 [Black queen cell virus],Black queen cell virus,129,129,76%,8e-36,98.36,155,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AUW56572.1?report=genbank&log$=prottop&blast_rank=40&RID=M8DGMS10016"",""AUW56572.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,8e-36,98.36,180,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKL72135.1?report=genbank&log$=prottop&blast_rank=41&RID=M8DGMS10016"",""AKL72135.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,8e-36,98.36,156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QEE83345.1?report=genbank&log$=prottop&blast_rank=42&RID=M8DGMS10016"",""QEE83345.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,128,128,76%,8e-36,98.36,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIG37657.1?report=genbank&log$=prottop&blast_rank=43&RID=M8DGMS10016"",""QIG37657.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,128,128,76%,8e-36,98.36,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AZR43759.1?report=genbank&log$=prottop&blast_rank=44&RID=M8DGMS10016"",""AZR43759.1"")"
capsid protein 4 [Black queen cell virus],Black queen cell virus,128,128,76%,8e-36,98.36,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AZP54319.1?report=genbank&log$=prottop&blast_rank=45&RID=M8DGMS10016"",""AZP54319.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,128,128,76%,8e-36,98.36,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AZR43752.1?report=genbank&log$=prottop&blast_rank=46&RID=M8DGMS10016"",""AZR43752.1"")"
capsid protein [Black queen cell virus],Black queen cell virus,129,129,76%,8e-36,98.36,181,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKL72103.1?report=genbank&log$=prottop&blast_rank=47&RID=M8DGMS10016"",""AKL72103.1"")"
capsid protein 4 [Black queen cell virus],Black queen cell virus,129,129,76%,9e-36,98.36,158,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AUW56568.1?report=genbank&log$=prottop&blast_rank=48&RID=M8DGMS10016"",""AUW56568.1"")"
