Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein LOC126919890 [Bombus affinis],Bombus affinis,248,248,88%,1e-80,96.69,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050585524.1?report=genbank&log$=prottop&blast_rank=1&RID=M8D1MPUA016"",""XP_050585524.1"")"
secreted RxLR effector protein 161-like [Bombus terrestris],Bombus terrestris,200,200,70%,2e-62,100.00,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_048267037.1?report=genbank&log$=prottop&blast_rank=2&RID=M8D1MPUA016"",""XP_048267037.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,153,153,88%,3e-44,55.37,177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBM95010.1?report=genbank&log$=prottop&blast_rank=3&RID=M8D1MPUA016"",""GBM95010.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,153,153,88%,6e-44,55.37,202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBM94967.1?report=genbank&log$=prottop&blast_rank=4&RID=M8D1MPUA016"",""GBM94967.1"")"
hypothetical protein KR222_004172 [Zaprionus bogoriensis],Zaprionus bogoriensis,154,154,91%,8e-44,52.38,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH8418168.1?report=genbank&log$=prottop&blast_rank=5&RID=M8D1MPUA016"",""KAH8418168.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,153,153,88%,8e-44,55.37,214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBL96655.1?report=genbank&log$=prottop&blast_rank=6&RID=M8D1MPUA016"",""GBL96655.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,152,152,88%,1e-43,55.37,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBO36454.1?report=genbank&log$=prottop&blast_rank=7&RID=M8D1MPUA016"",""GBO36454.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,152,152,88%,6e-43,54.55,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBN53521.1?report=genbank&log$=prottop&blast_rank=8&RID=M8D1MPUA016"",""GBN53521.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,152,152,88%,6e-43,54.55,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBN54643.1?report=genbank&log$=prottop&blast_rank=9&RID=M8D1MPUA016"",""GBN54643.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,152,152,88%,8e-43,54.55,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBL80008.1?report=genbank&log$=prottop&blast_rank=10&RID=M8D1MPUA016"",""GBL80008.1"")"
secreted RxLR effector protein 161-like [Stegodyphus dumicola],Stegodyphus dumicola,150,150,86%,1e-42,59.50,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035211735.1?report=genbank&log$=prottop&blast_rank=11&RID=M8D1MPUA016"",""XP_035211735.1"")"
Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Araneus ventricosus],Araneus ventricosus,149,149,88%,1e-42,53.72,175,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBN01867.1?report=genbank&log$=prottop&blast_rank=12&RID=M8D1MPUA016"",""GBN01867.1"")"
gag-pol polyprotein [Lasius niger],Lasius niger,152,152,81%,2e-42,58.41,298,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KMQ88815.1?report=genbank&log$=prottop&blast_rank=13&RID=M8D1MPUA016"",""KMQ88815.1"")"
RxLR effector candidate protein [Phytophthora cinnamomi],Phytophthora cinnamomi,149,149,87%,2e-42,55.83,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6616762.1?report=genbank&log$=prottop&blast_rank=14&RID=M8D1MPUA016"",""KAG6616762.1"")"
gag-pol polyprotein [Lasius niger],Lasius niger,152,152,81%,2e-42,58.41,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KMQ88817.1?report=genbank&log$=prottop&blast_rank=15&RID=M8D1MPUA016"",""KMQ88817.1"")"
