Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
RNA-dependent RNA polymerase [Grapevine virus S],Grapevine virus S,458,458,99%,9e-156,96.04,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AFV34764.1?report=genbank&log$=prottop&blast_rank=1&RID=MB3MSR0U016"",""AFV34764.1"")"
p2 protein [Bacopa chlorosis virus],Bacopa chlorosis virus,415,415,99%,5e-142,85.02,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACM63155.1?report=genbank&log$=prottop&blast_rank=2&RID=MB3MSR0U016"",""ACM63155.1"")"
RNA-dependent RNA polymerase [Strawberry necrotic shock virus],Strawberry necrotic shock virus,423,423,99%,1e-140,87.22,803,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGN29723.1?report=genbank&log$=prottop&blast_rank=3&RID=MB3MSR0U016"",""AGN29723.1"")"
p2 protein [Blackberry chlorotic ringspot virus],Blackberry chlorotic ringspot virus,422,422,99%,2e-140,86.78,798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UXK32680.1?report=genbank&log$=prottop&blast_rank=4&RID=MB3MSR0U016"",""UXK32680.1"")"
replicase P2a [Blackberry chlorotic ringspot virus],Blackberry chlorotic ringspot virus,422,422,99%,3e-140,86.78,798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ARS65724.1?report=genbank&log$=prottop&blast_rank=5&RID=MB3MSR0U016"",""ARS65724.1"")"
replicase P2a [Blackberry chlorotic ringspot virus],Blackberry chlorotic ringspot virus,422,422,99%,3e-140,86.78,798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/URC17612.1?report=genbank&log$=prottop&blast_rank=6&RID=MB3MSR0U016"",""URC17612.1"")"
p2 protein [Parietaria mottle virus],Parietaria mottle virus,421,421,99%,7e-140,86.78,805,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_006447.1?report=genbank&log$=prottop&blast_rank=7&RID=MB3MSR0U016"",""YP_006447.1"")"
p2 protein [Parietaria mottle virus],Parietaria mottle virus,421,421,99%,9e-140,87.22,806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACU44509.1?report=genbank&log$=prottop&blast_rank=8&RID=MB3MSR0U016"",""ACU44509.1"")"
p2 protein [Parietaria mottle virus],Parietaria mottle virus,420,420,99%,2e-139,86.78,805,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ALJ96777.1?report=genbank&log$=prottop&blast_rank=9&RID=MB3MSR0U016"",""ALJ96777.1"")"
p2 protein [Blackberry chlorotic ringspot virus],Blackberry chlorotic ringspot virus,417,417,99%,2e-138,85.46,804,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_002308570.1?report=genbank&log$=prottop&blast_rank=10&RID=MB3MSR0U016"",""YP_002308570.1"")"
RNA-directed RNA polymerase 2a [Soybean ilarvirus I],Soybean ilarvirus I,417,417,99%,3e-138,85.46,812,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UXP11829.1?report=genbank&log$=prottop&blast_rank=11&RID=MB3MSR0U016"",""UXP11829.1"")"
RNA-dependent RNA polymerase [Prunus virus I],Prunus virus I,417,417,99%,4e-138,85.46,808,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UOF93065.1?report=genbank&log$=prottop&blast_rank=12&RID=MB3MSR0U016"",""UOF93065.1"")"
RNA-dependent RNA polymerase [Prunus virus I],Prunus virus I,416,416,99%,6e-138,85.46,808,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UTQ50869.1?report=genbank&log$=prottop&blast_rank=13&RID=MB3MSR0U016"",""UTQ50869.1"")"
protein 2a [Tobacco streak virus],Tobacco streak virus,407,407,99%,8e-138,83.70,534,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNT38416.1?report=genbank&log$=prottop&blast_rank=14&RID=MB3MSR0U016"",""QNT38416.1"")"
RdRp [Strawberry necrotic shock virus],Strawberry necrotic shock virus,416,416,99%,1e-137,85.90,803,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_941472.1?report=genbank&log$=prottop&blast_rank=15&RID=MB3MSR0U016"",""YP_941472.1"")"
polymerase [Prunus virus I],Prunus virus I,414,414,99%,5e-137,84.58,808,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSG73630.1?report=genbank&log$=prottop&blast_rank=16&RID=MB3MSR0U016"",""QSG73630.1"")"
RNA-dependent RNA polymerase [Bacopa chlorosis virus],Bacopa chlorosis virus,414,414,99%,5e-137,85.02,829,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UOF93185.1?report=genbank&log$=prottop&blast_rank=17&RID=MB3MSR0U016"",""UOF93185.1"")"
replicase [Tomato necrotic spot virus],Tomato necrotic spot virus,411,411,99%,9e-136,85.02,819,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYN45100.1?report=genbank&log$=prottop&blast_rank=18&RID=MB3MSR0U016"",""AYN45100.1"")"
RNA-dependent RNA polymerase [Tobacco streak virus],Tobacco streak virus,409,409,99%,2e-135,84.58,791,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSE03525.1?report=genbank&log$=prottop&blast_rank=19&RID=MB3MSR0U016"",""QSE03525.1"")"
RNA-dependent RNA polymerase [Tobacco streak virus],Tobacco streak virus,410,410,99%,2e-135,84.58,807,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGN29708.1?report=genbank&log$=prottop&blast_rank=20&RID=MB3MSR0U016"",""AGN29708.1"")"
protein 2a [Tobacco streak virus],Tobacco streak virus,409,409,99%,2e-135,84.58,790,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIN56246.1?report=genbank&log$=prottop&blast_rank=21&RID=MB3MSR0U016"",""AIN56246.1"")"
RNA-dependent RNA polymerase [Tobacco streak virus],Tobacco streak virus,409,409,99%,3e-135,84.58,790,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QWC36237.1?report=genbank&log$=prottop&blast_rank=22&RID=MB3MSR0U016"",""QWC36237.1"")"
RNA-dependent RNA polymerase [Tobacco streak virus],Tobacco streak virus,409,409,99%,4e-135,84.58,791,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGN29713.1?report=genbank&log$=prottop&blast_rank=23&RID=MB3MSR0U016"",""AGN29713.1"")"
RNA-dependent RNA polymerase [Tobacco streak virus],Tobacco streak virus,409,409,99%,6e-135,84.14,806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QXF30830.1?report=genbank&log$=prottop&blast_rank=24&RID=MB3MSR0U016"",""QXF30830.1"")"
putative p2 protein [Peanut virus C],Peanut virus C,407,407,99%,1e-134,83.70,804,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AWC08304.1?report=genbank&log$=prottop&blast_rank=25&RID=MB3MSR0U016"",""AWC08304.1"")"
RNA-dependent RNA polymerase [Cape gooseberry ilarvirus 1],Cape gooseberry ilarvirus 1,407,407,99%,2e-134,84.58,789,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_009551513.1?report=genbank&log$=prottop&blast_rank=26&RID=MB3MSR0U016"",""YP_009551513.1"")"
RNA-dependent RNA polymerase [Cape gooseberry ilarvirus 1],Cape gooseberry ilarvirus 1,407,407,99%,2e-134,84.58,789,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UEP18550.1?report=genbank&log$=prottop&blast_rank=27&RID=MB3MSR0U016"",""UEP18550.1"")"
RNA-dependent RNA polymerase [Cape gooseberry ilarvirus 1],Cape gooseberry ilarvirus 1,406,406,99%,3e-134,84.58,789,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UEP18545.1?report=genbank&log$=prottop&blast_rank=28&RID=MB3MSR0U016"",""UEP18545.1"")"
RNA-dependent RNA polymerase [Ageratum latent virus 1998],Ageratum latent virus 1998,406,406,99%,3e-134,83.26,790,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_008470970.1?report=genbank&log$=prottop&blast_rank=29&RID=MB3MSR0U016"",""YP_008470970.1"")"
2a protein [Tobacco streak virus],Tobacco streak virus,406,406,99%,3e-134,83.70,795,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AMB72705.1?report=genbank&log$=prottop&blast_rank=30&RID=MB3MSR0U016"",""AMB72705.1"")"
protein 2a [Tobacco streak virus],Tobacco streak virus,406,406,99%,4e-134,83.70,795,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNT38475.1?report=genbank&log$=prottop&blast_rank=31&RID=MB3MSR0U016"",""QNT38475.1"")"
