Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Bombus terrestris feline leukemia virus subgroup C receptor-related protein 2 (LOC100643249), mRNA",Bombus terrestris,724,724,99%,0.0,100.00,2454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003398769.4?report=genbank&log$=nucltop&blast_rank=1&RID=M8BBD53C016"",""XM_003398769.4"")"
"PREDICTED: Bombus affinis feline leukemia virus subgroup C receptor-related protein 2-like (LOC126917058), mRNA",Bombus affinis,719,719,99%,0.0,99.75,2431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050723470.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8BBD53C016"",""XM_050723470.1"")"
"PREDICTED: Bombus pyrosoma feline leukemia virus subgroup C receptor-related protein 2-like (LOC122573135), mRNA",Bombus pyrosoma,719,719,99%,0.0,99.75,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043739131.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8BBD53C016"",""XM_043739131.1"")"
"PREDICTED: Bombus vosnesenskii feline leukemia virus subgroup C receptor-related protein 2-like (LOC117231203), mRNA",Bombus vosnesenskii,715,715,99%,0.0,99.50,1909,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033489396.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8BBD53C016"",""XM_033489396.1"")"
"PREDICTED: Bombus bifarius feline leukemia virus subgroup C receptor-related protein 2-like (LOC117211133), mRNA",Bombus bifarius,715,715,99%,0.0,99.50,1913,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033454748.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8BBD53C016"",""XM_033454748.1"")"
"PREDICTED: Bombus huntii feline leukemia virus subgroup C receptor-related protein 2-like (LOC126864111), mRNA",Bombus huntii,715,715,99%,0.0,99.50,5014,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050615089.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8BBD53C016"",""XM_050615089.1"")"
"PREDICTED: Bombus vancouverensis nearcticus feline leukemia virus subgroup C receptor-related protein 2-like (LOC117166554), mRNA",Bombus vancouverensis nearcticus,710,710,99%,0.0,99.25,1913,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033350601.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8BBD53C016"",""XM_033350601.1"")"
"PREDICTED: Bombus impatiens feline leukemia virus subgroup C receptor-related protein 2-like (LOC100749562), mRNA",Bombus impatiens,710,710,99%,0.0,99.25,2318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003489599.4?report=genbank&log$=nucltop&blast_rank=8&RID=M8BBD53C016"",""XM_003489599.4"")"
"PREDICTED: Eufriesea mexicana feline leukemia virus subgroup C receptor-related protein 2 (LOC108553917), mRNA",Eufriesea mexicana,509,509,98%,1e-139,88.41,2244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017909008.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8BBD53C016"",""XM_017909008.1"")"
"PREDICTED: Frieseomelitta varia feline leukemia virus subgroup C receptor-related protein 2-like (LOC122536293), mRNA",Frieseomelitta varia,482,482,98%,1e-131,86.90,2184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043668538.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8BBD53C016"",""XM_043668538.1"")"
"PREDICTED: Apis florea feline leukemia virus subgroup C receptor-related protein 2-like (LOC100872676), mRNA",Apis florea,471,471,98%,3e-128,86.47,1696,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003691085.3?report=genbank&log$=nucltop&blast_rank=11&RID=M8BBD53C016"",""XM_003691085.3"")"
"PREDICTED: Apis mellifera feline leukemia virus subgroup C receptor-related protein 2 (LOC107965219), transcript variant X2, mRNA",Apis mellifera,469,469,98%,3e-127,86.25,2592,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_016915072.2?report=genbank&log$=nucltop&blast_rank=12&RID=M8BBD53C016"",""XM_016915072.2"")"
"PREDICTED: Apis mellifera feline leukemia virus subgroup C receptor-related protein 2 (LOC107965219), transcript variant X1, mRNA",Apis mellifera,469,469,98%,3e-127,86.25,2746,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_016915071.2?report=genbank&log$=nucltop&blast_rank=13&RID=M8BBD53C016"",""XM_016915071.2"")"
"PREDICTED: Apis cerana feline leukemia virus subgroup C receptor-related protein 2 (LOC108002345), mRNA",Apis cerana,464,464,98%,4e-126,86.00,2325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017063975.2?report=genbank&log$=nucltop&blast_rank=14&RID=M8BBD53C016"",""XM_017063975.2"")"
"PREDICTED: Habropoda laboriosa feline leukemia virus subgroup C receptor-related protein 2 (LOC108578681), transcript variant X2, mRNA",Habropoda laboriosa,454,454,99%,7e-123,85.21,2148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017942057.1?report=genbank&log$=nucltop&blast_rank=15&RID=M8BBD53C016"",""XM_017942057.1"")"
"PREDICTED: Habropoda laboriosa feline leukemia virus subgroup C receptor-related protein 2 (LOC108578681), transcript variant X1, mRNA",Habropoda laboriosa,454,454,99%,7e-123,85.21,2208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017942056.1?report=genbank&log$=nucltop&blast_rank=16&RID=M8BBD53C016"",""XM_017942056.1"")"
"PREDICTED: Apis dorsata feline leukemia virus subgroup C receptor-related protein 2-like (LOC116185624), mRNA",Apis dorsata,451,451,98%,9e-122,85.25,1618,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_031510454.1?report=genbank&log$=nucltop&blast_rank=17&RID=M8BBD53C016"",""XM_031510454.1"")"
"PREDICTED: Apis laboriosa feline leukemia virus subgroup C receptor-related protein 2-like (LOC122719621), mRNA",Apis laboriosa,451,451,98%,9e-122,85.25,2851,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043945584.1?report=genbank&log$=nucltop&blast_rank=18&RID=M8BBD53C016"",""XM_043945584.1"")"
"PREDICTED: Megachile rotundata titin (LOC100874807), mRNA",Megachile rotundata,397,397,98%,2e-105,82.12,4476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_012279919.1?report=genbank&log$=nucltop&blast_rank=19&RID=M8BBD53C016"",""XM_012279919.1"")"
"PREDICTED: Colletes gigas feline leukemia virus subgroup C receptor-related protein 2-like (LOC122397474), mRNA",Colletes gigas,377,377,98%,2e-99,81.06,1851,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043396629.1?report=genbank&log$=nucltop&blast_rank=20&RID=M8BBD53C016"",""XM_043396629.1"")"
"PREDICTED: Ceratina calcarata feline leukemia virus subgroup C receptor-related protein 2 (LOC108627281), mRNA",Ceratina calcarata,345,345,98%,3e-90,79.29,4929,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_018028459.2?report=genbank&log$=nucltop&blast_rank=21&RID=M8BBD53C016"",""XM_018028459.2"")"
"PREDICTED: Osmia lignaria feline leukemia virus subgroup C receptor-related protein 2-like (LOC117601812), mRNA",Osmia lignaria,343,343,98%,3e-89,79.09,2018,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_034318998.1?report=genbank&log$=nucltop&blast_rank=22&RID=M8BBD53C016"",""XM_034318998.1"")"
"PREDICTED: Osmia bicornis bicornis feline leukemia virus subgroup C receptor-related protein 2-like (LOC114877012), mRNA",Osmia bicornis bicornis,343,343,98%,3e-89,79.09,2186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_029189078.2?report=genbank&log$=nucltop&blast_rank=23&RID=M8BBD53C016"",""XM_029189078.2"")"
"PREDICTED: Nomia melanderi feline leukemia virus subgroup C receptor-related protein 2-like (LOC116425463), transcript variant X2, mRNA",Nomia melanderi,261,261,98%,9e-65,74.56,3302,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_031973189.1?report=genbank&log$=nucltop&blast_rank=24&RID=M8BBD53C016"",""XM_031973189.1"")"
"PREDICTED: Nomia melanderi feline leukemia virus subgroup C receptor-related protein 2-like (LOC116425463), transcript variant X1, mRNA",Nomia melanderi,261,261,98%,9e-65,74.56,3371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_031973188.1?report=genbank&log$=nucltop&blast_rank=25&RID=M8BBD53C016"",""XM_031973188.1"")"
"PREDICTED: Megalopta genalis feline leukemia virus subgroup C receptor-related protein 2-like (LOC117230000), mRNA",Megalopta genalis,233,233,98%,1e-56,73.37,2702,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033487005.1?report=genbank&log$=nucltop&blast_rank=26&RID=M8BBD53C016"",""XM_033487005.1"")"
"PREDICTED: Ooceraea biroi feline leukemia virus subgroup C receptor-related protein 2-like (LOC105277485), mRNA",Ooceraea biroi,226,226,96%,2e-54,72.82,2776,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_011335870.3?report=genbank&log$=nucltop&blast_rank=27&RID=M8BBD53C016"",""XM_011335870.3"")"
"PREDICTED: Dufourea novaeangliae feline leukemia virus subgroup C receptor-related protein 2-like (LOC107191884), mRNA",Dufourea novaeangliae,221,221,98%,8e-53,72.29,1576,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_015581026.1?report=genbank&log$=nucltop&blast_rank=28&RID=M8BBD53C016"",""XM_015581026.1"")"
"Bombus pratorum genome assembly, chromosome: 4",Bombus pratorum,211,737,99%,1e-49,99.16,18648777,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV883986.1?report=genbank&log$=nucltop&blast_rank=29&RID=M8BBD53C016"",""OV883986.1"")"
"Bombus hypnorum genome assembly, chromosome: 7",Bombus hypnorum,211,737,99%,1e-49,99.16,23541710,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU427026.1?report=genbank&log$=nucltop&blast_rank=30&RID=M8BBD53C016"",""OU427026.1"")"
"Bombus terrestris genome assembly, chromosome: 11",Bombus terrestris,211,746,99%,1e-49,99.16,20781255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342931.1?report=genbank&log$=nucltop&blast_rank=31&RID=M8BBD53C016"",""OU342931.1"")"
"Bombus sylvestris genome assembly, chromosome: 16",Bombus sylvestris,206,725,99%,2e-48,98.32,11477996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU443155.1?report=genbank&log$=nucltop&blast_rank=32&RID=M8BBD53C016"",""OU443155.1"")"
"Bombus pascuorum genome assembly, chromosome: 5",Bombus pascuorum,206,732,99%,2e-48,98.32,18273739,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HG995272.1?report=genbank&log$=nucltop&blast_rank=33&RID=M8BBD53C016"",""HG995272.1"")"
"Bombus hortorum genome assembly, chromosome: 4",Bombus hortorum,206,723,99%,2e-48,98.32,19111149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HG995191.1?report=genbank&log$=nucltop&blast_rank=34&RID=M8BBD53C016"",""HG995191.1"")"
"PREDICTED: Pseudomyrmex gracilis feline leukemia virus subgroup C receptor-related protein 2-like (LOC109860085), mRNA",Pseudomyrmex gracilis,205,205,98%,6e-48,71.79,2333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_020438944.1?report=genbank&log$=nucltop&blast_rank=35&RID=M8BBD53C016"",""XM_020438944.1"")"
"Bombus campestris genome assembly, chromosome: 18",Bombus campestris,202,725,99%,7e-47,97.48,9264173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HG995143.1?report=genbank&log$=nucltop&blast_rank=36&RID=M8BBD53C016"",""HG995143.1"")"
"PREDICTED: Linepithema humile feline leukemia virus subgroup C receptor-related protein 2-like (LOC105669175), mRNA",Linepithema humile,201,201,96%,7e-47,71.79,1718,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_012361967.1?report=genbank&log$=nucltop&blast_rank=37&RID=M8BBD53C016"",""XM_012361967.1"")"
"PREDICTED: Trachymyrmex cornetzi feline leukemia virus subgroup C receptor-related protein 2-like (LOC108759141), mRNA",Trachymyrmex cornetzi,196,196,98%,3e-45,71.28,1522,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_018504459.1?report=genbank&log$=nucltop&blast_rank=38&RID=M8BBD53C016"",""XM_018504459.1"")"
"PREDICTED: Atta colombica feline leukemia virus subgroup C receptor-related protein 2-like (LOC108691140), mRNA",Atta colombica,191,191,95%,1e-43,71.32,1449,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_018198795.1?report=genbank&log$=nucltop&blast_rank=39&RID=M8BBD53C016"",""XM_018198795.1"")"
"PREDICTED: Monomorium pharaonis feline leukemia virus subgroup C receptor-related protein 2 (LOC105834191), transcript variant X2, misc_RNA",Monomorium pharaonis,189,189,96%,5e-43,71.10,3186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_001138868.3?report=genbank&log$=nucltop&blast_rank=40&RID=M8BBD53C016"",""XR_001138868.3"")"
