Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
feline leukemia virus subgroup C receptor-related protein 2-like isoform X1 [Frieseomelitta varia],Frieseomelitta varia,171,171,98%,4e-49,100.00,451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043529205.1?report=genbank&log$=prottop&blast_rank=1&RID=M8M3WM9P013"",""XP_043529205.1"")"
feline leukemia virus subgroup C receptor-related protein 2-like isoform X2 [Frieseomelitta varia],Frieseomelitta varia,171,171,98%,5e-49,100.00,450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043529206.1?report=genbank&log$=prottop&blast_rank=2&RID=M8M3WM9P013"",""XP_043529206.1"")"
feline leukemia virus subgroup C receptor-related protein 2 isoform X3 [Nomia melanderi],Nomia melanderi,166,166,98%,1e-47,95.24,425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031831356.1?report=genbank&log$=prottop&blast_rank=3&RID=M8M3WM9P013"",""XP_031831356.1"")"
feline leukemia virus subgroup C receptor-related protein 2 isoform X6 [Megalopta genalis],Megalopta genalis,166,166,98%,1e-47,95.24,425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033338357.1?report=genbank&log$=prottop&blast_rank=4&RID=M8M3WM9P013"",""XP_033338357.1"")"
feline leukemia virus subgroup C receptor-related protein 2 isoform X5 [Megalopta genalis],Megalopta genalis,166,166,98%,2e-47,95.24,431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033338356.1?report=genbank&log$=prottop&blast_rank=5&RID=M8M3WM9P013"",""XP_033338356.1"")"
feline leukemia virus subgroup C receptor-related protein 2 isoform X4 [Megalopta genalis],Megalopta genalis,166,166,98%,2e-47,95.24,432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033338355.1?report=genbank&log$=prottop&blast_rank=6&RID=M8M3WM9P013"",""XP_033338355.1"")"
feline leukemia virus subgroup C receptor-related protein 2 isoform X2 [Nomia melanderi],Nomia melanderi,167,167,98%,2e-47,95.24,451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031831354.1?report=genbank&log$=prottop&blast_rank=7&RID=M8M3WM9P013"",""XP_031831354.1"")"
Feline leukemia virus subgroup C receptor-related protein 2 [Dufourea novaeangliae],Dufourea novaeangliae,166,166,98%,2e-47,96.43,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KZC06596.1?report=genbank&log$=prottop&blast_rank=8&RID=M8M3WM9P013"",""KZC06596.1"")"
feline leukemia virus subgroup C receptor-related protein 2 isoform X1 [Nomia melanderi],Nomia melanderi,167,167,98%,2e-47,95.24,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031831353.1?report=genbank&log$=prottop&blast_rank=9&RID=M8M3WM9P013"",""XP_031831353.1"")"
feline leukemia virus subgroup C receptor-related protein 2 isoform X3 [Megalopta genalis],Megalopta genalis,166,166,98%,2e-47,95.24,445,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033338354.1?report=genbank&log$=prottop&blast_rank=10&RID=M8M3WM9P013"",""XP_033338354.1"")"
