Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Black queen cell virus isolate BQCV_MS, complete genome",Black queen cell virus,759,759,100%,0.0,94.82,8454,Erro:501
"Black queen cell virus isolate BQCV_MR, complete genome",Black queen cell virus,759,759,100%,0.0,94.82,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-AUG15, complete genome",Black queen cell virus,759,759,100%,0.0,94.82,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-SEP15, complete genome",Black queen cell virus,755,755,100%,0.0,94.62,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-JUN15, complete genome",Black queen cell virus,755,755,100%,0.0,94.62,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-APR15, complete genome",Black queen cell virus,755,755,100%,0.0,94.62,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-OCT15, complete genome",Black queen cell virus,755,755,100%,0.0,94.62,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-SEP15, complete genome",Black queen cell virus,755,755,100%,0.0,94.62,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-AUG15, complete genome",Black queen cell virus,755,755,100%,0.0,94.62,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-JUN15, complete genome",Black queen cell virus,755,755,100%,0.0,94.62,8432,Erro:501
"Black queen cell virus isolate BQCV-MR-APR15, complete genome",Black queen cell virus,755,755,100%,0.0,94.62,8432,Erro:501
"Black queen cell virus isolate BQCV-MS-OCT15, complete genome",Black queen cell virus,750,750,100%,0.0,94.41,8432,Erro:501
"Black queen cell virus isolate FTA1-7, complete genome",Black queen cell virus,737,737,100%,0.0,93.79,8436,Erro:501
"Black queen cell virus strain BQCV4B non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,737,737,100%,0.0,93.79,8467,Erro:501
"Black queen cell virus isolate BQCV/PNG-2014, complete genome",Black queen cell virus,732,732,100%,0.0,93.58,8488,Erro:501
"Black queen cell virus isolate BQCV/PNG-2018, complete genome",Black queen cell virus,723,723,100%,0.0,93.17,8412,Erro:501
"Black queen cell virus strain BQCV_Sydney, complete genome",Black queen cell virus,723,723,100%,0.0,92.75,8430,Erro:501
"Black queen cell virus isolate BQCV_No3_Acc010-HN2019, complete genome",Black queen cell virus,714,714,100%,0.0,92.75,8457,Erro:501
