Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
polyprotein 1 [Tobacco ringspot virus],Tobacco ringspot virus,4531,4531,78%,0.0,97.40,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QZA75409.1?report=genbank&log$=prottop&blast_rank=1&RID=MB04194W013"",""QZA75409.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4526,4526,78%,0.0,97.74,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QYF10661.1?report=genbank&log$=prottop&blast_rank=2&RID=MB04194W013"",""QYF10661.1"")"
polyprotein 1 [Tobacco ringspot virus],Tobacco ringspot virus,4526,4526,78%,0.0,97.22,2304,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QWT83716.1?report=genbank&log$=prottop&blast_rank=3&RID=MB04194W013"",""QWT83716.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4507,4507,78%,0.0,96.48,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNT38385.1?report=genbank&log$=prottop&blast_rank=4&RID=MB04194W013"",""QNT38385.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4507,4507,78%,0.0,97.18,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIA10370.1?report=genbank&log$=prottop&blast_rank=5&RID=MB04194W013"",""AIA10370.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4497,4497,78%,0.0,96.57,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIC89932.1?report=genbank&log$=prottop&blast_rank=6&RID=MB04194W013"",""QIC89932.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4497,4497,78%,0.0,96.48,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIC89924.1?report=genbank&log$=prottop&blast_rank=7&RID=MB04194W013"",""QIC89924.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4496,4496,78%,0.0,96.57,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIC89927.1?report=genbank&log$=prottop&blast_rank=8&RID=MB04194W013"",""QIC89927.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4491,4491,78%,0.0,96.48,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIC89928.1?report=genbank&log$=prottop&blast_rank=9&RID=MB04194W013"",""QIC89928.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4491,4491,78%,0.0,96.53,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIC89936.1?report=genbank&log$=prottop&blast_rank=10&RID=MB04194W013"",""QIC89936.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4489,4489,78%,0.0,97.00,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIK02010.1?report=genbank&log$=prottop&blast_rank=11&RID=MB04194W013"",""QIK02010.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4489,4489,78%,0.0,96.44,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QWY04405.1?report=genbank&log$=prottop&blast_rank=12&RID=MB04194W013"",""QWY04405.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4488,4488,78%,0.0,96.61,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIC89933.1?report=genbank&log$=prottop&blast_rank=13&RID=MB04194W013"",""QIC89933.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4487,4487,78%,0.0,96.35,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIC89926.1?report=genbank&log$=prottop&blast_rank=14&RID=MB04194W013"",""QIC89926.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4485,4485,78%,0.0,96.18,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJT41629.1?report=genbank&log$=prottop&blast_rank=15&RID=MB04194W013"",""QJT41629.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4483,4483,78%,0.0,96.57,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIC89930.1?report=genbank&log$=prottop&blast_rank=16&RID=MB04194W013"",""QIC89930.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4482,4482,78%,0.0,96.27,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIC89925.1?report=genbank&log$=prottop&blast_rank=17&RID=MB04194W013"",""QIC89925.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4482,4482,78%,0.0,96.35,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIC89929.1?report=genbank&log$=prottop&blast_rank=18&RID=MB04194W013"",""QIC89929.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4480,4480,78%,0.0,96.18,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIC89934.1?report=genbank&log$=prottop&blast_rank=19&RID=MB04194W013"",""QIC89934.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4479,4479,78%,0.0,96.31,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIC89935.1?report=genbank&log$=prottop&blast_rank=20&RID=MB04194W013"",""QIC89935.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4471,4471,78%,0.0,95.79,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNT38387.1?report=genbank&log$=prottop&blast_rank=21&RID=MB04194W013"",""QNT38387.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4470,4470,78%,0.0,96.57,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIC89931.1?report=genbank&log$=prottop&blast_rank=22&RID=MB04194W013"",""QIC89931.1"")"
polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4462,4462,78%,0.0,96.05,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNT38389.1?report=genbank&log$=prottop&blast_rank=23&RID=MB04194W013"",""QNT38389.1"")"
RNA1 polyprotein [Tobacco ringspot virus],Tobacco ringspot virus,4387,4387,78%,0.0,94.75,2304,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_919040.1?report=genbank&log$=prottop&blast_rank=24&RID=MB04194W013"",""NP_919040.1"")"
polyprotein P1 [Aeonium ringspot virus],Aeonium ringspot virus,3786,3786,78%,0.0,79.67,2314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_009507918.1?report=genbank&log$=prottop&blast_rank=25&RID=MB04194W013"",""YP_009507918.1"")"
polyprotein [Physalis vein necrosis virus],Physalis vein necrosis virus,3728,3728,78%,0.0,79.15,2324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UEP18554.1?report=genbank&log$=prottop&blast_rank=26&RID=MB04194W013"",""UEP18554.1"")"
polyprotein [Potato black ringspot virus],Potato black ringspot virus,3714,3714,78%,0.0,77.86,2324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QZQ78639.1?report=genbank&log$=prottop&blast_rank=27&RID=MB04194W013"",""QZQ78639.1"")"
RNA 1 polyprotein [Potato black ringspot virus],Potato black ringspot virus,3714,3714,78%,0.0,77.86,2324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGZ62578.1?report=genbank&log$=prottop&blast_rank=28&RID=MB04194W013"",""AGZ62578.1"")"
RNA 1 polyprotein [Potato black ringspot virus],Potato black ringspot virus,3712,3712,78%,0.0,77.82,2324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGZ62582.1?report=genbank&log$=prottop&blast_rank=29&RID=MB04194W013"",""AGZ62582.1"")"
RNA 1 polyprotein [Potato black ringspot virus],Potato black ringspot virus,3711,3711,78%,0.0,77.82,2324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_008802578.1?report=genbank&log$=prottop&blast_rank=30&RID=MB04194W013"",""YP_008802578.1"")"
