Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Bombus terrestris genome assembly, chromosome: 9",Bombus terrestris,718,4345,99%,0.0,97.86,19446242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342929.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8B11PZM013"",""OU342929.1"")"
"Bombus terrestris genome assembly, chromosome: 6",Bombus terrestris,718,887,99%,0.0,97.86,23129593,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342926.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8B11PZM013"",""OU342926.1"")"
"Bombus terrestris genome assembly, chromosome: 2",Bombus terrestris,718,1552,99%,0.0,97.86,19735706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342922.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8B11PZM013"",""OU342922.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126919890 (LOC126919890), mRNA",Bombus affinis,713,878,99%,0.0,97.62,1179,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050729567.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8B11PZM013"",""XM_050729567.1"")"
"Bombus terrestris genome assembly, chromosome: 12",Bombus terrestris,713,882,99%,0.0,97.62,12897853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342932.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8B11PZM013"",""OU342932.1"")"
"Bombus terrestris genome assembly, chromosome: 8",Bombus terrestris,709,873,99%,0.0,97.38,11657431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342928.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8B11PZM013"",""OU342928.1"")"
"Bombus terrestris genome assembly, chromosome: 7",Bombus terrestris,655,801,99%,0.0,94.52,25524254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342927.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8B11PZM013"",""OU342927.1"")"
"Bombus terrestris genome assembly, chromosome: 16",Bombus terrestris,627,760,99%,8e-175,92.71,8887048,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342936.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8B11PZM013"",""OU342936.1"")"
"Bombus campestris genome assembly, chromosome: 1",Bombus campestris,584,1431,96%,8e-162,91.87,17090360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HG995126.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8B11PZM013"",""HG995126.1"")"
"Bombus pratorum genome assembly, chromosome: 5",Bombus pratorum,563,709,97%,3e-155,90.10,18497082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV883987.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8B11PZM013"",""OV883987.1"")"
"Bombus sylvestris genome assembly, chromosome: 10",Bombus sylvestris,563,691,97%,3e-155,90.29,13155774,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU443149.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8B11PZM013"",""OU443149.1"")"
"Bombus sylvestris genome assembly, chromosome: 4",Bombus sylvestris,535,617,97%,4e-147,87.92,14736413,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU443144.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8B11PZM013"",""OU443144.1"")"
"Bombus campestris genome assembly, chromosome: 4",Bombus campestris,522,605,97%,2e-143,87.71,15042555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HG995129.1?report=genbank&log$=nucltop&blast_rank=13&RID=M8B11PZM013"",""HG995129.1"")"
"PREDICTED: Bombus terrestris secreted RxLR effector protein 161-like (LOC125386121), mRNA",Bombus terrestris,511,713,79%,4e-140,99.31,567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_048411080.1?report=genbank&log$=nucltop&blast_rank=14&RID=M8B11PZM013"",""XM_048411080.1"")"
"Bombus campestris genome assembly, chromosome: 9",Bombus campestris,471,546,97%,4e-128,85.40,12353142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HG995134.1?report=genbank&log$=nucltop&blast_rank=15&RID=M8B11PZM013"",""HG995134.1"")"
"Bombus pratorum genome assembly, chromosome: 8",Bombus pratorum,463,545,91%,2e-125,87.07,16494161,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV883990.1?report=genbank&log$=nucltop&blast_rank=16&RID=M8B11PZM013"",""OV883990.1"")"
"Bombus sylvestris genome assembly, chromosome: 17",Bombus sylvestris,458,543,97%,8e-124,84.67,11473667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU443156.1?report=genbank&log$=nucltop&blast_rank=17&RID=M8B11PZM013"",""OU443156.1"")"
"Bombus pratorum genome assembly, chromosome: 18",Bombus pratorum,402,474,96%,6e-107,81.73,6063290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV884000.1?report=genbank&log$=nucltop&blast_rank=18&RID=M8B11PZM013"",""OV884000.1"")"
"Bombus pratorum genome assembly, chromosome: 13",Bombus pratorum,402,946,96%,6e-107,81.49,13032505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OV883995.1?report=genbank&log$=nucltop&blast_rank=19&RID=M8B11PZM013"",""OV883995.1"")"
"Bombus hypnorum genome assembly, chromosome: 3",Bombus hypnorum,370,452,85%,9e-98,80.21,25048444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU427022.1?report=genbank&log$=nucltop&blast_rank=20&RID=M8B11PZM013"",""OU427022.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X44, misc_RNA",Bombus affinis,358,827,90%,6e-94,78.73,4203,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709728.1?report=genbank&log$=nucltop&blast_rank=21&RID=M8B11PZM013"",""XR_007709728.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X28, misc_RNA",Bombus affinis,358,648,92%,6e-94,78.73,3230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709714.1?report=genbank&log$=nucltop&blast_rank=22&RID=M8B11PZM013"",""XR_007709714.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X27, misc_RNA",Bombus affinis,358,647,90%,6e-94,78.73,3230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709713.1?report=genbank&log$=nucltop&blast_rank=23&RID=M8B11PZM013"",""XR_007709713.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X26, misc_RNA",Bombus affinis,358,647,90%,6e-94,78.73,3094,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709712.1?report=genbank&log$=nucltop&blast_rank=24&RID=M8B11PZM013"",""XR_007709712.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X24, misc_RNA",Bombus affinis,358,647,90%,6e-94,78.73,3230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709710.1?report=genbank&log$=nucltop&blast_rank=25&RID=M8B11PZM013"",""XR_007709710.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X23, misc_RNA",Bombus affinis,358,647,90%,6e-94,78.73,3230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709709.1?report=genbank&log$=nucltop&blast_rank=26&RID=M8B11PZM013"",""XR_007709709.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X22, misc_RNA",Bombus affinis,358,828,92%,6e-94,78.73,3806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709708.1?report=genbank&log$=nucltop&blast_rank=27&RID=M8B11PZM013"",""XR_007709708.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X21, misc_RNA",Bombus affinis,358,656,90%,6e-94,78.73,3119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709707.1?report=genbank&log$=nucltop&blast_rank=28&RID=M8B11PZM013"",""XR_007709707.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X20, misc_RNA",Bombus affinis,358,656,90%,6e-94,78.73,3230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709706.1?report=genbank&log$=nucltop&blast_rank=29&RID=M8B11PZM013"",""XR_007709706.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X19, misc_RNA",Bombus affinis,358,656,90%,6e-94,78.73,3470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709705.1?report=genbank&log$=nucltop&blast_rank=30&RID=M8B11PZM013"",""XR_007709705.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X18, misc_RNA",Bombus affinis,358,656,90%,6e-94,78.73,3334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709704.1?report=genbank&log$=nucltop&blast_rank=31&RID=M8B11PZM013"",""XR_007709704.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X17, misc_RNA",Bombus affinis,358,656,90%,6e-94,78.73,3230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709703.1?report=genbank&log$=nucltop&blast_rank=32&RID=M8B11PZM013"",""XR_007709703.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X16, misc_RNA",Bombus affinis,358,656,90%,6e-94,78.73,3470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709702.1?report=genbank&log$=nucltop&blast_rank=33&RID=M8B11PZM013"",""XR_007709702.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X15, misc_RNA",Bombus affinis,358,656,90%,6e-94,78.73,3255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709701.1?report=genbank&log$=nucltop&blast_rank=34&RID=M8B11PZM013"",""XR_007709701.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X14, misc_RNA",Bombus affinis,358,656,90%,6e-94,78.73,3255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709700.1?report=genbank&log$=nucltop&blast_rank=35&RID=M8B11PZM013"",""XR_007709700.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X13, misc_RNA",Bombus affinis,358,656,90%,6e-94,78.73,3470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709699.1?report=genbank&log$=nucltop&blast_rank=36&RID=M8B11PZM013"",""XR_007709699.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X12, misc_RNA",Bombus affinis,358,656,90%,6e-94,78.73,3470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709698.1?report=genbank&log$=nucltop&blast_rank=37&RID=M8B11PZM013"",""XR_007709698.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126927369 (LOC126927369), ncRNA",Bombus affinis,357,521,61%,2e-93,95.91,500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007715421.1?report=genbank&log$=nucltop&blast_rank=38&RID=M8B11PZM013"",""XR_007715421.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X32, misc_RNA",Bombus affinis,353,434,90%,3e-92,78.48,2070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709718.1?report=genbank&log$=nucltop&blast_rank=39&RID=M8B11PZM013"",""XR_007709718.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC125384945 (LOC125384945), transcript variant X3, ncRNA",Bombus terrestris,349,2013,90%,3e-91,78.47,8310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007223803.1?report=genbank&log$=nucltop&blast_rank=40&RID=M8B11PZM013"",""XR_007223803.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC125384945 (LOC125384945), transcript variant X2, ncRNA",Bombus terrestris,349,2013,90%,3e-91,78.47,8414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007223802.1?report=genbank&log$=nucltop&blast_rank=41&RID=M8B11PZM013"",""XR_007223802.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC125384945 (LOC125384945), transcript variant X1, ncRNA",Bombus terrestris,349,2013,90%,3e-91,78.47,8550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007223801.1?report=genbank&log$=nucltop&blast_rank=42&RID=M8B11PZM013"",""XR_007223801.1"")"
"Bombus terrestris genome assembly, chromosome: 4",Bombus terrestris,349,3571,90%,3e-91,78.47,18668021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OU342924.1?report=genbank&log$=nucltop&blast_rank=43&RID=M8B11PZM013"",""OU342924.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X31, misc_RNA",Bombus affinis,344,425,90%,1e-89,78.00,2070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709717.1?report=genbank&log$=nucltop&blast_rank=44&RID=M8B11PZM013"",""XR_007709717.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X6, misc_RNA",Bombus affinis,344,425,90%,1e-89,78.00,2070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709695.1?report=genbank&log$=nucltop&blast_rank=45&RID=M8B11PZM013"",""XR_007709695.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC110119240 (LOC110119240), transcript variant X2, mRNA",Bombus terrestris,337,1169,90%,2e-87,77.27,4489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_048405155.1?report=genbank&log$=nucltop&blast_rank=46&RID=M8B11PZM013"",""XM_048405155.1"")"
"PREDICTED: Bombus terrestris uncharacterized LOC110119240 (LOC110119240), transcript variant X1, mRNA",Bombus terrestris,337,1169,90%,2e-87,77.27,4588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_048405154.1?report=genbank&log$=nucltop&blast_rank=47&RID=M8B11PZM013"",""XM_048405154.1"")"
"Bombus pascuorum genome assembly, chromosome: 4",Bombus pascuorum,332,1993,76%,8e-86,77.54,18513278,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HG995271.1?report=genbank&log$=nucltop&blast_rank=48&RID=M8B11PZM013"",""HG995271.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X4, mRNA",Bombus affinis,325,386,92%,3e-84,75.93,2081,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050718725.1?report=genbank&log$=nucltop&blast_rank=49&RID=M8B11PZM013"",""XM_050718725.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X48, misc_RNA",Bombus affinis,324,385,90%,1e-83,76.19,2378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709732.1?report=genbank&log$=nucltop&blast_rank=50&RID=M8B11PZM013"",""XR_007709732.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X47, misc_RNA",Bombus affinis,324,385,90%,1e-83,76.19,2507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709731.1?report=genbank&log$=nucltop&blast_rank=51&RID=M8B11PZM013"",""XR_007709731.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X46, misc_RNA",Bombus affinis,324,385,90%,1e-83,76.19,2592,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709730.1?report=genbank&log$=nucltop&blast_rank=52&RID=M8B11PZM013"",""XR_007709730.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X45, misc_RNA",Bombus affinis,324,385,90%,1e-83,76.19,2738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709729.1?report=genbank&log$=nucltop&blast_rank=53&RID=M8B11PZM013"",""XR_007709729.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X30, misc_RNA",Bombus affinis,324,385,90%,1e-83,76.19,2081,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709716.1?report=genbank&log$=nucltop&blast_rank=54&RID=M8B11PZM013"",""XR_007709716.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X2, misc_RNA",Bombus affinis,324,385,90%,1e-83,76.19,2081,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709692.1?report=genbank&log$=nucltop&blast_rank=55&RID=M8B11PZM013"",""XR_007709692.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X39, misc_RNA",Bombus affinis,214,214,47%,2e-50,77.43,1562,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709725.1?report=genbank&log$=nucltop&blast_rank=56&RID=M8B11PZM013"",""XR_007709725.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X38, misc_RNA",Bombus affinis,214,214,47%,2e-50,77.43,1777,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709724.1?report=genbank&log$=nucltop&blast_rank=57&RID=M8B11PZM013"",""XR_007709724.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X37, misc_RNA",Bombus affinis,214,214,47%,2e-50,77.43,1777,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709723.1?report=genbank&log$=nucltop&blast_rank=58&RID=M8B11PZM013"",""XR_007709723.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X36, misc_RNA",Bombus affinis,214,214,47%,2e-50,77.43,1777,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709722.1?report=genbank&log$=nucltop&blast_rank=59&RID=M8B11PZM013"",""XR_007709722.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X34, misc_RNA",Bombus affinis,214,214,47%,2e-50,77.43,1661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709720.1?report=genbank&log$=nucltop&blast_rank=60&RID=M8B11PZM013"",""XR_007709720.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X33, misc_RNA",Bombus affinis,214,214,47%,2e-50,77.43,1876,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709719.1?report=genbank&log$=nucltop&blast_rank=61&RID=M8B11PZM013"",""XR_007709719.1"")"
"PREDICTED: Bombus affinis uncharacterized LOC126914597 (LOC126914597), transcript variant X29, misc_RNA",Bombus affinis,214,214,47%,2e-50,77.43,1770,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_007709715.1?report=genbank&log$=nucltop&blast_rank=62&RID=M8B11PZM013"",""XR_007709715.1"")"
