Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ER membrane protein complex subunit 1 isoform X1 [Frieseomelitta varia],Frieseomelitta varia,1857,1857,83%,0.0,100.00,929,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043511589.1?report=genbank&log$=prottop&blast_rank=1&RID=E4PAVRAA013"",""XP_043511589.1"")"
ER membrane protein complex subunit 1 isoform X2 [Frieseomelitta varia],Frieseomelitta varia,1835,1835,83%,0.0,99.13,922,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043511590.1?report=genbank&log$=prottop&blast_rank=2&RID=E4PAVRAA013"",""XP_043511590.1"")"
unnamed protein product [Heterotrigona itama],Heterotrigona itama,1829,1829,84%,0.0,96.99,938,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD1469229.1?report=genbank&log$=prottop&blast_rank=3&RID=E4PAVRAA013"",""CAD1469229.1"")"
ER membrane protein complex subunit 1 isoform X1 [Bombus pyrosoma],Bombus pyrosoma,1798,1798,83%,0.0,95.85,929,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043580343.1?report=genbank&log$=prottop&blast_rank=4&RID=E4PAVRAA013"",""XP_043580343.1"")"
ER membrane protein complex subunit 1 isoform X1 [Bombus impatiens],Bombus impatiens,1797,1797,83%,0.0,95.74,929,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003485666.2?report=genbank&log$=prottop&blast_rank=5&RID=E4PAVRAA013"",""XP_003485666.2"")"
ER membrane protein complex subunit 1 isoform X1 [Bombus huntii],Bombus huntii,1795,1795,83%,0.0,95.52,929,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050477887.1?report=genbank&log$=prottop&blast_rank=6&RID=E4PAVRAA013"",""XP_050477887.1"")"
ER membrane protein complex subunit 1 isoform X3 [Bombus affinis],Bombus affinis,1795,1795,83%,0.0,95.63,929,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050573757.1?report=genbank&log$=prottop&blast_rank=7&RID=E4PAVRAA013"",""XP_050573757.1"")"
hypothetical protein E2986_08067 [Frieseomelitta varia],Frieseomelitta varia,1793,1793,83%,0.0,94.46,963,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF3426798.1?report=genbank&log$=prottop&blast_rank=8&RID=E4PAVRAA013"",""KAF3426798.1"")"
ER membrane protein complex subunit 1 isoform X1 [Bombus terrestris],Bombus terrestris,1793,1793,83%,0.0,95.52,929,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_048261002.1?report=genbank&log$=prottop&blast_rank=9&RID=E4PAVRAA013"",""XP_048261002.1"")"
ER membrane protein complex subunit 1 isoform X3 [Apis mellifera],Apis mellifera,1786,1786,83%,0.0,93.49,938,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_624458.2?report=genbank&log$=prottop&blast_rank=10&RID=E4PAVRAA013"",""XP_624458.2"")"
ER membrane protein complex subunit 1 isoform X1 [Bombus affinis],Bombus affinis,1784,1784,83%,0.0,93.78,947,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050573755.1?report=genbank&log$=prottop&blast_rank=11&RID=E4PAVRAA013"",""XP_050573755.1"")"
ER membrane protein complex subunit 1 isoform X1 [Apis laboriosa],Apis laboriosa,1783,1783,83%,0.0,93.49,938,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043801911.1?report=genbank&log$=prottop&blast_rank=12&RID=E4PAVRAA013"",""XP_043801911.1"")"
ER membrane protein complex subunit 1 isoform X1 [Apis cerana],Apis cerana,1783,1783,83%,0.0,93.38,938,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016908814.1?report=genbank&log$=prottop&blast_rank=13&RID=E4PAVRAA013"",""XP_016908814.1"")"
ER membrane protein complex subunit 1 isoform X1 [Apis mellifera],Apis mellifera,1775,1775,83%,0.0,91.81,956,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006562726.1?report=genbank&log$=prottop&blast_rank=14&RID=E4PAVRAA013"",""XP_006562726.1"")"
