Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Frieseomelitta varia feline leukemia virus subgroup C receptor-related protein 2-like (LOC122536293), mRNA",Frieseomelitta varia,2764,2764,99%,0.0,99.68,2184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043668538.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8KFT9JH01R"",""XM_043668538.1"")"
"PREDICTED: Bombus pyrosoma feline leukemia virus subgroup C receptor-related protein 2-like (LOC122573135), mRNA",Bombus pyrosoma,1705,1705,94%,0.0,85.74,2303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043739131.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8KFT9JH01R"",""XM_043739131.1"")"
"PREDICTED: Bombus vosnesenskii feline leukemia virus subgroup C receptor-related protein 2-like (LOC117231203), mRNA",Bombus vosnesenskii,1701,1701,94%,0.0,85.81,1909,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033489396.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8KFT9JH01R"",""XM_033489396.1"")"
"PREDICTED: Bombus impatiens feline leukemia virus subgroup C receptor-related protein 2-like (LOC100749562), mRNA",Bombus impatiens,1701,1701,94%,0.0,85.81,2318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003489599.4?report=genbank&log$=nucltop&blast_rank=4&RID=M8KFT9JH01R"",""XM_003489599.4"")"
"PREDICTED: Bombus bifarius feline leukemia virus subgroup C receptor-related protein 2-like (LOC117211133), mRNA",Bombus bifarius,1697,1697,94%,0.0,85.74,1913,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033454748.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8KFT9JH01R"",""XM_033454748.1"")"
"PREDICTED: Bombus huntii feline leukemia virus subgroup C receptor-related protein 2-like (LOC126864111), mRNA",Bombus huntii,1697,1697,94%,0.0,85.74,5014,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050615089.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8KFT9JH01R"",""XM_050615089.1"")"
"PREDICTED: Bombus terrestris feline leukemia virus subgroup C receptor-related protein 2 (LOC100643249), mRNA",Bombus terrestris,1690,1690,94%,0.0,85.55,2454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003398769.4?report=genbank&log$=nucltop&blast_rank=7&RID=M8KFT9JH01R"",""XM_003398769.4"")"
"PREDICTED: Bombus vancouverensis nearcticus feline leukemia virus subgroup C receptor-related protein 2-like (LOC117166554), mRNA",Bombus vancouverensis nearcticus,1688,1688,94%,0.0,85.61,1913,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033350601.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8KFT9JH01R"",""XM_033350601.1"")"
"PREDICTED: Bombus affinis feline leukemia virus subgroup C receptor-related protein 2-like (LOC126917058), mRNA",Bombus affinis,1676,1676,94%,0.0,85.35,2431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050723470.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8KFT9JH01R"",""XM_050723470.1"")"
"PREDICTED: Apis cerana feline leukemia virus subgroup C receptor-related protein 2 (LOC108002345), mRNA",Apis cerana,1435,1435,93%,0.0,81.91,2325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017063975.2?report=genbank&log$=nucltop&blast_rank=10&RID=M8KFT9JH01R"",""XM_017063975.2"")"
