Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Turnip ringspot virus isolate DSMZ PV-0355 segment RNA 1, partial sequence",Turnip ringspot virus,3553,3553,99%,0.0,87.40,6082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW274715.1?report=genbank&log$=nucltop&blast_rank=1&RID=M8B11PZM013"",""MW274715.1"")"
"Turnip ringspot virus isolate Toledo segment RNA 1, complete sequence",Turnip ringspot virus,3512,3512,99%,0.0,87.05,6082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ712026.1?report=genbank&log$=nucltop&blast_rank=2&RID=M8B11PZM013"",""FJ712026.1"")"
"Turnip ringspot virus isolate M12 segment RNA1, complete sequence",Turnip ringspot virus,3475,3475,99%,0.0,86.79,6078,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ516745.1?report=genbank&log$=nucltop&blast_rank=3&RID=M8B11PZM013"",""FJ516745.1"")"
"Turnip ringspot virus isolate B segment RNA1, complete sequence",Turnip ringspot virus,2987,2987,99%,0.0,83.06,6084,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ222381.1?report=genbank&log$=nucltop&blast_rank=4&RID=M8B11PZM013"",""GQ222381.1"")"
"Turnip ringspot virus isolate CV-3 segment RNA1, complete sequence",Turnip ringspot virus,2814,2814,99%,0.0,81.80,6076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU968732.1?report=genbank&log$=nucltop&blast_rank=5&RID=M8B11PZM013"",""GU968732.1"")"
"Turnip ringspot virus isolate TR59 segment RNA1, complete sequence",Turnip ringspot virus,2573,2573,97%,0.0,80.39,6027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW720558.1?report=genbank&log$=nucltop&blast_rank=6&RID=M8B11PZM013"",""MW720558.1"")"
"Turnip ringspot virus isolate M12 RNA-dependent RNA polymerase gene, partial cds",Turnip ringspot virus,2436,2436,73%,0.0,85.27,2139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF555589.1?report=genbank&log$=nucltop&blast_rank=7&RID=M8B11PZM013"",""EF555589.1"")"
"Turnip ringspot virus isolate DT4 (246) polyprotein gene, partial cds",Turnip ringspot virus,1827,1827,51%,0.0,87.00,1500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ228565.1?report=genbank&log$=nucltop&blast_rank=8&RID=M8B11PZM013"",""HQ228565.1"")"
"Turnip ringspot virus isolate Vl98 polyprotein gene, partial cds",Turnip ringspot virus,1574,1574,51%,0.0,83.27,1500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ228569.1?report=genbank&log$=nucltop&blast_rank=9&RID=M8B11PZM013"",""HQ228569.1"")"
"Turnip ringspot virus isolate S (250) polyprotein gene, partial cds",Turnip ringspot virus,1565,1565,51%,0.0,83.13,1500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ228567.1?report=genbank&log$=nucltop&blast_rank=10&RID=M8B11PZM013"",""HQ228567.1"")"
"Turnip ringspot virus isolate CH594 (594) polyprotein gene, partial cds",Turnip ringspot virus,1543,1543,51%,0.0,82.80,1500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ228568.1?report=genbank&log$=nucltop&blast_rank=11&RID=M8B11PZM013"",""HQ228568.1"")"
"Turnip ringspot virus isolate KV (247) polyprotein gene, partial cds",Turnip ringspot virus,1543,1543,51%,0.0,82.80,1500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ228566.1?report=genbank&log$=nucltop&blast_rank=12&RID=M8B11PZM013"",""HQ228566.1"")"
"Turnip ringspot virus RNA1 polymerase gene, partial cds",Turnip ringspot virus,1406,1406,41%,0.0,86.21,1189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ665367.1?report=genbank&log$=nucltop&blast_rank=13&RID=M8B11PZM013"",""DQ665367.1"")"
"Radish mosaic virus genomic RNA, segment RNA1, complete sequence",Radish mosaic virus,1285,1285,97%,0.0,70.58,6064,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB295643.1?report=genbank&log$=nucltop&blast_rank=14&RID=M8B11PZM013"",""AB295643.1"")"
"Radish mosaic virus isolate Bb segment RNA1, complete sequence",Radish mosaic virus,1257,1257,98%,0.0,70.25,6065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW810303.1?report=genbank&log$=nucltop&blast_rank=15&RID=M8B11PZM013"",""MW810303.1"")"
"Radish mosaic virus genomic RNA, segment RNA1, complete sequence, strain: California",Radish mosaic virus,1230,1230,97%,0.0,70.11,6063,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB456531.1?report=genbank&log$=nucltop&blast_rank=16&RID=M8B11PZM013"",""AB456531.1"")"
"Radish mosaic virus isolate Gg segment RNA1, complete sequence",Radish mosaic virus,1201,1201,98%,0.0,69.89,6065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW810305.1?report=genbank&log$=nucltop&blast_rank=17&RID=M8B11PZM013"",""MW810305.1"")"
"Radish mosaic virus isolate Jj-5 segment RNA1, complete sequence",Radish mosaic virus,1173,1173,98%,0.0,69.72,6065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH053441.1?report=genbank&log$=nucltop&blast_rank=18&RID=M8B11PZM013"",""MH053441.1"")"
"Radish mosaic virus isolate Aa segment RNA1, complete sequence",Radish mosaic virus,1173,1173,98%,0.0,69.72,6065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW810307.1?report=genbank&log$=nucltop&blast_rank=19&RID=M8B11PZM013"",""MW810307.1"")"
"Radish mosaic virus isolate RaMV1 segment RNA1 polyprotein gene, complete cds",Radish mosaic virus,1141,1141,98%,0.0,69.35,6048,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU450837.1?report=genbank&log$=nucltop&blast_rank=20&RID=M8B11PZM013"",""EU450837.1"")"
"Radish mosaic virus isolate DH-1 segment RNA1, complete sequence",Radish mosaic virus,1037,1117,88%,0.0,69.88,6041,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM032712.1?report=genbank&log$=nucltop&blast_rank=21&RID=M8B11PZM013"",""HM032712.1"")"
"Turnip ringspot virus isolate Parana RNA-dependent RNA polymerase gene, partial cds",Turnip ringspot virus,860,860,31%,0.0,80.90,917,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF327421.1?report=genbank&log$=nucltop&blast_rank=22&RID=M8B11PZM013"",""JF327421.1"")"
"Radish mosaic virus RNA-dependent RNA polymerase gene, partial cds",Radish mosaic virus,846,846,73%,0.0,69.16,2130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY965345.1?report=genbank&log$=nucltop&blast_rank=23&RID=M8B11PZM013"",""AY965345.1"")"
"Arabidopsis latent virus-1 segment RNA1, complete sequence",Arabidopsis latent virus-1,552,552,58%,3e-151,68.02,5953,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH899120.1?report=genbank&log$=nucltop&blast_rank=24&RID=M8B11PZM013"",""MH899120.1"")"
"Zymoseptoria comovirus A isolate Won segment RNA1, partial sequence",Zymoseptoria comovirus A,552,552,58%,3e-151,68.02,5974,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK231051.1?report=genbank&log$=nucltop&blast_rank=25&RID=M8B11PZM013"",""MK231051.1"")"
"Turnip ringspot virus isolate 4782TC2 polyprotein gene, partial cds",Turnip ringspot virus,427,427,12%,8e-114,86.72,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX045855.1?report=genbank&log$=nucltop&blast_rank=26&RID=M8B11PZM013"",""JX045855.1"")"
"Radish mosaic virus strain PV-0355 RNA-dependent RNA polymerase gene, partial cds",Radish mosaic virus,398,398,10%,4e-105,88.64,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ746636.1?report=genbank&log$=nucltop&blast_rank=27&RID=M8B11PZM013"",""KJ746636.1"")"
Red Clover Mottle Virus genomic RNA sequence for bottom component RNA,Red clover mottle virus,390,390,37%,6e-103,69.13,6033,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/X64886.1?report=genbank&log$=nucltop&blast_rank=28&RID=M8B11PZM013"",""X64886.1"")"
"Red clover mottle virus isolate RCMV-PV1 putative polyprotein 1 gene, partial cds",Red clover mottle virus,346,346,37%,2e-89,68.35,5405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG600294.1?report=genbank&log$=nucltop&blast_rank=29&RID=M8B11PZM013"",""MG600294.1"")"
"Bean rugose mosaic virus strain Santo Antonio de Goias segment RNA1 polyprotein gene, complete cds",Bean rugose mosaic virus,312,312,42%,4e-79,66.67,6108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY701258.1?report=genbank&log$=nucltop&blast_rank=30&RID=M8B11PZM013"",""KY701258.1"")"
"Cowpea severe mosaic virus isolate Macroptilium segment RNA1, complete sequence",Cowpea severe mosaic virus,312,312,38%,4e-79,67.41,5932,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW239072.1?report=genbank&log$=nucltop&blast_rank=31&RID=M8B11PZM013"",""MW239072.1"")"
"Broad bean true mosaic virus isolate EV-11 segment RNA1, complete sequence",Broad bean true mosaic virus,301,301,39%,8e-76,66.87,6068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU810903.1?report=genbank&log$=nucltop&blast_rank=32&RID=M8B11PZM013"",""GU810903.1"")"
