Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Alstroemeria virus x genomic RNA, complete genome",Alstroemeria virus X,214,214,91%,8e-51,77.17,7009,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB206396.1?report=genbank&log$=nucltop&blast_rank=1&RID=KPUYC5RG013"",""AB206396.1"")"
"Lettuce virus X isolate DSMZ PV-0904 replication-associated protein (ORF1), triple gene block 1 protein (ORF2), triple gene block 2 protein (ORF3), triple gene block 3 protein (ORF4), and capsid protein (ORF5) genes, complete cds",Lettuce virus X,191,191,91%,1e-43,75.18,7203,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW248356.1?report=genbank&log$=nucltop&blast_rank=2&RID=KPUYC5RG013"",""MW248356.1"")"
Lettuce virus X complete genome,Lettuce virus X,191,191,91%,1e-43,75.18,7212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AM745758.1?report=genbank&log$=nucltop&blast_rank=3&RID=KPUYC5RG013"",""AM745758.1"")"
"Actinidia virus X strain RV-3124 RNA-dependent RNA polymerase, triple gene block protein 1, triple gene block protein 2, triple gene block protein 3, coat protein, and putative 10 kDa protein genes, complete cds",Actinidia virus X,150,150,82%,8e-32,73.81,6888,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR872420.1?report=genbank&log$=nucltop&blast_rank=4&RID=KPUYC5RG013"",""KR872420.1"")"
"Asparagus virus 3 isolate SW12, complete genome",Asparagus virus 3,149,149,93%,3e-31,71.63,6398,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ544560.1?report=genbank&log$=nucltop&blast_rank=5&RID=KPUYC5RG013"",""KJ544560.1"")"
"Narcissus mosaic virus strain New Zealand, complete sequence",Narcissus mosaic virus strain New Zealand,144,144,78%,1e-29,73.64,6956,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY225449.1?report=genbank&log$=nucltop&blast_rank=6&RID=KPUYC5RG013"",""AY225449.1"")"
"Asparagus virus 3 genomic RNA, complete genome",Asparagus virus 3,139,139,90%,5e-28,71.48,6937,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB304848.1?report=genbank&log$=nucltop&blast_rank=7&RID=KPUYC5RG013"",""AB304848.1"")"
"Actinidia virus X isolate 5422861, complete genome",Actinidia virus X,134,134,84%,6e-27,71.98,6882,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN756626.1?report=genbank&log$=nucltop&blast_rank=8&RID=KPUYC5RG013"",""MN756626.1"")"
"Narcissus mosaic virus genomic RNA, complete genome",Narcissus mosaic virus,131,131,78%,8e-26,72.38,6955,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/D13747.1?report=genbank&log$=nucltop&blast_rank=9&RID=KPUYC5RG013"",""D13747.1"")"
"Actinidia virus X isolate Meise, complete genome",Actinidia virus X,127,127,91%,1e-24,70.50,6827,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN923516.1?report=genbank&log$=nucltop&blast_rank=10&RID=KPUYC5RG013"",""MN923516.1"")"
"Narcissus mosaic virus isolate SW13-Iris, complete genome",Narcissus mosaic virus,126,126,78%,3e-24,71.97,6957,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF752593.1?report=genbank&log$=nucltop&blast_rank=11&RID=KPUYC5RG013"",""KF752593.1"")"
"Actinidia virus X isolate AVX-2018-001, complete genome",Actinidia virus X,126,126,84%,3e-24,71.48,6892,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT123349.1?report=genbank&log$=nucltop&blast_rank=12&RID=KPUYC5RG013"",""MT123349.1"")"
"Actinidia virus X strain 77/48, complete genome",Actinidia virus X,124,124,83%,1e-23,71.26,6850,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN334615.1?report=genbank&log$=nucltop&blast_rank=13&RID=KPUYC5RG013"",""MN334615.1"")"
"Actinidia virus X strain 76/16, partial genome",Actinidia virus X,120,120,83%,1e-22,70.87,6805,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN334616.1?report=genbank&log$=nucltop&blast_rank=14&RID=KPUYC5RG013"",""MN334616.1"")"
