Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
polyprotein [Turnip ringspot virus],Turnip ringspot virus,255,255,100%,8e-76,100.00,1860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QYA72287.1?report=genbank&log$=prottop&blast_rank=1&RID=M8CAG56X016"",""QYA72287.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,253,253,100%,4e-75,99.17,1857,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACX53644.1?report=genbank&log$=prottop&blast_rank=2&RID=M8CAG56X016"",""ACX53644.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,253,253,100%,5e-75,99.17,1860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_003193665.1?report=genbank&log$=prottop&blast_rank=3&RID=M8CAG56X016"",""YP_003193665.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,249,249,100%,1e-73,95.87,1860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACX53646.1?report=genbank&log$=prottop&blast_rank=4&RID=M8CAG56X016"",""ACX53646.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,239,239,100%,3e-70,90.91,1860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADZ54704.1?report=genbank&log$=prottop&blast_rank=5&RID=M8CAG56X016"",""ADZ54704.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,238,238,100%,6e-70,90.91,1860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QWQ57599.1?report=genbank&log$=prottop&blast_rank=6&RID=M8CAG56X016"",""QWQ57599.1"")"
RNA1-polyprotein [Radish mosaic virus],Radish mosaic virus,207,207,100%,5e-59,75.21,1853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAG84602.1?report=genbank&log$=prottop&blast_rank=7&RID=M8CAG56X016"",""BAG84602.1"")"
polyprotein [Radish mosaic virus],Radish mosaic virus,207,207,100%,5e-59,75.21,1853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UVI61331.1?report=genbank&log$=prottop&blast_rank=8&RID=M8CAG56X016"",""UVI61331.1"")"
polyprotein [Radish mosaic virus],Radish mosaic virus,206,206,100%,8e-59,74.38,1853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001911126.1?report=genbank&log$=prottop&blast_rank=9&RID=M8CAG56X016"",""YP_001911126.1"")"
polyprotein [Radish mosaic virus],Radish mosaic virus,206,206,100%,1e-58,74.38,1853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AZL57037.1?report=genbank&log$=prottop&blast_rank=10&RID=M8CAG56X016"",""AZL57037.1"")"
polyprotein [Radish mosaic virus],Radish mosaic virus,206,206,100%,2e-58,73.55,1853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACE06773.1?report=genbank&log$=prottop&blast_rank=11&RID=M8CAG56X016"",""ACE06773.1"")"
polyprotein [Radish mosaic virus],Radish mosaic virus,206,206,100%,2e-58,73.55,1853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UVI61333.1?report=genbank&log$=prottop&blast_rank=12&RID=M8CAG56X016"",""UVI61333.1"")"
polyprotein [Radish mosaic virus],Radish mosaic virus,205,205,100%,2e-58,74.38,1853,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADZ55760.1?report=genbank&log$=prottop&blast_rank=13&RID=M8CAG56X016"",""ADZ55760.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,188,188,74%,1e-54,100.00,500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEJ84506.1?report=genbank&log$=prottop&blast_rank=14&RID=M8CAG56X016"",""AEJ84506.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,186,186,74%,1e-53,93.33,500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEJ84507.1?report=genbank&log$=prottop&blast_rank=15&RID=M8CAG56X016"",""AEJ84507.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,185,185,74%,2e-53,93.33,500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEJ84509.1?report=genbank&log$=prottop&blast_rank=16&RID=M8CAG56X016"",""AEJ84509.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,185,185,74%,2e-53,93.33,500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEJ84510.1?report=genbank&log$=prottop&blast_rank=17&RID=M8CAG56X016"",""AEJ84510.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,185,185,74%,2e-53,93.33,500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AEJ84508.1?report=genbank&log$=prottop&blast_rank=18&RID=M8CAG56X016"",""AEJ84508.1"")"
RNA dependent RNA polymerase [Arabidopsis latent virus-1],Arabidopsis latent virus-1,144,144,99%,6e-37,57.50,1850,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QCE32095.1?report=genbank&log$=prottop&blast_rank=19&RID=M8CAG56X016"",""QCE32095.1"")"
polyprotein [Zymoseptoria comovirus A],Zymoseptoria comovirus A,144,144,99%,6e-37,57.50,1850,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QED43033.1?report=genbank&log$=prottop&blast_rank=20&RID=M8CAG56X016"",""QED43033.1"")"
polyprotein [Cowpea mosaic virus],Cowpea mosaic virus,142,142,100%,2e-36,53.72,1866,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_613283.1?report=genbank&log$=prottop&blast_rank=21&RID=M8CAG56X016"",""NP_613283.1"")"
polyprotein [Cowpea mosaic virus],Cowpea mosaic virus,142,142,100%,2e-36,53.72,1866,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QWC36214.1?report=genbank&log$=prottop&blast_rank=22&RID=M8CAG56X016"",""QWC36214.1"")"
polyprotein [Cowpea mosaic virus],Cowpea mosaic virus,142,142,100%,2e-36,53.72,1866,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QWT83618.1?report=genbank&log$=prottop&blast_rank=23&RID=M8CAG56X016"",""QWT83618.1"")"
polyprotein 1 [Cowpea mosaic virus],Cowpea mosaic virus,137,137,100%,2e-34,52.89,1866,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QWT83580.1?report=genbank&log$=prottop&blast_rank=24&RID=M8CAG56X016"",""QWT83580.1"")"
polyprotein [Broad bean true mosaic virus],Broad bean true mosaic virus,130,130,99%,4e-32,50.83,1863,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_008400121.1?report=genbank&log$=prottop&blast_rank=25&RID=M8CAG56X016"",""YP_008400121.1"")"
polyprotein [Turnip ringspot virus],Turnip ringspot virus,117,117,46%,3e-31,100.00,118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AGF84782.1?report=genbank&log$=prottop&blast_rank=26&RID=M8CAG56X016"",""AGF84782.1"")"
polyprotein [Phaseolus vulgaris severe mosaic virus],Phaseolus vulgaris severe mosaic virus,122,122,92%,2e-29,51.79,1856,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJC19295.1?report=genbank&log$=prottop&blast_rank=27&RID=M8CAG56X016"",""QJC19295.1"")"
polyprotein [Pepper mild mosaic virus],Pepper mild mosaic virus,122,122,100%,3e-29,49.59,1926,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QES71272.1?report=genbank&log$=prottop&blast_rank=28&RID=M8CAG56X016"",""QES71272.1"")"
polyprotein [Comovirus sp.],Comovirus sp.,121,121,100%,5e-29,46.28,1858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QHB15172.1?report=genbank&log$=prottop&blast_rank=29&RID=M8CAG56X016"",""QHB15172.1"")"
