Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
structural polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,1e-73,99.12,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAT45735.1?report=genbank&log$=prottop&blast_rank=1&RID=MB3MSR0U016"",""AAT45735.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,3e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AYP65066.1?report=genbank&log$=prottop&blast_rank=2&RID=MB3MSR0U016"",""AYP65066.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,3e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AUK50716.1?report=genbank&log$=prottop&blast_rank=3&RID=MB3MSR0U016"",""AUK50716.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,3e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AUK50717.1?report=genbank&log$=prottop&blast_rank=4&RID=MB3MSR0U016"",""AUK50717.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,3e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULY68749.1?report=genbank&log$=prottop&blast_rank=5&RID=MB3MSR0U016"",""ULY68749.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,4e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48647.1?report=genbank&log$=prottop&blast_rank=6&RID=MB3MSR0U016"",""UGO48647.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,4e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48645.1?report=genbank&log$=prottop&blast_rank=7&RID=MB3MSR0U016"",""UGO48645.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,4e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48643.1?report=genbank&log$=prottop&blast_rank=8&RID=MB3MSR0U016"",""UGO48643.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,4e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48649.1?report=genbank&log$=prottop&blast_rank=9&RID=MB3MSR0U016"",""UGO48649.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,4e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48644.1?report=genbank&log$=prottop&blast_rank=10&RID=MB3MSR0U016"",""UGO48644.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,4e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48650.1?report=genbank&log$=prottop&blast_rank=11&RID=MB3MSR0U016"",""UGO48650.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,4e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULY68748.1?report=genbank&log$=prottop&blast_rank=12&RID=MB3MSR0U016"",""ULY68748.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,4e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48651.1?report=genbank&log$=prottop&blast_rank=13&RID=MB3MSR0U016"",""UGO48651.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,4e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48648.1?report=genbank&log$=prottop&blast_rank=14&RID=MB3MSR0U016"",""UGO48648.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,4e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48652.1?report=genbank&log$=prottop&blast_rank=15&RID=MB3MSR0U016"",""UGO48652.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,236,236,99%,4e-69,99.12,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGO48646.1?report=genbank&log$=prottop&blast_rank=16&RID=MB3MSR0U016"",""UGO48646.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,9e-69,99.12,1554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AQW44866.1?report=genbank&log$=prottop&blast_rank=17&RID=MB3MSR0U016"",""AQW44866.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,9e-69,97.37,2842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASN77900.1?report=genbank&log$=prottop&blast_rank=18&RID=MB3MSR0U016"",""ASN77900.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,1e-68,97.37,2842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASN77899.1?report=genbank&log$=prottop&blast_rank=19&RID=MB3MSR0U016"",""ASN77899.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,1e-68,97.37,2842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIW58914.1?report=genbank&log$=prottop&blast_rank=20&RID=MB3MSR0U016"",""AIW58914.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,1e-68,97.37,2842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AJA38042.1?report=genbank&log$=prottop&blast_rank=21&RID=MB3MSR0U016"",""AJA38042.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,1e-68,98.25,2858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83207.1?report=genbank&log$=prottop&blast_rank=22&RID=MB3MSR0U016"",""ASS83207.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,1e-68,98.25,2858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83208.1?report=genbank&log$=prottop&blast_rank=23&RID=MB3MSR0U016"",""ASS83208.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,1e-68,98.25,2860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AUY62031.1?report=genbank&log$=prottop&blast_rank=24&RID=MB3MSR0U016"",""AUY62031.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,1e-68,98.25,2855,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83213.1?report=genbank&log$=prottop&blast_rank=25&RID=MB3MSR0U016"",""ASS83213.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,1e-68,98.25,2860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AUY62030.1?report=genbank&log$=prottop&blast_rank=26&RID=MB3MSR0U016"",""AUY62030.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,1e-68,98.25,2858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83210.1?report=genbank&log$=prottop&blast_rank=27&RID=MB3MSR0U016"",""ASS83210.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,1e-68,98.25,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKG24957.1?report=genbank&log$=prottop&blast_rank=28&RID=MB3MSR0U016"",""AKG24957.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,1e-68,98.25,2860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AUY62032.1?report=genbank&log$=prottop&blast_rank=29&RID=MB3MSR0U016"",""AUY62032.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,1e-68,97.37,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83215.1?report=genbank&log$=prottop&blast_rank=30&RID=MB3MSR0U016"",""ASS83215.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,1e-68,97.37,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKW94194.1?report=genbank&log$=prottop&blast_rank=31&RID=MB3MSR0U016"",""QKW94194.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,1e-68,97.37,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AFI08277.1?report=genbank&log$=prottop&blast_rank=32&RID=MB3MSR0U016"",""AFI08277.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,2e-68,97.37,2860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AWK58136.1?report=genbank&log$=prottop&blast_rank=33&RID=MB3MSR0U016"",""AWK58136.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,2e-68,97.37,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83214.1?report=genbank&log$=prottop&blast_rank=34&RID=MB3MSR0U016"",""ASS83214.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,2e-68,96.49,2849,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/APT42957.1?report=genbank&log$=prottop&blast_rank=35&RID=MB3MSR0U016"",""APT42957.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,2e-68,97.37,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83211.1?report=genbank&log$=prottop&blast_rank=36&RID=MB3MSR0U016"",""ASS83211.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,2e-68,97.37,2859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83212.1?report=genbank&log$=prottop&blast_rank=37&RID=MB3MSR0U016"",""ASS83212.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,230,230,99%,2e-68,95.61,819,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASO96547.1?report=genbank&log$=prottop&blast_rank=38&RID=MB3MSR0U016"",""ASO96547.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,2e-68,97.37,2854,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASS83209.1?report=genbank&log$=prottop&blast_rank=39&RID=MB3MSR0U016"",""ASS83209.1"")"
polyprotein [Sacbrood virus],Sacbrood virus,234,234,99%,2e-68,96.49,2849,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AFQ95420.1?report=genbank&log$=prottop&blast_rank=40&RID=MB3MSR0U016"",""AFQ95420.1"")"
