Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein LOC122535493 [Frieseomelitta varia],Frieseomelitta varia,265,265,52%,6e-87,100.00,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043523009.1?report=genbank&log$=prottop&blast_rank=1&RID=E5CYYBGX016"",""XP_043523009.1"")"
hypothetical protein K0M31_011299 [Melipona bicolor],Melipona bicolor,253,253,52%,3e-82,95.20,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK1133494.1?report=genbank&log$=prottop&blast_rank=2&RID=E5CYYBGX016"",""KAK1133494.1"")"
hypothetical protein E2986_10561 [Frieseomelitta varia],Frieseomelitta varia,249,249,52%,4e-80,80.52,182,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF3422346.1?report=genbank&log$=prottop&blast_rank=3&RID=E5CYYBGX016"",""KAF3422346.1"")"
uncharacterized protein LOC126864396 [Bombus huntii],Bombus huntii,240,240,52%,4e-77,88.80,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050471662.1?report=genbank&log$=prottop&blast_rank=4&RID=E5CYYBGX016"",""XP_050471662.1"")"
uncharacterized protein LOC100643674 [Bombus terrestris],Bombus terrestris,239,239,52%,2e-76,88.00,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003402818.2?report=genbank&log$=prottop&blast_rank=5&RID=E5CYYBGX016"",""XP_003402818.2"")"
uncharacterized protein LOC126916302 isoform X2 [Bombus affinis],Bombus affinis,238,238,52%,2e-76,88.00,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050577940.1?report=genbank&log$=prottop&blast_rank=6&RID=E5CYYBGX016"",""XP_050577940.1"")"
uncharacterized protein LOC105682170 [Bombus impatiens],Bombus impatiens,238,238,52%,2e-76,88.80,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012250118.1?report=genbank&log$=prottop&blast_rank=7&RID=E5CYYBGX016"",""XP_012250118.1"")"
uncharacterized protein LOC122565882 [Bombus pyrosoma],Bombus pyrosoma,238,238,52%,2e-76,88.00,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043578297.1?report=genbank&log$=prottop&blast_rank=8&RID=E5CYYBGX016"",""XP_043578297.1"")"
LOW QUALITY PROTEIN: ATPase family AAA domain-containing protein 1-B [Bombus vosnesenskii],Bombus vosnesenskii,246,246,52%,1e-74,88.80,535,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033357489.1?report=genbank&log$=prottop&blast_rank=9&RID=E5CYYBGX016"",""XP_033357489.1"")"
LOW QUALITY PROTEIN: ATPase family AAA domain-containing protein 1-B [Bombus vancouverensis nearcticus],Bombus vancouverensis nearcticus,246,246,52%,1e-74,88.80,535,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033202870.1?report=genbank&log$=prottop&blast_rank=10&RID=E5CYYBGX016"",""XP_033202870.1"")"
PREDICTED: uncharacterized protein LOC100880637 [Megachile rotundata],Megachile rotundata,227,227,63%,6e-72,72.55,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012137752.1?report=genbank&log$=prottop&blast_rank=11&RID=E5CYYBGX016"",""XP_012137752.1"")"
uncharacterized protein LOC122398256 [Colletes gigas],Colletes gigas,226,226,51%,1e-71,85.60,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043253902.1?report=genbank&log$=prottop&blast_rank=12&RID=E5CYYBGX016"",""XP_043253902.1"")"
PREDICTED: uncharacterized protein LOC107192384 [Dufourea novaeangliae],Dufourea novaeangliae,225,225,50%,2e-71,87.50,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015437103.1?report=genbank&log$=prottop&blast_rank=13&RID=E5CYYBGX016"",""XP_015437103.1"")"
PREDICTED: LOW QUALITY PROTEIN: ATPase family AAA domain-containing protein 1-B-like [Habropoda laboriosa],Habropoda laboriosa,233,233,48%,3e-69,90.60,541,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017789401.1?report=genbank&log$=prottop&blast_rank=14&RID=E5CYYBGX016"",""XP_017789401.1"")"
uncharacterized protein LOC102671413 [Apis dorsata],Apis dorsata,218,218,45%,2e-68,90.00,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006615562.1?report=genbank&log$=prottop&blast_rank=15&RID=E5CYYBGX016"",""XP_006615562.1"")"
uncharacterized protein LOC122716386 isoform X2 [Apis laboriosa],Apis laboriosa,217,217,45%,3e-68,90.00,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043795341.1?report=genbank&log$=prottop&blast_rank=16&RID=E5CYYBGX016"",""XP_043795341.1"")"
uncharacterized protein LOC105736972 [Apis florea],Apis florea,218,218,45%,3e-68,90.00,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012349394.1?report=genbank&log$=prottop&blast_rank=17&RID=E5CYYBGX016"",""XP_012349394.1"")"
uncharacterized protein LOC727126 [Apis mellifera],Apis mellifera,217,217,45%,6e-68,89.09,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001122840.1?report=genbank&log$=prottop&blast_rank=18&RID=E5CYYBGX016"",""XP_001122840.1"")"
uncharacterized protein LOC117217900 [Megalopta genalis],Megalopta genalis,216,216,47%,9e-68,86.84,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033321651.1?report=genbank&log$=prottop&blast_rank=19&RID=E5CYYBGX016"",""XP_033321651.1"")"
uncharacterized protein LOC123988350 [Osmia bicornis bicornis],Osmia bicornis bicornis,215,215,47%,2e-67,86.84,157,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046144045.1?report=genbank&log$=prottop&blast_rank=20&RID=E5CYYBGX016"",""XP_046144045.1"")"
LOW QUALITY PROTEIN: ATPase family AAA domain-containing protein 1-B-like [Ceratina calcarata],Ceratina calcarata,227,227,47%,4e-67,90.27,536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017887327.1?report=genbank&log$=prottop&blast_rank=21&RID=E5CYYBGX016"",""XP_017887327.1"")"
